category,depot_strategy,depots,instance,manifest_num_cv,manifest_num_ev,replicate,size,station_strategy,stations
vanilla,scored_candidates,1,e2-vanilla-10c-01,1,1,1,10,hybrid_support,2
vanilla,scored_candidates,1,e2-vanilla-10c-02,1,1,2,10,hybrid_support,2
vanilla,scored_candidates,1,e2-vanilla-10c-03,1,1,3,10,hybrid_support,2
vanilla,scored_candidates,1,e2-vanilla-15c-01,2,0,1,15,hybrid_support,2
vanilla,scored_candidates,1,e2-vanilla-15c-02,1,1,2,15,hybrid_support,2
vanilla,scored_candidates,1,e2-vanilla-15c-03,2,1,3,15,hybrid_support,2
vanilla,scored_candidates,1,e2-vanilla-20c-01,2,1,1,20,hybrid_support,3
vanilla,scored_candidates,1,e2-vanilla-20c-02,2,1,2,20,hybrid_support,3
vanilla,scored_candidates,1,e2-vanilla-20c-03,2,1,3,20,hybrid_support,3
vanilla,scored_candidates,1,e2-vanilla-25c-01,2,1,1,25,hybrid_support,3
vanilla,scored_candidates,1,e2-vanilla-25c-02,2,2,2,25,hybrid_support,3
vanilla,scored_candidates,1,e2-vanilla-25c-03,2,1,3,25,hybrid_support,3
vanilla,scored_candidates,1,e2-vanilla-50c-01,4,3,1,50,hybrid_support,6
vanilla,scored_candidates,1,e2-vanilla-50c-02,4,3,2,50,hybrid_support,6
vanilla,scored_candidates,1,e2-vanilla-50c-03,4,3,3,50,hybrid_support,6
vanilla,scored_candidates,1,e2-vanilla-75c-01,6,5,1,75,hybrid_support,8
vanilla,scored_candidates,1,e2-vanilla-75c-02,6,5,2,75,hybrid_support,8
vanilla,scored_candidates,1,e2-vanilla-75c-03,5,5,3,75,hybrid_support,8
vanilla,scored_candidates,1,e2-vanilla-100c-01,7,7,1,100,hybrid_support,11
vanilla,scored_candidates,1,e2-vanilla-100c-02,7,6,2,100,hybrid_support,11
vanilla,scored_candidates,1,e2-vanilla-100c-03,7,6,3,100,hybrid_support,11
vanilla,scored_candidates,1,e2-vanilla-150c-01,10,10,1,150,hybrid_support,16
vanilla,scored_candidates,1,e2-vanilla-150c-02,10,10,2,150,hybrid_support,16
vanilla,scored_candidates,1,e2-vanilla-150c-03,10,9,3,150,hybrid_support,16
vanilla,scored_candidates,1,e2-vanilla-200c-01,14,14,1,200,hybrid_support,21
vanilla,scored_candidates,1,e2-vanilla-200c-02,12,12,2,200,hybrid_support,21
vanilla,scored_candidates,1,e2-vanilla-200c-03,14,13,3,200,hybrid_support,21
multidepot,scored_candidates,2,e2-multidepot-10c-01,1,1,1,10,hybrid_support,2
multidepot,scored_candidates,2,e2-multidepot-10c-02,1,1,2,10,hybrid_support,2
multidepot,scored_candidates,2,e2-multidepot-10c-03,1,1,3,10,hybrid_support,2
multidepot,scored_candidates,2,e2-multidepot-15c-01,2,0,1,15,hybrid_support,2
multidepot,scored_candidates,2,e2-multidepot-15c-02,1,1,2,15,hybrid_support,2
multidepot,scored_candidates,2,e2-multidepot-15c-03,2,1,3,15,hybrid_support,2
multidepot,scored_candidates,2,e2-multidepot-20c-01,2,1,1,20,hybrid_support,3
multidepot,scored_candidates,2,e2-multidepot-20c-02,2,1,2,20,hybrid_support,3
