cap_scenario,category,depots,instance,interpretation,manifest_num_cv,manifest_num_ev,max_cv,max_ev,raw_num_cv,raw_num_ev,replicate,size,source_class
goeke_total_cap,vanilla,1,e2-vanilla-75c-01,Use Goeke/ReSETP metadata as total available CV/EV vehicles.,6,5,6,5,6,5,1,75,source_backed
goeke_ev_cap_only,vanilla,1,e2-vanilla-75c-01,Only cap EV stock from Goeke metadata; keep CV flexible to isolate infinite-EV effects.,6,5,1000000,5,6,5,1,75,source_backed_diagnostic
depot_scaled_cap,vanilla,1,e2-vanilla-75c-01,Scale donor fleet by depot count; not promotable without multidepot source support.,6,5,6,5,6,5,1,75,diagnostic_only
goeke_total_cap,vanilla,1,e2-vanilla-75c-02,Use Goeke/ReSETP metadata as total available CV/EV vehicles.,6,5,6,5,6,5,2,75,source_backed
goeke_ev_cap_only,vanilla,1,e2-vanilla-75c-02,Only cap EV stock from Goeke metadata; keep CV flexible to isolate infinite-EV effects.,6,5,1000000,5,6,5,2,75,source_backed_diagnostic
depot_scaled_cap,vanilla,1,e2-vanilla-75c-02,Scale donor fleet by depot count; not promotable without multidepot source support.,6,5,6,5,6,5,2,75,diagnostic_only
goeke_total_cap,vanilla,1,e2-vanilla-75c-03,Use Goeke/ReSETP metadata as total available CV/EV vehicles.,5,5,5,5,5,5,3,75,source_backed
goeke_ev_cap_only,vanilla,1,e2-vanilla-75c-03,Only cap EV stock from Goeke metadata; keep CV flexible to isolate infinite-EV effects.,5,5,1000000,5,5,5,3,75,source_backed_diagnostic
depot_scaled_cap,vanilla,1,e2-vanilla-75c-03,Scale donor fleet by depot count; not promotable without multidepot source support.,5,5,5,5,5,5,3,75,diagnostic_only
goeke_total_cap,vanilla,1,e2-vanilla-100c-01,Use Goeke/ReSETP metadata as total available CV/EV vehicles.,7,7,7,7,7,7,1,100,source_backed
goeke_ev_cap_only,vanilla,1,e2-vanilla-100c-01,Only cap EV stock from Goeke metadata; keep CV flexible to isolate infinite-EV effects.,7,7,1000000,7,7,7,1,100,source_backed_diagnostic
depot_scaled_cap,vanilla,1,e2-vanilla-100c-01,Scale donor fleet by depot count; not promotable without multidepot source support.,7,7,7,7,7,7,1,100,diagnostic_only
