numElectroVeh,numPetrolVeh,numVeh,raw_instance,replicate,size,source_file,sum_cv_ev
5,6,11,E-UK75_01.txt,1,75,models/data_bundle/raw_instances/goeke_uk/E-UK75_01.txt,11
5,6,11,E-UK75_02.txt,2,75,models/data_bundle/raw_instances/goeke_uk/E-UK75_02.txt,11
5,5,10,E-UK75_03.txt,3,75,models/data_bundle/raw_instances/goeke_uk/E-UK75_03.txt,10
5,6,11,E-UK75_04.txt,4,75,models/data_bundle/raw_instances/goeke_uk/E-UK75_04.txt,11
5,5,10,E-UK75_05.txt,5,75,models/data_bundle/raw_instances/goeke_uk/E-UK75_05.txt,10
5,6,11,E-UK75_06.txt,6,75,models/data_bundle/raw_instances/goeke_uk/E-UK75_06.txt,11
5,6,11,E-UK75_07.txt,7,75,models/data_bundle/raw_instances/goeke_uk/E-UK75_07.txt,11
5,5,10,E-UK75_08.txt,8,75,models/data_bundle/raw_instances/goeke_uk/E-UK75_08.txt,10
5,5,10,E-UK75_09.txt,9,75,models/data_bundle/raw_instances/goeke_uk/E-UK75_09.txt,10
5,6,11,E-UK75_10.txt,10,75,models/data_bundle/raw_instances/goeke_uk/E-UK75_10.txt,11
5,5,10,E-UK75_11.txt,11,75,models/data_bundle/raw_instances/goeke_uk/E-UK75_11.txt,10
5,5,10,E-UK75_12.txt,12,75,models/data_bundle/raw_instances/goeke_uk/E-UK75_12.txt,10
5,5,10,E-UK75_13.txt,13,75,models/data_bundle/raw_instances/goeke_uk/E-UK75_13.txt,10
5,5,10,E-UK75_14.txt,14,75,models/data_bundle/raw_instances/goeke_uk/E-UK75_14.txt,10
5,5,10,E-UK75_15.txt,15,75,models/data_bundle/raw_instances/goeke_uk/E-UK75_15.txt,10
5,5,10,E-UK75_16.txt,16,75,models/data_bundle/raw_instances/goeke_uk/E-UK75_16.txt,10
5,6,11,E-UK75_17.txt,17,75,models/data_bundle/raw_instances/goeke_uk/E-UK75_17.txt,11
5,5,10,E-UK75_18.txt,18,75,models/data_bundle/raw_instances/goeke_uk/E-UK75_18.txt,10
5,5,10,E-UK75_19.txt,19,75,models/data_bundle/raw_instances/goeke_uk/E-UK75_19.txt,10
5,6,11,E-UK75_20.txt,20,75,models/data_bundle/raw_instances/goeke_uk/E-UK75_20.txt,11
7,7,14,E-UK100_01.txt,1,100,models/data_bundle/raw_instances/goeke_uk/E-UK100_01.txt,14
6,7,13,E-UK100_02.txt,2,100,models/data_bundle/raw_instances/goeke_uk/E-UK100_02.txt,13
6,7,13,E-UK100_03.txt,3,100,models/data_bundle/raw_instances/goeke_uk/E-UK100_03.txt,13
7,7,14,E-UK100_04.txt,4,100,models/data_bundle/raw_instances/goeke_uk/E-UK100_04.txt,14
7,7,14,E-UK100_05.txt,5,100,models/data_bundle/raw_instances/goeke_uk/E-UK100_05.txt,14
7,7,14,E-UK100_06.txt,6,100,models/data_bundle/raw_instances/goeke_uk/E-UK100_06.txt,14
6,6,12,E-UK100_07.txt,7,100,models/data_bundle/raw_instances/goeke_uk/E-UK100_07.txt,12
6,7,13,E-UK100_08.txt,8,100,models/data_bundle/raw_instances/goeke_uk/E-UK100_08.txt,13
6,7,13,E-UK100_09.txt,9,100,models/data_bundle/raw_instances/goeke_uk/E-UK100_09.txt,13
6,6,12,E-UK100_10.txt,10,100,models/data_bundle/raw_instances/goeke_uk/E-UK100_10.txt,12
7,8,15,E-UK100_11.txt,11,100,models/data_bundle/raw_instances/goeke_uk/E-UK100_11.txt,15
6,6,12,E-UK100_12.txt,12,100,models/data_bundle/raw_instances/goeke_uk/E-UK100_12.txt,12
6,7,13,E-UK100_13.txt,13,100,models/data_bundle/raw_instances/goeke_uk/E-UK100_13.txt,13
7,7,14,E-UK100_14.txt,14,100,models/data_bundle/raw_instances/goeke_uk/E-UK100_14.txt,14
7,8,15,E-UK100_15.txt,15,100,models/data_bundle/raw_instances/goeke_uk/E-UK100_15.txt,15
6,6,12,E-UK100_16.txt,16,100,models/data_bundle/raw_instances/goeke_uk/E-UK100_16.txt,12
7,8,15,E-UK100_17.txt,17,100,models/data_bundle/raw_instances/goeke_uk/E-UK100_17.txt,15
6,7,13,E-UK100_18.txt,18,100,models/data_bundle/raw_instances/goeke_uk/E-UK100_18.txt,13
6,7,13,E-UK100_19.txt,19,100,models/data_bundle/raw_instances/goeke_uk/E-UK100_19.txt,13
7,7,14,E-UK100_20.txt,20,100,models/data_bundle/raw_instances/goeke_uk/E-UK100_20.txt,14
10,10,20,E-UK150_01.txt,1,150,models/data_bundle/raw_instances/goeke_uk/E-UK150_01.txt,20
10,10,20,E-UK150_02.txt,2,150,models/data_bundle/raw_instances/goeke_uk/E-UK150_02.txt,20
9,10,19,E-UK150_03.txt,3,150,models/data_bundle/raw_instances/goeke_uk/E-UK150_03.txt,19
10,11,21,E-UK150_04.txt,4,150,models/data_bundle/raw_instances/goeke_uk/E-UK150_04.txt,21
10,10,20,E-UK150_05.txt,5,150,models/data_bundle/raw_instances/goeke_uk/E-UK150_05.txt,20
10,11,21,E-UK150_06.txt,6,150,models/data_bundle/raw_instances/goeke_uk/E-UK150_06.txt,21
10,11,21,E-UK150_07.txt,7,150,models/data_bundle/raw_instances/goeke_uk/E-UK150_07.txt,21
10,10,20,E-UK150_08.txt,8,150,models/data_bundle/raw_instances/goeke_uk/E-UK150_08.txt,20
10,10,20,E-UK150_09.txt,9,150,models/data_bundle/raw_instances/goeke_uk/E-UK150_09.txt,20
10,10,20,E-UK150_10.txt,10,150,models/data_bundle/raw_instances/goeke_uk/E-UK150_10.txt,20
10,10,20,E-UK150_11.txt,11,150,models/data_bundle/raw_instances/goeke_uk/E-UK150_11.txt,20
10,11,21,E-UK150_12.txt,12,150,models/data_bundle/raw_instances/goeke_uk/E-UK150_12.txt,21
9,10,19,E-UK150_13.txt,13,150,models/data_bundle/raw_instances/goeke_uk/E-UK150_13.txt,19
10,10,20,E-UK150_14.txt,14,150,models/data_bundle/raw_instances/goeke_uk/E-UK150_14.txt,20
