"source_id","cycle","theme","source_type","title","authors_year","url","primary_or_official","code_repo","license","version_or_doi","verified_evidence","limitation","confidence"
"S01","1","ALNS and regret insertion","original_paper","An Adaptive Large Neighborhood Search Heuristic for the Pickup and Delivery Problem with Time Windows","Ropke and Pisinger, 2006","https://doi.org/10.1287/trsc.1050.0135","PRIMARY","none_verified","paper_copyright","10.1287/trsc.1050.0135","Competing destroy and repair subheuristics are selected according to past performance; source method for regret repair.","Static PDPTW; no E7 state inheritance, energy, fairness or carbon semantics.","HIGH"
"S02","1","dynamic ALNS","original_paper","An adaptive large neighborhood search heuristic for dynamic vehicle routing problems","Chen et al., 2018","https://doi.org/10.1016/j.compeleceng.2018.02.049","PRIMARY","none_found","paper_copyright","10.1016/j.compeleceng.2018.02.049","Dynamic hard-time-window VRP decomposed into static slices; ad hoc destroy/repair, periodic perturbation and insertion feasibility check.","No verified official code; single-depot and no electric charging or responsibility sharing.","MEDIUM"
"S03","1,2","multi-depot dynamic ALNS","original_paper","An adaptive large neighborhood search for the multi-depot dynamic vehicle routing problem with time windows","Wang et al., 2024","https://doi.org/10.1016/j.cie.2024.110122","PRIMARY","none_found","paper_copyright","10.1016/j.cie.2024.110122","Re-optimization as deterministic multi-period mixed-fleet MD-VRPTW; current customers may become vehicle-specific depots; two removal operators and Nagata-based O(1) insertion-position feasibility update.","O(1) applies to a position-level feasibility update, not total search; no verified code; no ReSETP energy/fairness semantics.","HIGH"
"S04","1,2","route stability","original_conference_paper","Route Stability in Dynamic Vehicle Routing: A Bi-Objective Approach","Pillac, Gueret and Medaglia, 2012","https://hal.science/hal-00674440","PRIMARY","none_found","paper_repository_terms","HAL-00674440","Bi-objective pBiALNS minimizes route cost and route changes; route change measured by Levenshtein edit distance; non-dominated solutions explored in parallel.","Conference paper; no verified official implementation; route matching and quadratic edit-distance cost need care.","HIGH"
"S05","1,2","event-driven optimization","original_paper","An event-driven optimization framework for dynamic vehicle routing","Pillac et al., 2012","https://doi.org/10.1016/j.dss.2012.06.007","PRIMARY","none_found","paper_copyright","10.1016/j.dss.2012.06.007","Event-driven decision framework and parallel dynamic optimization support separating event handling from routing search.","No verified reusable code and stochastic anticipation is outside the frozen E7 information boundary unless separately approved.","MEDIUM"
"S06","1,2","online ejection reinsertion","original_paper","New online reinsertion approaches for a dynamic Dial-a-Ride Problem","Vallee, Oulamara and Ramdane Cherif-Khettaf, 2020","https://doi.org/10.1016/j.jocs.2020.101199","PRIMARY","none_found","paper_copyright","10.1016/j.jocs.2020.101199","HDR uses destroy/repair; GH and IGH use ejection chains for real-time rejected-request reinsertion.","Dial-a-ride constraints differ from delivery; no verified source code; ejection branching must be bounded.","HIGH"
"S07","2","fast feasibility","original_paper","Adaptive Large Neighborhood Search with a Constant-Time Feasibility Test for the Dial-a-Ride Problem","Gschwind and Drexl, 2019","https://doi.org/10.1287/trsc.2018.0837","PRIMARY","none_found","paper_copyright","10.1287/trsc.2018.0837","Supports label-based constant-time position feasibility tests under rich route constraints.","DARP-specific formulas require re-derivation; constant-time position test does not make full search constant time.","HIGH"
"S08","1","dynamic VRP review","invited_review","A review of dynamic vehicle routing problems","Pillac et al., 2013","https://doi.org/10.1016/j.ejor.2012.08.015","PRIMARY_REVIEW","none","paper_copyright","10.1016/j.ejor.2012.08.015","Defines dynamic VRP taxonomy, degree of dynamism and common solution frameworks.","Review evidence, not an implementation.","HIGH"
"S09","2","dynamic state framework","official_code_and_paper","dvrpsim","Horvath and Tamasi, 2025","https://github.com/sztaki-hu/dvrpsim","OFFICIAL_CODE","https://github.com/sztaki-hu/dvrpsim","MIT","commit 29f4cd8f481fa5ac8cbf97a1372ee5b845e20c4a","Official code exports time, vehicle status, carried orders, previous/current visit and open orders; routing callback measures real elapsed seconds; external algorithms supported.","Simulator and state interface only; it does not provide a high-performance routing policy.","HIGH"
"S10","2","warm-start search","official_code","PyVRP","PyVRP contributors, inspected 2026-07-18","https://github.com/PyVRP/PyVRP","OFFICIAL_CODE","https://github.com/PyVRP/PyVRP","MIT","commit 58592ec7ea822e8678e9e978fc522a5855547c7a","pyvrp.solve accepts an optional initial_solution and runs local search/ILS from it.","Warm start is not hard route freezing; native model does not cover ReSETP nonlinear charging, fairness and full carbon semantics.","HIGH"
