instances,n,BKS,VCGP_Best_error_pct,MDFIHA_Best_error_pct,MDFIHA-ETGA_Best_error_pct,PyVRP-HGS_Best_error_pct,PyVRP-HGS_avg_error_pct,MV-HGS-SP_Best_error_pct,MV-HGS-SP_avg_error_pct
PR11A,360,6655.548,0.98,0.45,0.41,0.26,0.90,0.26,0.77
PR11B,360,4814.803,0.51,0.38,0.35,0.11,0.56,0.04,0.46
PR12A,480,8148.107,0.39,0.74,0.20,0.73,1.12,0.57,0.89
PR12B,480,6004.834,0.97,0.56,0.48,0.43,0.90,0.10,0.64
PR13A,600,9501.934,1.74,1.06,0.73,1.16,1.89,0.82,1.32
PR13B,600,7201.765,0.73,0.60,0.42,0.67,1.25,0.40,0.93
PR14A,720,10925.670,1.82,1.50,1.25,1.55,2.53,1.19,1.65
PR14B,720,8656.335,0.88,1.34,1.21,1.15,1.87,0.77,1.19
PR15A,840,12714.063,2.36,2.40,1.43,2.69,3.67,1.44,2.36
PR15B,840,10223.105,2.12,1.98,1.90,2.01,2.70,1.43,1.80
PR16A,960,13992.681,2.20,3.27,1.65,3.70,4.96,2.19,3.40
PR16B,960,11225.795,2.29,3.05,1.50,3.67,4.15,2.26,2.66
PR17A,360,6292.594,0.19,0.26,0.35,0.25,0.33,0.19,0.29
PR17B,360,4771.155,0.73,0.40,0.55,0.10,0.54,0.00,0.43
PR18A,520,8183.231,1.53,0.55,0.67,0.95,1.32,0.39,0.99
PR18B,520,6443.442,1.29,0.38,0.64,0.48,0.88,0.30,0.65
PR19A,700,10521.112,1.49,1.51,1.36,1.78,2.59,1.23,1.69
PR19B,700,8061.518,2.06,1.51,1.27,1.34,1.78,0.86,1.38
PR20A,880,11686.369,2.37,2.08,1.31,2.72,3.62,2.04,2.25
PR20B,880,10013.395,3.12,2.61,1.49,2.10,2.56,1.28,1.81
PR21A,420,6230.046,0.49,0.51,0.46,0.08,0.48,0.07,0.18
PR21B,420,4822.337,0.92,0.18,0.25,0.15,0.59,0.01,0.46
PR22A,600,7868.943,1.48,0.65,0.85,1.12,1.80,0.86,1.09
PR22B,600,6403.374,1.33,1.10,0.67,0.76,1.25,0.23,0.90
PR23A,780,9726.158,2.17,1.72,1.48,3.07,3.74,1.71,2.28
PR23B,780,8317.649,2.47,2.10,1.20,1.98,2.32,1.06,1.64
PR24A,960,11638.608,2.45,3.37,1.91,3.95,4.44,2.16,2.77
PR24B,960,10486.450,3.85,2.24,1.70,2.24,3.01,1.48,1.96
