instance_id,region,customer_count,depot_count,customer_id,customer_city,administrative_depot,administrative_depot_city,nearest_depot,nearest_depot_city,administrative_distance_m,nearest_distance_m,road_distance_saving_m,road_distance_saving_pct_of_administrative,nearest_tie,nearest_tie_candidates,mismatch,cause,all_directed_depot_to_customer_distances_m
cn-prd-150c-01-V2-LOCATIONS,prd,150,4,C004,dongguan,D_dongguan,dongguan,D_guangzhou,guangzhou,32359.91984441,28426.899755069,3933.020089341,12.153985882076924,False,D_guangzhou,True,same-city administrative depot is not the directed-road nearest depot,"{""D_dongguan"": 32359.91984441, ""D_foshan"": 58373.574818719, ""D_guangzhou"": 28426.899755069, ""D_shenzhen"": 57302.923807235}"
cn-prd-150c-01-V2-LOCATIONS,prd,150,4,C017,dongguan,D_dongguan,dongguan,D_guangzhou,guangzhou,36605.188570189,30560.400384932,6044.788185256999,16.513473694217847,False,D_guangzhou,True,same-city administrative depot is not the directed-road nearest depot,"{""D_dongguan"": 36605.188570189, ""D_foshan"": 57405.241568378, ""D_guangzhou"": 30560.400384932, ""D_shenzhen"": 55484.959995088}"
cn-prd-150c-01-V2-LOCATIONS,prd,150,4,C079,guangzhou,D_guangzhou,guangzhou,D_foshan,foshan,39492.564142228,37059.83510904,2432.7290331879994,6.159967290112642,False,D_foshan,True,same-city administrative depot is not the directed-road nearest depot,"{""D_dongguan"": 95727.616283724, ""D_foshan"": 37059.83510904, ""D_guangzhou"": 39492.564142228, ""D_shenzhen"": 122127.078159211}"
cn-prd-150c-02-V2-LOCATIONS,prd,150,4,C068,guangzhou,D_guangzhou,guangzhou,D_foshan,foshan,39596.451936468,37163.72290328,2432.7290331879994,6.143805604328595,False,D_foshan,True,same-city administrative depot is not the directed-road nearest depot,"{""D_dongguan"": 95831.504077964, ""D_foshan"": 37163.72290328, ""D_guangzhou"": 39596.451936468, ""D_shenzhen"": 122230.965953451}"
cn-prd-150c-02-V2-LOCATIONS,prd,150,4,C081,guangzhou,D_guangzhou,guangzhou,D_foshan,foshan,37120.796164309,35787.967019017,1332.829145292002,3.590518746937583,False,D_foshan,True,same-city administrative depot is not the directed-road nearest depot,"{""D_dongguan"": 93237.308853097, ""D_foshan"": 35787.967019017, ""D_guangzhou"": 37120.796164309, ""D_shenzhen"": 120855.210069188}"
cn-prd-150c-03-V2-LOCATIONS,prd,150,4,C012,dongguan,D_dongguan,dongguan,D_guangzhou,guangzhou,35102.625144187,33447.135989377,1655.4891548099986,4.7161405963512335,False,D_guangzhou,True,same-city administrative depot is not the directed-road nearest depot,"{""D_dongguan"": 35102.625144187, ""D_foshan"": 54205.642481197, ""D_guangzhou"": 33447.135989377, ""D_shenzhen"": 53583.414573596}"
cn-prd-150c-03-V2-LOCATIONS,prd,150,4,C043,guangzhou,D_guangzhou,guangzhou,D_foshan,foshan,40703.428782671,36607.40048586,4096.028296810997,10.063103820272833,False,D_foshan,True,same-city administrative depot is not the directed-road nearest depot,"{""D_dongguan"": 96819.941471459, ""D_foshan"": 36607.40048586, ""D_guangzhou"": 40703.428782671, ""D_shenzhen"": 121674.643536031}"
cn-prd-150c-03-V2-LOCATIONS,prd,150,4,C064,guangzhou,D_guangzhou,guangzhou,D_foshan,foshan,37162.06588257,36019.524408147,1142.5414744230002,3.074483205625236,False,D_foshan,True,same-city administrative depot is not the directed-road nearest depot,"{""D_dongguan"": 93278.578571358, ""D_foshan"": 36019.524408147, ""D_guangzhou"": 37162.06588257, ""D_shenzhen"": 121086.767458318}"
cn-prd-150c-03-V2-LOCATIONS,prd,150,4,C089,guangzhou,D_guangzhou,guangzhou,D_foshan,foshan,36926.626671668,35784.085197245,1142.5414744230002,3.094085697515437,False,D_foshan,True,same-city administrative depot is not the directed-road nearest depot,"{""D_dongguan"": 93043.139360456, ""D_foshan"": 35784.085197245, ""D_guangzhou"": 36926.626671668, ""D_shenzhen"": 120851.328247416}"
cn-prd-200c-01-V2-LOCATIONS,prd,200,4,C012,dongguan,D_dongguan,dongguan,D_guangzhou,guangzhou,35102.625144187,33447.135989377,1655.4891548099986,4.7161405963512335,False,D_guangzhou,True,same-city administrative depot is not the directed-road nearest depot,"{""D_dongguan"": 35102.625144187, ""D_foshan"": 54205.642481197, ""D_guangzhou"": 33447.135989377, ""D_shenzhen"": 53583.414573596}"
cn-prd-200c-01-V2-LOCATIONS,prd,200,4,C014,dongguan,D_dongguan,dongguan,D_guangzhou,guangzhou,36605.188570189,30560.400384932,6044.788185256999,16.513473694217847,False,D_guangzhou,True,same-city administrative depot is not the directed-road nearest depot,"{""D_dongguan"": 36605.188570189, ""D_foshan"": 57405.241568378, ""D_guangzhou"": 30560.400384932, ""D_shenzhen"": 55484.959995088}"
cn-prd-200c-01-V2-LOCATIONS,prd,200,4,C015,dongguan,D_dongguan,dongguan,D_guangzhou,guangzhou,35215.984223312,34143.312386393,1072.6718369189985,3.045980001913221,False,D_guangzhou,True,same-city administrative depot is not the directed-road nearest depot,"{""D_dongguan"": 35215.984223312, ""D_foshan"": 53940.250722498, ""D_guangzhou"": 34143.312386393, ""D_shenzhen"": 52694.037968103}"
cn-prd-200c-01-V2-LOCATIONS,prd,200,4,C061,guangzhou,D_guangzhou,guangzhou,D_foshan,foshan,37138.51975339,35995.978278967,1142.5414744230002,3.076432453446692,False,D_foshan,True,same-city administrative depot is not the directed-road nearest depot,"{""D_dongguan"": 93255.032442178, ""D_foshan"": 35995.978278967, ""D_guangzhou"": 37138.51975339, ""D_shenzhen"": 121063.221329138}"
cn-prd-200c-01-V2-LOCATIONS,prd,200,4,C075,guangzhou,D_guangzhou,guangzhou,D_foshan,foshan,37162.06588257,36019.524408147,1142.5414744230002,3.074483205625236,False,D_foshan,True,same-city administrative depot is not the directed-road nearest depot,"{""D_dongguan"": 93278.578571358, ""D_foshan"": 36019.524408147, ""D_guangzhou"": 37162.06588257, ""D_shenzhen"": 121086.767458318}"
cn-prd-200c-01-V2-LOCATIONS,prd,200,4,C086,guangzhou,D_guangzhou,guangzhou,D_foshan,foshan,37099.875115099,35767.045969807,1332.829145292002,3.5925434820387414,False,D_foshan,True,same-city administrative depot is not the directed-road nearest depot,"{""D_dongguan"": 93216.387803887, ""D_foshan"": 35767.045969807, ""D_guangzhou"": 37099.875115099, ""D_shenzhen"": 120834.289019978}"
cn-prd-200c-01-V2-LOCATIONS,prd,200,4,C102,guangzhou,D_guangzhou,guangzhou,D_foshan,foshan,43044.173541326,40389.877468267,2654.2960730590057,6.1664468258652,False,D_foshan,True,same-city administrative depot is not the directed-road nearest depot,"{""D_dongguan"": 99160.686230114, ""D_foshan"": 40389.877468267, ""D_guangzhou"": 43044.173541326, ""D_shenzhen"": 124974.454751144}"
cn-prd-200c-02-V2-LOCATIONS,prd,200,4,C003,dongguan,D_dongguan,dongguan,D_guangzhou,guangzhou,31390.928699925,27448.492198031,3942.4365018940007,12.559158537744759,False,D_guangzhou,True,same-city administrative depot is not the directed-road nearest depot,"{""D_dongguan"": 31390.928699925, ""D_foshan"": 60388.682885786, ""D_guangzhou"": 27448.492198031, ""D_shenzhen"": 59115.588891838}"
