instance_id,region,customer_count,depot_count,customer_id,customer_city,administrative_depot,administrative_depot_city,nearest_depot,nearest_depot_city,administrative_distance_m,nearest_distance_m,road_distance_saving_m,road_distance_saving_pct_of_administrative,nearest_tie,nearest_tie_candidates,mismatch,cause,all_directed_depot_to_customer_distances_m
cn-cy-100c-01-V2-LOCATIONS,cy,100,2,C001,chengdu,D_chengdu,chengdu,D_chengdu,chengdu,23840.457563232,23840.457563232,0.0,0.0,False,D_chengdu,False,same-city administrative depot is road-nearest,"{""D_chengdu"": 23840.457563232, ""D_chongqing"": 333436.301332205}"
cn-cy-100c-01-V2-LOCATIONS,cy,100,2,C002,chengdu,D_chengdu,chengdu,D_chengdu,chengdu,20984.662666283,20984.662666283,0.0,0.0,False,D_chengdu,False,same-city administrative depot is road-nearest,"{""D_chengdu"": 20984.662666283, ""D_chongqing"": 330766.937877274}"
cn-cy-100c-01-V2-LOCATIONS,cy,100,2,C003,chengdu,D_chengdu,chengdu,D_chengdu,chengdu,23257.982439948,23257.982439948,0.0,0.0,False,D_chengdu,False,same-city administrative depot is road-nearest,"{""D_chengdu"": 23257.982439948, ""D_chongqing"": 330588.373979451}"
cn-cy-100c-01-V2-LOCATIONS,cy,100,2,C004,chengdu,D_chengdu,chengdu,D_chengdu,chengdu,24377.997592809,24377.997592809,0.0,0.0,False,D_chengdu,False,same-city administrative depot is road-nearest,"{""D_chengdu"": 24377.997592809, ""D_chongqing"": 333973.841361782}"
cn-cy-100c-01-V2-LOCATIONS,cy,100,2,C005,chengdu,D_chengdu,chengdu,D_chengdu,chengdu,23954.901892089,23954.901892089,0.0,0.0,False,D_chengdu,False,same-city administrative depot is road-nearest,"{""D_chengdu"": 23954.901892089, ""D_chongqing"": 325594.350757634}"
cn-cy-100c-01-V2-LOCATIONS,cy,100,2,C006,chengdu,D_chengdu,chengdu,D_chengdu,chengdu,30128.57320208,30128.57320208,0.0,0.0,False,D_chengdu,False,same-city administrative depot is road-nearest,"{""D_chengdu"": 30128.57320208, ""D_chongqing"": 336646.270791346}"
cn-cy-100c-01-V2-LOCATIONS,cy,100,2,C007,chengdu,D_chengdu,chengdu,D_chengdu,chengdu,26466.592634596,26466.592634596,0.0,0.0,False,D_chengdu,False,same-city administrative depot is road-nearest,"{""D_chengdu"": 26466.592634596, ""D_chongqing"": 332984.290223862}"
cn-cy-100c-01-V2-LOCATIONS,cy,100,2,C008,chengdu,D_chengdu,chengdu,D_chengdu,chengdu,25140.377360839,25140.377360839,0.0,0.0,False,D_chengdu,False,same-city administrative depot is road-nearest,"{""D_chengdu"": 25140.377360839, ""D_chongqing"": 328002.224732043}"
cn-cy-100c-01-V2-LOCATIONS,cy,100,2,C009,chengdu,D_chengdu,chengdu,D_chengdu,chengdu,26554.55647172,26554.55647172,0.0,0.0,False,D_chengdu,False,same-city administrative depot is road-nearest,"{""D_chengdu"": 26554.55647172, ""D_chongqing"": 325564.461560699}"
cn-cy-100c-01-V2-LOCATIONS,cy,100,2,C010,chengdu,D_chengdu,chengdu,D_chengdu,chengdu,24631.382365878,24631.382365878,0.0,0.0,False,D_chengdu,False,same-city administrative depot is road-nearest,"{""D_chengdu"": 24631.382365878, ""D_chongqing"": 324781.792831777}"
cn-cy-100c-01-V2-LOCATIONS,cy,100,2,C011,chengdu,D_chengdu,chengdu,D_chengdu,chengdu,29704.230490427,29704.230490427,0.0,0.0,False,D_chengdu,False,same-city administrative depot is road-nearest,"{""D_chengdu"": 29704.230490427, ""D_chongqing"": 329854.640956326}"
cn-cy-100c-01-V2-LOCATIONS,cy,100,2,C012,chengdu,D_chengdu,chengdu,D_chengdu,chengdu,24277.563163552,24277.563163552,0.0,0.0,False,D_chengdu,False,same-city administrative depot is road-nearest,"{""D_chengdu"": 24277.563163552, ""D_chongqing"": 326174.183819502}"
cn-cy-100c-01-V2-LOCATIONS,cy,100,2,C013,chengdu,D_chengdu,chengdu,D_chengdu,chengdu,23879.333324029,23879.333324029,0.0,0.0,False,D_chengdu,False,same-city administrative depot is road-nearest,"{""D_chengdu"": 23879.333324029, ""D_chongqing"": 325669.919275614}"
cn-cy-100c-01-V2-LOCATIONS,cy,100,2,C014,chengdu,D_chengdu,chengdu,D_chengdu,chengdu,33717.303787517,33717.303787517,0.0,0.0,False,D_chengdu,False,same-city administrative depot is road-nearest,"{""D_chengdu"": 33717.303787517, ""D_chongqing"": 331940.602105507}"
cn-cy-100c-01-V2-LOCATIONS,cy,100,2,C015,chengdu,D_chengdu,chengdu,D_chengdu,chengdu,23056.862796649,23056.862796649,0.0,0.0,False,D_chengdu,False,same-city administrative depot is road-nearest,"{""D_chengdu"": 23056.862796649, ""D_chongqing"": 335298.196900496}"
cn-cy-100c-01-V2-LOCATIONS,cy,100,2,C016,chengdu,D_chengdu,chengdu,D_chengdu,chengdu,25231.433301181,25231.433301181,0.0,0.0,False,D_chengdu,False,same-city administrative depot is road-nearest,"{""D_chengdu"": 25231.433301181, ""D_chongqing"": 336489.587719252}"
cn-cy-100c-01-V2-LOCATIONS,cy,100,2,C017,chengdu,D_chengdu,chengdu,D_chengdu,chengdu,27483.358418668,27483.358418668,0.0,0.0,False,D_chengdu,False,same-city administrative depot is road-nearest,"{""D_chengdu"": 27483.358418668, ""D_chongqing"": 329631.444431708}"
cn-cy-100c-01-V2-LOCATIONS,cy,100,2,C018,chengdu,D_chengdu,chengdu,D_chengdu,chengdu,33669.096752087,33669.096752087,0.0,0.0,False,D_chengdu,False,same-city administrative depot is road-nearest,"{""D_chengdu"": 33669.096752087, ""D_chongqing"": 331892.395070077}"
cn-cy-100c-01-V2-LOCATIONS,cy,100,2,C019,chengdu,D_chengdu,chengdu,D_chengdu,chengdu,22953.416616519,22953.416616519,0.0,0.0,False,D_chengdu,False,same-city administrative depot is road-nearest,"{""D_chengdu"": 22953.416616519, ""D_chongqing"": 335194.750720366}"
cn-cy-100c-01-V2-LOCATIONS,cy,100,2,C020,chengdu,D_chengdu,chengdu,D_chengdu,chengdu,24512.629824031,24512.629824031,0.0,0.0,False,D_chengdu,False,same-city administrative depot is road-nearest,"{""D_chengdu"": 24512.629824031, ""D_chongqing"": 324987.228964187}"
cn-cy-100c-01-V2-LOCATIONS,cy,100,2,C021,chengdu,D_chengdu,chengdu,D_chengdu,chengdu,28493.842088976,28493.842088976,0.0,0.0,False,D_chengdu,False,same-city administrative depot is road-nearest,"{""D_chengdu"": 28493.842088976, ""D_chongqing"": 329362.030269312}"
cn-cy-100c-01-V2-LOCATIONS,cy,100,2,C022,chengdu,D_chengdu,chengdu,D_chengdu,chengdu,26762.625522598,26762.625522598,0.0,0.0,False,D_chengdu,False,same-city administrative depot is road-nearest,"{""D_chengdu"": 26762.625522598, ""D_chongqing"": 329659.28197539}"
cn-cy-100c-01-V2-LOCATIONS,cy,100,2,C023,chengdu,D_chengdu,chengdu,D_chengdu,chengdu,26562.188062522,26562.188062522,0.0,0.0,False,D_chengdu,False,same-city administrative depot is road-nearest,"{""D_chengdu"": 26562.188062522, ""D_chongqing"": 328458.808718471}"
cn-cy-100c-01-V2-LOCATIONS,cy,100,2,C024,chengdu,D_chengdu,chengdu,D_chengdu,chengdu,23642.533013942,23642.533013942,0.0,0.0,False,D_chengdu,False,same-city administrative depot is road-nearest,"{""D_chengdu"": 23642.533013942, ""D_chongqing"": 326087.44086215}"
cn-cy-100c-01-V2-LOCATIONS,cy,100,2,C025,chengdu,D_chengdu,chengdu,D_chengdu,chengdu,29770.003239516,29770.003239516,0.0,0.0,False,D_chengdu,False,same-city administrative depot is road-nearest,"{""D_chengdu"": 29770.003239516, ""D_chongqing"": 330980.119433969}"
cn-cy-100c-01-V2-LOCATIONS,cy,100,2,C026,chengdu,D_chengdu,chengdu,D_chengdu,chengdu,30662.04576887,30662.04576887,0.0,0.0,False,D_chengdu,False,same-city administrative depot is road-nearest,"{""D_chengdu"": 30662.04576887, ""D_chongqing"": 331755.462313842}"
cn-cy-100c-01-V2-LOCATIONS,cy,100,2,C027,chengdu,D_chengdu,chengdu,D_chengdu,chengdu,26101.214618656,26101.214618656,0.0,0.0,False,D_chengdu,False,same-city administrative depot is road-nearest,"{""D_chengdu"": 26101.214618656, ""D_chongqing"": 332618.912207922}"
cn-cy-100c-01-V2-LOCATIONS,cy,100,2,C028,chengdu,D_chengdu,chengdu,D_chengdu,chengdu,22831.105064342,22831.105064342,0.0,0.0,False,D_chengdu,False,same-city administrative depot is road-nearest,"{""D_chengdu"": 22831.105064342, ""D_chongqing"": 332458.649991314}"
cn-cy-100c-01-V2-LOCATIONS,cy,100,2,C029,chengdu,D_chengdu,chengdu,D_chengdu,chengdu,25506.911719662,25506.911719662,0.0,0.0,False,D_chengdu,False,same-city administrative depot is road-nearest,"{""D_chengdu"": 25506.911719662, ""D_chongqing"": 327403.532375611}"
cn-cy-100c-01-V2-LOCATIONS,cy,100,2,C030,chengdu,D_chengdu,chengdu,D_chengdu,chengdu,25233.65113625,25233.65113625,0.0,0.0,False,D_chengdu,False,same-city administrative depot is road-nearest,"{""D_chengdu"": 25233.65113625, ""D_chongqing"": 325233.019708814}"
