instance,customer_id,home_depot_id,base_home_depot_id,moved
L-main-threeshift-200c-01,C001,D0,D0,0
L-main-threeshift-200c-01,C002,D1,D0,1
L-main-threeshift-200c-01,C003,D1,D1,0
L-main-threeshift-200c-01,C004,D0,D1,1
L-main-threeshift-200c-01,C005,D1,D1,0
L-main-threeshift-200c-01,C006,D0,D1,1
L-main-threeshift-200c-01,C007,D1,D1,0
L-main-threeshift-200c-01,C008,D1,D0,1
L-main-threeshift-200c-01,C009,D1,D1,0
L-main-threeshift-200c-01,C010,D0,D0,0
L-main-threeshift-200c-01,C011,D0,D1,1
L-main-threeshift-200c-01,C012,D1,D0,1
L-main-threeshift-200c-01,C013,D0,D0,0
L-main-threeshift-200c-01,C014,D0,D0,0
L-main-threeshift-200c-01,C015,D0,D0,0
L-main-threeshift-200c-01,C016,D1,D1,0
L-main-threeshift-200c-01,C017,D0,D0,0
L-main-threeshift-200c-01,C018,D1,D1,0
L-main-threeshift-200c-01,C019,D1,D1,0
L-main-threeshift-200c-01,C020,D0,D0,0
L-main-threeshift-200c-01,C021,D1,D1,0
L-main-threeshift-200c-01,C022,D1,D1,0
L-main-threeshift-200c-01,C023,D0,D1,1
L-main-threeshift-200c-01,C024,D1,D1,0
L-main-threeshift-200c-01,C025,D0,D1,1
L-main-threeshift-200c-01,C026,D0,D0,0
L-main-threeshift-200c-01,C027,D0,D0,0
L-main-threeshift-200c-01,C028,D1,D0,1
L-main-threeshift-200c-01,C029,D0,D0,0
L-main-threeshift-200c-01,C030,D0,D0,0
L-main-threeshift-200c-01,C031,D1,D1,0
L-main-threeshift-200c-01,C032,D1,D1,0
L-main-threeshift-200c-01,C033,D0,D1,1
L-main-threeshift-200c-01,C034,D1,D1,0
L-main-threeshift-200c-01,C035,D1,D1,0
L-main-threeshift-200c-01,C036,D1,D0,1
L-main-threeshift-200c-01,C037,D1,D1,0
L-main-threeshift-200c-01,C038,D0,D1,1
L-main-threeshift-200c-01,C039,D0,D0,0
L-main-threeshift-200c-01,C040,D1,D1,0
L-main-threeshift-200c-01,C041,D0,D0,0
L-main-threeshift-200c-01,C042,D1,D1,0
L-main-threeshift-200c-01,C043,D1,D0,1
L-main-threeshift-200c-01,C044,D0,D1,1
L-main-threeshift-200c-01,C045,D0,D0,0
L-main-threeshift-200c-01,C046,D0,D0,0
L-main-threeshift-200c-01,C047,D0,D0,0
L-main-threeshift-200c-01,C048,D1,D1,0
L-main-threeshift-200c-01,C049,D1,D0,1
L-main-threeshift-200c-01,C050,D1,D0,1
L-main-threeshift-200c-01,C051,D0,D1,1
L-main-threeshift-200c-01,C052,D1,D0,1
L-main-threeshift-200c-01,C053,D1,D0,1
L-main-threeshift-200c-01,C054,D0,D0,0
L-main-threeshift-200c-01,C055,D0,D0,0
L-main-threeshift-200c-01,C056,D1,D1,0
L-main-threeshift-200c-01,C057,D0,D0,0
L-main-threeshift-200c-01,C058,D0,D0,0
L-main-threeshift-200c-01,C059,D1,D1,0
L-main-threeshift-200c-01,C060,D0,D0,0
L-main-threeshift-200c-01,C061,D1,D1,0
L-main-threeshift-200c-01,C062,D1,D1,0
L-main-threeshift-200c-01,C063,D1,D1,0
L-main-threeshift-200c-01,C064,D1,D1,0
L-main-threeshift-200c-01,C065,D0,D0,0
L-main-threeshift-200c-01,C066,D1,D1,0
L-main-threeshift-200c-01,C067,D0,D0,0
L-main-threeshift-200c-01,C068,D0,D0,0
