customer_id,owner_depot_id
C001,D1
C002,D0
C003,D0
C004,D0
C005,D0
C006,D1
C007,D1
C008,D0
C009,D1
C010,D0
C011,D0
C012,D0
C013,D0
C014,D0
C015,D1
C016,D1
C017,D1
C018,D1
C019,D1
C020,D1
C021,D1
C022,D1
C023,D0
C024,D0
C025,D1
C026,D0
C027,D1
C028,D1
C029,D1
C030,D0
C031,D0
C032,D1
C033,D0
C034,D1
C035,D0
C036,D1
C037,D0
C038,D0
C039,D1
C040,D0
C041,D0
C042,D1
C043,D1
C044,D0
C045,D0
C046,D0
C047,D1
C048,D1
C049,D0
C050,D0
C051,D1
C052,D0
C053,D0
C054,D1
C055,D0
C056,D0
C057,D0
C058,D0
C059,D1
C060,D1
C061,D1
C062,D1
C063,D1
C064,D0
C065,D0
C066,D1
C067,D1
C068,D1
C069,D0
C070,D0
C071,D0
C072,D1
C073,D0
C074,D1
C075,D1
C076,D0
C077,D0
C078,D0
C079,D1
C080,D0
C081,D1
C082,D0
C083,D1
C084,D0
C085,D0
C086,D1
C087,D0
C088,D1
C089,D1
C090,D1
C091,D0
C092,D0
C093,D0
C094,D1
C095,D0
C096,D1
C097,D1
C098,D1
C099,D1
C100,D0
C101,D1
C102,D0
C103,D0
C104,D0
C105,D0
C106,D1
C107,D1
C108,D0
C109,D1
C110,D1
C111,D1
C112,D1
C113,D1
C114,D0
C115,D0
C116,D0
C117,D0
C118,D1
C119,D0
C120,D0
C121,D1
C122,D1
C123,D0
C124,D0
C125,D1
C126,D1
C127,D0
C128,D0
C129,D1
C130,D1
C131,D1
C132,D1
C133,D0
C134,D0
C135,D0
C136,D0
C137,D1
C138,D0
C139,D0
C140,D0
C141,D0
C142,D1
C143,D0
C144,D1
C145,D0
C146,D1
C147,D0
C148,D1
C149,D1
C150,D0
C151,D1
C152,D1
C153,D0
C154,D1
C155,D1
C156,D1
C157,D0
C158,D1
C159,D0
C160,D0
C161,D0
C162,D1
C163,D0
