instance,failure_reason,count
e2-threeshift-100c-01,ACCEPTED,3
e2-threeshift-100c-01,CHARGING_TIME_WINDOW_DETOUR,9
e2-threeshift-100c-02,ACCEPTED,5
e2-threeshift-100c-02,CHARGING_TIME_WINDOW_DETOUR,6
e2-threeshift-100c-03,ACCEPTED,6
e2-threeshift-100c-03,CHARGING_TIME_WINDOW_DETOUR,5
e2-threeshift-150c-01,ACCEPTED,9
e2-threeshift-150c-01,CHARGING_TIME_WINDOW_DETOUR,7
e2-threeshift-150c-02,ACCEPTED,10
e2-threeshift-150c-02,CHARGING_TIME_WINDOW_DETOUR,3
e2-threeshift-150c-03,ACCEPTED,8
e2-threeshift-150c-03,CHARGING_TIME_WINDOW_DETOUR,6
e2-threeshift-200c-01,ACCEPTED,10
e2-threeshift-200c-01,CHARGING_TIME_WINDOW_DETOUR,12
e2-threeshift-200c-02,ACCEPTED,11
e2-threeshift-200c-02,CHARGING_TIME_WINDOW_DETOUR,11
e2-threeshift-200c-03,ACCEPTED,13
e2-threeshift-200c-03,CHARGING_TIME_WINDOW_DETOUR,8
