node_id,node_type,x,y,demand,ready_time,due_time,service_time,station_capacity,station_chargers,charge_power_kw,carbon_region
D0,d,41477.7008136896,-2846.4371357448754,0.0,0.0,86400.0,0.0,87,87,,
D1,d,-1810.857816186684,1191.3799561833948,0.0,0.0,86400.0,0.0,87,87,,
C001,c,-41673.10780597119,31181.056297198178,789.8,3239.0,22907.0,752.0,,,,
C002,c,-37111.32879747632,33305.17631403482,403.1,0.0,19376.0,398.0,,,,
C003,c,-14440.722328213631,1313.7092017150317,501.7,2751.4,23162.4,1506.0,,,,
C004,c,704.1027283586461,-29836.602544155,157.6,1417.3,19831.3,318.0,,,,
C005,c,33166.401163205875,-4941.381594432607,601.3,248.7,20804.7,792.0,,,,
C006,c,41614.748843496614,-19863.96340789292,353.4,0.0,20524.0,1354.0,,,,
C007,c,21740.381680349703,-2846.4371357448754,525.4,10157.6,30029.6,924.0,,,,
C008,c,-36611.78701461991,24036.544219603074,390.3,0.0,20999.0,1076.0,,,,
C009,c,48623.63468321714,-29462.992484196497,522.4,5469.3,26103.3,1222.0,,,,
C010,c,41502.13936923225,12804.482617786813,143.3,6884.0,27832.0,1650.0,,,,
C011,c,33554.56393244375,-16506.163713348742,258.6,3761.1,23987.1,814.0,,,,
C012,c,48518.86467091462,-2070.824575345602,212.8,4587.2,23834.2,212.0,,,,
C013,c,13893.732694018434,-16825.724748077846,228.4,1037.9,21123.9,1020.0,,,,
C014,c,16500.767349778722,-6414.588726569747,591.2,0.0,20776.0,1350.0,,,,
C015,c,-5426.90892854018,-689.9554858543506,763.4,3687.6,22684.6,750.0,,,,
C016,c,40627.26350800958,-28314.66266179319,856.7,0.0,20226.0,814.0,,,,
C017,c,20476.205206042403,7006.107718113636,117.9,1324.0,21306.0,846.0,,,,
C018,c,10781.632725638556,-21074.122992421653,395.7,0.0,18997.0,750.0,,,,
C019,c,37823.84782080972,1585.8254596493462,146.4,3533.7,24517.7,998.0,,,,
C020,c,44583.972927579365,7787.453909318908,342.0,6069.5,25610.5,458.0,,,,
C021,c,41379.94659151897,-7085.982489889213,510.4,2443.6,22066.6,266.0,,,,
C022,c,-2734.3956581234115,3348.0778043394002,236.1,6996.9,27067.9,1308.0,,,,
C023,c,-60000.0,18648.626729372576,170.8,2544.4,22589.4,504.0,,,,
C024,c,38314.15198874903,-25355.458751258437,594.8,3397.7,23892.7,756.0,,,,
C025,c,5785.532504009436,-21233.06510252429,708.0,1011.8,21343.8,1052.0,,,,
C026,c,50105.75862647523,-7528.980418837151,201.8,2426.5,20759.5,228.0,,,,
C027,c,10628.823142189685,5696.729391126199,651.0,6809.1,27338.1,1118.0,,,,
C028,c,43353.136482452566,-17440.818180016708,257.6,3447.4,23985.4,1478.0,,,,
C029,c,16032.762194831772,20418.297577508034,521.7,1423.2,21032.2,552.0,,,,
C030,c,36236.342909478284,-14745.768960661964,462.6,3441.2,22970.2,1186.0,,,,
C031,c,3070.318542897444,-14610.941682289566,409.7,645.1,20690.1,504.0,,,,
C032,c,49957.40216419118,-5231.888581648595,199.0,5813.7,25965.7,684.0,,,,
C033,c,-29692.598527445527,10355.31542781315,350.6,2048.2,22125.2,406.0,,,,
C034,c,44448.334181492384,-20608.135210654586,386.8,5506.1,25015.1,1196.0,,,,
C035,c,10581.824407422691,10090.08166371848,389.2,345.9,20747.9,882.0,,,,
C036,c,-51846.07148017855,-14868.437520771142,211.2,8828.1,28451.1,266.0,,,,
C037,c,46722.004565600764,31859.294828229285,669.3,5022.6,25706.6,916.0,,,,
C038,c,-44303.910355306034,2635.244483939201,595.9,3485.2,22436.2,346.0,,,,
C039,c,46167.706205967304,-17826.845305582472,533.5,0.0,20524.0,1354.0,,,,
C040,c,30552.18352268956,-9843.325234974134,835.0,5409.7,26201.7,1262.0,,,,
C041,c,-22229.762488948865,14808.909406626924,176.1,2121.8,21675.8,1138.0,,,,
C042,c,4994.529371975871,-14396.697451406902,540.6,2115.4,20529.4,318.0,,,,
C043,c,25675.686598795477,-9435.931826230117,373.3,0.0,19926.0,916.0,,,,
C044,c,24000.798381110453,-5626.638612218456,221.1,0.0,19529.0,1186.0,,,,
