instance,customer_id,home_depot_id,base_home_depot_id,moved
L-main-threeshift-200c-01,C001,D1,D0,1
L-main-threeshift-200c-01,C002,D1,D0,1
L-main-threeshift-200c-01,C003,D1,D1,0
L-main-threeshift-200c-01,C004,D1,D1,0
L-main-threeshift-200c-01,C005,D0,D1,1
L-main-threeshift-200c-01,C006,D1,D1,0
L-main-threeshift-200c-01,C007,D1,D1,0
L-main-threeshift-200c-01,C008,D0,D0,0
L-main-threeshift-200c-01,C009,D0,D1,1
L-main-threeshift-200c-01,C010,D1,D0,1
L-main-threeshift-200c-01,C011,D1,D1,0
L-main-threeshift-200c-01,C012,D0,D0,0
L-main-threeshift-200c-01,C013,D1,D0,1
L-main-threeshift-200c-01,C014,D0,D0,0
L-main-threeshift-200c-01,C015,D1,D0,1
L-main-threeshift-200c-01,C016,D1,D1,0
L-main-threeshift-200c-01,C017,D1,D0,1
L-main-threeshift-200c-01,C018,D1,D1,0
L-main-threeshift-200c-01,C019,D1,D1,0
L-main-threeshift-200c-01,C020,D0,D0,0
L-main-threeshift-200c-01,C021,D0,D1,1
L-main-threeshift-200c-01,C022,D1,D1,0
L-main-threeshift-200c-01,C023,D0,D1,1
L-main-threeshift-200c-01,C024,D0,D1,1
L-main-threeshift-200c-01,C025,D1,D1,0
L-main-threeshift-200c-01,C026,D1,D0,1
L-main-threeshift-200c-01,C027,D1,D0,1
L-main-threeshift-200c-01,C028,D1,D0,1
L-main-threeshift-200c-01,C029,D1,D0,1
L-main-threeshift-200c-01,C030,D0,D0,0
L-main-threeshift-200c-01,C031,D1,D1,0
L-main-threeshift-200c-01,C032,D1,D1,0
L-main-threeshift-200c-01,C033,D1,D1,0
L-main-threeshift-200c-01,C034,D1,D1,0
L-main-threeshift-200c-01,C035,D0,D1,1
L-main-threeshift-200c-01,C036,D0,D0,0
L-main-threeshift-200c-01,C037,D1,D1,0
L-main-threeshift-200c-01,C038,D0,D1,1
L-main-threeshift-200c-01,C039,D0,D0,0
L-main-threeshift-200c-01,C040,D0,D1,1
L-main-threeshift-200c-01,C041,D1,D0,1
L-main-threeshift-200c-01,C042,D0,D1,1
L-main-threeshift-200c-01,C043,D1,D0,1
L-main-threeshift-200c-01,C044,D0,D1,1
L-main-threeshift-200c-01,C045,D1,D0,1
L-main-threeshift-200c-01,C046,D0,D0,0
L-main-threeshift-200c-01,C047,D0,D0,0
L-main-threeshift-200c-01,C048,D0,D1,1
L-main-threeshift-200c-01,C049,D0,D0,0
L-main-threeshift-200c-01,C050,D0,D0,0
L-main-threeshift-200c-01,C051,D1,D1,0
L-main-threeshift-200c-01,C052,D0,D0,0
L-main-threeshift-200c-01,C053,D1,D0,1
L-main-threeshift-200c-01,C054,D1,D0,1
L-main-threeshift-200c-01,C055,D0,D0,0
L-main-threeshift-200c-01,C056,D1,D1,0
L-main-threeshift-200c-01,C057,D0,D0,0
L-main-threeshift-200c-01,C058,D1,D0,1
L-main-threeshift-200c-01,C059,D0,D1,1
L-main-threeshift-200c-01,C060,D1,D0,1
L-main-threeshift-200c-01,C061,D0,D1,1
L-main-threeshift-200c-01,C062,D0,D1,1
L-main-threeshift-200c-01,C063,D0,D1,1
L-main-threeshift-200c-01,C064,D0,D1,1
L-main-threeshift-200c-01,C065,D1,D0,1
L-main-threeshift-200c-01,C066,D1,D1,0
L-main-threeshift-200c-01,C067,D0,D0,0
L-main-threeshift-200c-01,C068,D1,D0,1
L-main-threeshift-200c-01,C069,D0,D1,1
L-main-threeshift-200c-01,C070,D0,D1,1
L-main-threeshift-200c-01,C071,D0,D0,0
L-main-threeshift-200c-01,C072,D0,D1,1
L-main-threeshift-200c-01,C073,D1,D1,0
L-main-threeshift-200c-01,C074,D0,D1,1
L-main-threeshift-200c-01,C075,D0,D0,0
L-main-threeshift-200c-01,C076,D0,D0,0
L-main-threeshift-200c-01,C077,D1,D1,0
L-main-threeshift-200c-01,C078,D1,D0,1
L-main-threeshift-200c-01,C079,D1,D1,0
L-main-threeshift-200c-01,C080,D0,D0,0
L-main-threeshift-200c-01,C081,D0,D0,0
L-main-threeshift-200c-01,C082,D1,D0,1
L-main-threeshift-200c-01,C083,D0,D1,1
L-main-threeshift-200c-01,C084,D0,D1,1
L-main-threeshift-200c-01,C085,D1,D0,1
L-main-threeshift-200c-01,C086,D1,D0,1
L-main-threeshift-200c-01,C087,D0,D1,1
L-main-threeshift-200c-01,C088,D1,D1,0
L-main-threeshift-200c-01,C089,D0,D1,1
L-main-threeshift-200c-01,C090,D0,D1,1
L-main-threeshift-200c-01,C091,D1,D1,0
L-main-threeshift-200c-01,C092,D1,D0,1
L-main-threeshift-200c-01,C093,D1,D0,1
L-main-threeshift-200c-01,C094,D0,D0,0
L-main-threeshift-200c-01,C095,D0,D1,1
L-main-threeshift-200c-01,C096,D0,D1,1
L-main-threeshift-200c-01,C097,D0,D1,1
L-main-threeshift-200c-01,C098,D0,D1,1
L-main-threeshift-200c-01,C099,D1,D1,0
L-main-threeshift-200c-01,C100,D1,D0,1
L-main-threeshift-200c-01,C101,D1,D1,0
L-main-threeshift-200c-01,C102,D0,D0,0
L-main-threeshift-200c-01,C103,D0,D1,1
L-main-threeshift-200c-01,C104,D0,D0,0
L-main-threeshift-200c-01,C105,D0,D0,0
L-main-threeshift-200c-01,C106,D0,D1,1
L-main-threeshift-200c-01,C107,D0,D1,1
L-main-threeshift-200c-01,C108,D1,D0,1
L-main-threeshift-200c-01,C109,D1,D1,0
L-main-threeshift-200c-01,C110,D1,D1,0
L-main-threeshift-200c-01,C111,D0,D0,0
L-main-threeshift-200c-01,C112,D0,D0,0
L-main-threeshift-200c-01,C113,D1,D0,1
L-main-threeshift-200c-01,C114,D1,D1,0
L-main-threeshift-200c-01,C115,D1,D1,0
L-main-threeshift-200c-01,C116,D0,D0,0
L-main-threeshift-200c-01,C117,D0,D1,1
L-main-threeshift-200c-01,C118,D1,D1,0
L-main-threeshift-200c-01,C119,D0,D1,1
L-main-threeshift-200c-01,C120,D1,D0,1
L-main-threeshift-200c-01,C121,D1,D0,1
L-main-threeshift-200c-01,C122,D1,D1,0
L-main-threeshift-200c-01,C123,D1,D0,1
L-main-threeshift-200c-01,C124,D1,D1,0
L-main-threeshift-200c-01,C125,D0,D0,0
L-main-threeshift-200c-01,C126,D0,D0,0
L-main-threeshift-200c-01,C127,D0,D0,0
L-main-threeshift-200c-01,C128,D1,D1,0
L-main-threeshift-200c-01,C129,D0,D0,0
L-main-threeshift-200c-01,C130,D1,D0,1
L-main-threeshift-200c-01,C131,D1,D1,0
L-main-threeshift-200c-01,C132,D1,D1,0
L-main-threeshift-200c-01,C133,D0,D0,0
L-main-threeshift-200c-01,C134,D1,D1,0
L-main-threeshift-200c-01,C135,D0,D1,1
L-main-threeshift-200c-01,C136,D0,D1,1
L-main-threeshift-200c-01,C137,D0,D1,1
L-main-threeshift-200c-01,C138,D1,D1,0
L-main-threeshift-200c-01,C139,D1,D1,0
L-main-threeshift-200c-01,C140,D0,D0,0
L-main-threeshift-200c-01,C141,D1,D0,1
L-main-threeshift-200c-01,C142,D1,D1,0
L-main-threeshift-200c-01,C143,D1,D0,1
L-main-threeshift-200c-01,C144,D0,D0,0
L-main-threeshift-200c-01,C145,D0,D0,0
L-main-threeshift-200c-01,C146,D1,D1,0
L-main-threeshift-200c-01,C147,D1,D0,1
L-main-threeshift-200c-01,C148,D1,D1,0
L-main-threeshift-200c-01,C149,D1,D0,1
L-main-threeshift-200c-01,C150,D1,D0,1
L-main-threeshift-200c-01,C151,D0,D1,1
L-main-threeshift-200c-01,C152,D0,D1,1
L-main-threeshift-200c-01,C153,D0,D1,1
L-main-threeshift-200c-01,C154,D1,D0,1
L-main-threeshift-200c-01,C155,D1,D0,1
L-main-threeshift-200c-01,C156,D1,D1,0
L-main-threeshift-200c-01,C157,D0,D0,0
L-main-threeshift-200c-01,C158,D1,D1,0
L-main-threeshift-200c-01,C159,D1,D1,0
L-main-threeshift-200c-01,C160,D1,D1,0
L-main-threeshift-200c-01,C161,D1,D1,0
L-main-threeshift-200c-01,C162,D0,D0,0
L-main-threeshift-200c-01,C163,D0,D0,0
L-main-threeshift-200c-01,C164,D0,D0,0
L-main-threeshift-200c-01,C165,D0,D0,0
L-main-threeshift-200c-01,C166,D1,D1,0
L-main-threeshift-200c-01,C167,D1,D0,1
L-main-threeshift-200c-01,C168,D0,D0,0
L-main-threeshift-200c-01,C169,D1,D0,1
L-main-threeshift-200c-01,C170,D1,D1,0
