instance,class,series_member,source_member,source_member_sha256,node_count,customer_count,customer_id_min,customer_id_max,duplicate_id_count,ids_contiguous_0_200,vehicle_limit,capacity,total_customer_demand,demand_min,demand_max,demand_exceeds_capacity_count,depot_ready,depot_due,customer_ready_min,customer_due_max,customer_tw_width_min,customer_tw_width_max,customer_tw_width_mean,tw_order_violation_count,negative_demand_count,negative_service_count,x_min,x_max,y_min,y_max,source_gate_pass,search_evaluations
C1_2_1,C1,1,C1_2_1.TXT,b0352e8c02428c8404c5cb18b81195f285410311c725a8b8f1ee34c619e1c751,201,200,1,200,0,1,50,200,3530,10,40,0,0,1351,15,1198,33,86,60.355000,0,0,0,0,139,0,140,1,0
C1_2_8,C1,8,C1_2_8.TXT,d98798ea3f1c8eb219f73abef2690d0a63ed960798d6abcdbc4380e95e349b5e,201,200,1,200,0,1,50,200,3530,10,40,0,0,1351,14,1218,136,351,239.345000,0,0,0,0,139,0,140,1,0
C2_2_1,C2,1,C2_2_1.TXT,15a3dbcd078b9dfff90c682b0b752e0fb4012258a9156540168a3181090ecf66,201,200,1,200,0,1,50,700,3770,10,50,0,0,3598,7,3482,160,160,160.000000,0,0,0,3,131,0,138,1,0
C2_2_8,C2,8,C2_2_8.TXT,400b5fc577319ac061ca1c81a9de01bb5a9e248b6b84954cbcb40a677b94b01c,201,200,1,200,0,1,50,700,3770,10,50,0,0,3598,7,3503,640,640,640.000000,0,0,0,3,131,0,138,1,0
R1_2_1,R1,1,R1_2_1.TXT,bf13ca27d85efac8218d908b45ff164ad848d8b15d0c170c9572b22caababdf1,201,200,1,200,0,1,50,200,3513,1,43,0,0,634,9,580,10,10,10.000000,0,0,0,2,140,0,140,1,0
R1_2_8,R1,8,R1_2_8.TXT,9bcc4b3ac214f0ae272858bead119e00de50a5ebb872dca446c9bc2b665456be,201,200,1,200,0,1,50,200,3513,1,43,0,0,634,0,615,30,615,436.010000,0,0,0,2,140,0,140,1,0
R2_2_1,R2,1,R2_2_1.TXT,b6547795be5a6588fdf705b7b20449ccf02b806ae78b9c327346cecc24208ecc,201,200,1,200,0,1,50,1000,3513,1,43,0,0,2535,9,2377,5,256,121.245000,0,0,0,2,140,0,140,1,0
R2_2_8,R2,8,R2_2_8.TXT,c9e8018c804602d310ee4330c56a8969cb5a893ffba7479b6205989f1cc38701,201,200,1,200,0,1,50,1000,3513,1,43,0,0,2535,0,2524,240,2524,1914.050000,0,0,0,2,140,0,140,1,0
RC1_2_1,RC1,1,RC1_2_1.TXT,adbf41192345f3f559a75819e5b0d4273017fec73d0be2764882343a036e42f2,201,200,1,200,0,1,50,200,3558,1,43,0,0,634,9,580,30,30,30.000000,0,0,0,0,140,0,139,1,0
RC1_2_8,RC1,8,RC1_2_8.TXT,f6a86aa14454d21f10045b948e5795b8082d475e3d91c61e857847da290ea602,201,200,1,200,0,1,50,200,3558,1,43,0,0,634,9,588,18,206,119.220000,0,0,0,0,140,0,139,1,0
RC2_2_1,RC2,1,RC2_2_1.TXT,3e3acf61842af2690f72c8f8b6ba4910949d43e29ab9f47da18056d80665f0ff,201,200,1,200,0,1,50,1000,3558,1,43,0,0,2535,9,2375,120,120,120.000000,0,0,0,0,140,0,139,1,0
RC2_2_8,RC2,8,RC2_2_8.TXT,db04c7456c1cb9f805374078750a12c1097d3ca1f9c262b5e6db9ccf9c70d2b9,201,200,1,200,0,1,50,1000,3558,1,43,0,0,2535,9,2513,31,1066,485.440000,0,0,0,0,140,0,139,1,0
