record_id,experiment,instance_id,seed,variant,source_path,source_sha256,formal_result,status,failure,original_route_count,original_physical_vehicle_count,packed_physical_vehicle_count,saved_physical_vehicle_count,original_counts_by_depot_type,packed_counts_by_depot_type,certificate_status,certificate_valid,current_checker_violation_count,experiment_checker_violation_count,depot_fleet_violation_count,saved_terminal_charge_count,saved_terminal_charge_kwh,interface_directly_usable,interface_note,certificate_record_sha256,prepared_solution_sha256
E4/cn-prd-50c-01-V2-LOCATIONS/seed_10/COST_ONLY,E4,cn-prd-50c-01-V2-LOCATIONS,10,COST_ONLY,baselines/china_e3_e7/e4_joint_routing_20260801/formal_panel_20260801/cn-prd-50c-01-V2-LOCATIONS/solutions/seed10_cost_only.json,315184ae23a89b3e4fe6362144da74f66694cfb840970de04cf623de5bfdce0a,False,HALT_E4_MULTITRIP_SOC_ADAPTER_MISSING,,9,9,9,0,D_guangzhou:cv:3|D_guangzhou:ev:1|D_shenzhen:cv:3|D_shenzhen:ev:2,D_guangzhou:cv:3|D_guangzhou:ev:1|D_shenzhen:cv:3|D_shenzhen:ev:2,PASS,True,0,0,0,3,65.69585096267184,False,prepare_multitrip_solution does not receive E4 terminal_charges or its 60-20-80-next-day-60 SOC ledger,fd62f4c245bfe5af7c9be02008513cd81ce1f145707d6c233eae08b00f577fb7,49dc1f88ae6f22e2a79f0cd61053bf30d25f012e074d6f6dfafbfe13171887bc
E4/cn-prd-50c-01-V2-LOCATIONS/seed_10/COST_PLUS_CARBON,E4,cn-prd-50c-01-V2-LOCATIONS,10,COST_PLUS_CARBON,baselines/china_e3_e7/e4_joint_routing_20260801/formal_panel_20260801/cn-prd-50c-01-V2-LOCATIONS/solutions/seed10_cost_plus_carbon.json,c3664664d95e678367997f174d90bd9206b737d8b437bee70b432a0d5f47c7d1,False,HALT_E4_MULTITRIP_SOC_ADAPTER_MISSING,,9,9,9,0,D_guangzhou:cv:3|D_guangzhou:ev:1|D_shenzhen:cv:3|D_shenzhen:ev:2,D_guangzhou:cv:3|D_guangzhou:ev:1|D_shenzhen:cv:3|D_shenzhen:ev:2,PASS,True,0,0,0,3,65.69585096267184,False,prepare_multitrip_solution does not receive E4 terminal_charges or its 60-20-80-next-day-60 SOC ledger,8f584368ef8f481147fea435c51187124cb7298fa79757e3686ccf5d38b72c60,49dc1f88ae6f22e2a79f0cd61053bf30d25f012e074d6f6dfafbfe13171887bc
E4/cn-prd-50c-01-V2-LOCATIONS/seed_10/PURE_CARBON,E4,cn-prd-50c-01-V2-LOCATIONS,10,PURE_CARBON,baselines/china_e3_e7/e4_joint_routing_20260801/formal_panel_20260801/cn-prd-50c-01-V2-LOCATIONS/solutions/seed10_pure_carbon.json,ae19a10f4b03061203ed79de91699736a945a4f031a334bd146995eb5d5a31e8,False,HALT_E4_MULTITRIP_SOC_ADAPTER_MISSING,,9,9,9,0,D_guangzhou:cv:3|D_guangzhou:ev:1|D_shenzhen:cv:3|D_shenzhen:ev:2,D_guangzhou:cv:3|D_guangzhou:ev:1|D_shenzhen:cv:3|D_shenzhen:ev:2,PASS,True,0,0,0,3,67.98825917489341,False,prepare_multitrip_solution does not receive E4 terminal_charges or its 60-20-80-next-day-60 SOC ledger,7879c84c2763b153a7fa31a1fc787edba0d3d693ff6535402ac1bfb5dfadead0,6a010eb13fe8b65d618d3515ec56b1b4bdd0251342fe9e8a2b06ec74cb946f06
E4/cn-prd-50c-01-V2-LOCATIONS/seed_01/COST_ONLY,E4,cn-prd-50c-01-V2-LOCATIONS,1,COST_ONLY,baselines/china_e3_e7/e4_joint_routing_20260801/formal_panel_20260801/cn-prd-50c-01-V2-LOCATIONS/solutions/seed1_cost_only.json,059725ba60ef2e042e78793392efbc65d60affe784eb57d32a1b8c13e0d1609d,False,HALT_E4_MULTITRIP_SOC_ADAPTER_MISSING,,9,9,9,0,D_guangzhou:cv:3|D_guangzhou:ev:1|D_shenzhen:cv:3|D_shenzhen:ev:2,D_guangzhou:cv:3|D_guangzhou:ev:1|D_shenzhen:cv:3|D_shenzhen:ev:2,PASS,True,0,0,0,3,67.18256267074923,False,prepare_multitrip_solution does not receive E4 terminal_charges or its 60-20-80-next-day-60 SOC ledger,1992464057acac6d529ae7045d78d20de4d2fe6413ad9fc94e75f3595c8c991f,ba824159badb281d0221c8b1ca6973182e81551b1d37eac8c14c29aaab632f80
E4/cn-prd-50c-01-V2-LOCATIONS/seed_01/COST_PLUS_CARBON,E4,cn-prd-50c-01-V2-LOCATIONS,1,COST_PLUS_CARBON,baselines/china_e3_e7/e4_joint_routing_20260801/formal_panel_20260801/cn-prd-50c-01-V2-LOCATIONS/solutions/seed1_cost_plus_carbon.json,76788a370cb484e997ce3313ba8a03e715dd7de4295887a912b6a5511d79d005,False,HALT_E4_MULTITRIP_SOC_ADAPTER_MISSING,,9,9,9,0,D_guangzhou:cv:3|D_guangzhou:ev:1|D_shenzhen:cv:3|D_shenzhen:ev:2,D_guangzhou:cv:3|D_guangzhou:ev:1|D_shenzhen:cv:3|D_shenzhen:ev:2,PASS,True,0,0,0,3,67.18256267074923,False,prepare_multitrip_solution does not receive E4 terminal_charges or its 60-20-80-next-day-60 SOC ledger,eafd73f4bc9e4423fb1ff6febf13d6bdc32ce674f7ce76f873b5b63fec6dad94,ba824159badb281d0221c8b1ca6973182e81551b1d37eac8c14c29aaab632f80
E4/cn-prd-50c-01-V2-LOCATIONS/seed_01/PURE_CARBON,E4,cn-prd-50c-01-V2-LOCATIONS,1,PURE_CARBON,baselines/china_e3_e7/e4_joint_routing_20260801/formal_panel_20260801/cn-prd-50c-01-V2-LOCATIONS/solutions/seed1_pure_carbon.json,4ec7148d1860832dec9bb0da8aaa02a6e6c958a5e253ea7eea91a9b489f63ee1,False,HALT_E4_MULTITRIP_SOC_ADAPTER_MISSING,,9,9,9,0,D_guangzhou:cv:3|D_guangzhou:ev:1|D_shenzhen:cv:3|D_shenzhen:ev:2,D_guangzhou:cv:3|D_guangzhou:ev:1|D_shenzhen:cv:3|D_shenzhen:ev:2,PASS,True,0,0,0,3,68.14270122555497,False,prepare_multitrip_solution does not receive E4 terminal_charges or its 60-20-80-next-day-60 SOC ledger,42bd679926c714d2da5b3a34a74a22ca438120d78cd760f8f316364aef793b9b,3e32e1b8f80e0ffc3a23fb7f7f5d4e0a79161eb40c9b1cd81285d4644cabc81a
E4/cn-prd-50c-01-V2-LOCATIONS/seed_02/COST_ONLY,E4,cn-prd-50c-01-V2-LOCATIONS,2,COST_ONLY,baselines/china_e3_e7/e4_joint_routing_20260801/formal_panel_20260801/cn-prd-50c-01-V2-LOCATIONS/solutions/seed2_cost_only.json,5e66567570d8b3ca577ee6c68737b98fd8cc8f2037bda67e65c2ccb0ed589567,False,HALT_E4_MULTITRIP_SOC_ADAPTER_MISSING,,9,9,9,0,D_guangzhou:cv:3|D_guangzhou:ev:1|D_shenzhen:cv:3|D_shenzhen:ev:2,D_guangzhou:cv:3|D_guangzhou:ev:1|D_shenzhen:cv:3|D_shenzhen:ev:2,PASS,True,0,0,0,3,66.13524463456159,False,prepare_multitrip_solution does not receive E4 terminal_charges or its 60-20-80-next-day-60 SOC ledger,36a3e9f4fba67c1ecc3b21072fb53d3e87ec80ffa9631b2858c878783bae9644,4fc6a758adb81655bd4d949ee2bf061426b3f7344284fc94fdf3a86fdc696bea
E4/cn-prd-50c-01-V2-LOCATIONS/seed_02/COST_PLUS_CARBON,E4,cn-prd-50c-01-V2-LOCATIONS,2,COST_PLUS_CARBON,baselines/china_e3_e7/e4_joint_routing_20260801/formal_panel_20260801/cn-prd-50c-01-V2-LOCATIONS/solutions/seed2_cost_plus_carbon.json,f78dd027e4585a5c55019e6426e8ecad69b0c2c3018ff9cf0a0e9551b7cc4f4a,False,HALT_E4_MULTITRIP_SOC_ADAPTER_MISSING,,9,9,9,0,D_guangzhou:cv:3|D_guangzhou:ev:1|D_shenzhen:cv:3|D_shenzhen:ev:2,D_guangzhou:cv:3|D_guangzhou:ev:1|D_shenzhen:cv:3|D_shenzhen:ev:2,PASS,True,0,0,0,3,66.13524463456159,False,prepare_multitrip_solution does not receive E4 terminal_charges or its 60-20-80-next-day-60 SOC ledger,9e7d20c54e09cb370d5a3295c07829d7eeb4b05a925631c28cb713db1fee8702,4fc6a758adb81655bd4d949ee2bf061426b3f7344284fc94fdf3a86fdc696bea
E4/cn-prd-50c-01-V2-LOCATIONS/seed_02/PURE_CARBON,E4,cn-prd-50c-01-V2-LOCATIONS,2,PURE_CARBON,baselines/china_e3_e7/e4_joint_routing_20260801/formal_panel_20260801/cn-prd-50c-01-V2-LOCATIONS/solutions/seed2_pure_carbon.json,04b2a819f91ae6eca8bfb7235172a1a57200cdb2edff870801f9d2ecb4eebad7,False,HALT_E4_MULTITRIP_SOC_ADAPTER_MISSING,,9,9,9,0,D_guangzhou:cv:3|D_guangzhou:ev:1|D_shenzhen:cv:3|D_shenzhen:ev:2,D_guangzhou:cv:3|D_guangzhou:ev:1|D_shenzhen:cv:3|D_shenzhen:ev:2,PASS,True,0,0,0,3,68.36725594684329,False,prepare_multitrip_solution does not receive E4 terminal_charges or its 60-20-80-next-day-60 SOC ledger,2c1e8e393d33e2bdb994929facc01ae0ddaa1408bbbd557e1d4fbebdc1752050,21eb620f4a5dbdcbaf2ad07eff14c0c0e0ced6a81fb8d2e2d2163b6c9124f210
E4/cn-prd-50c-01-V2-LOCATIONS/seed_03/COST_ONLY,E4,cn-prd-50c-01-V2-LOCATIONS,3,COST_ONLY,baselines/china_e3_e7/e4_joint_routing_20260801/formal_panel_20260801/cn-prd-50c-01-V2-LOCATIONS/solutions/seed3_cost_only.json,7f6227e28b0c916c964c027a2372261f96b736851a15bea62d9a40df396616f9,False,HALT_E4_MULTITRIP_SOC_ADAPTER_MISSING,,9,9,9,0,D_guangzhou:cv:3|D_guangzhou:ev:1|D_shenzhen:cv:3|D_shenzhen:ev:2,D_guangzhou:cv:3|D_guangzhou:ev:1|D_shenzhen:cv:3|D_shenzhen:ev:2,PASS,True,0,0,0,3,65.2346039852356,False,prepare_multitrip_solution does not receive E4 terminal_charges or its 60-20-80-next-day-60 SOC ledger,941613886956892ca31a0f812fd4cde68af6d0fe81b003b70d85c43352493768,08a9e46be7ca31970dc424848179d7972d3e911bd64f0ebc5c95db9fb3555acf
