candidate_id,role,x,y,score,coverage_score,balance_score,distance_score,separation_score,feasibility_score,selected
D_CAND_0056,depot,-27292.418558654354,28065.387635151434,0.5967640275104689,0.5,0.9649286408033273,0.4033774692385484,1.0,0.046875,True
D_CAND_0001,depot,32469.632583985254,-20685.657293438653,0.5166904096466675,0.5,0.8583238413609067,0.16468779722576274,1.0,0.109375,True
D_CAND_0055,depot,-29128.58288236604,26940.74622859366,0.5896387354841458,0.5,0.9303832390589557,0.4094217028776275,1.0,0.046875,False
D_CAND_0067,depot,-28787.512137231803,27499.53198633642,0.5884961471912484,0.5,0.9303832390589557,0.40485134970603803,1.0,0.046875,False
D_CAND_0072,depot,-39632.34606590792,-29307.356328988037,0.5841727739825417,0.5,0.9224132089535382,0.40177788697662864,1.0,0.03125,False
D_CAND_0027,depot,-35627.77724627013,-31071.111759604006,0.5821974283088664,0.5,0.9224132089535382,0.4001265042819275,1.0,0.015625,False
D_CAND_0096,depot,-35909.708523131776,28036.211680485598,0.581891562865016,0.5,0.9614115020118681,0.3536547494481955,1.0,0.03125,False
D_CAND_0002,depot,-33578.56236094274,-31991.55686613232,0.581387468030456,0.5,0.9224132089535382,0.3968866631682857,1.0,0.015625,False
D_CAND_0046,depot,-53691.225893274655,1883.1719231560573,0.5808493550265673,0.5,0.9726598926788659,0.3444875274274035,1.0,0.015625,False
D_CAND_0112,depot,-38809.77878143467,24823.226752790135,0.5806753741732742,0.5,0.9423608713469351,0.3678406253461618,1.0,0.03125,False
D_CAND_0031,depot,-30584.69594782204,-34894.41465441137,0.5769054491191757,0.5,0.9224132089535382,0.37895858752316464,1.0,0.015625,False
D_CAND_0045,depot,-36384.70639007983,17292.795338286283,0.5767880003434237,0.5,0.828889584429078,0.4532624169446171,1.0,0.0625,False
D_CAND_0058,depot,-33712.02292584019,25386.560205208116,0.574785907134837,0.5,0.8780327255244247,0.40236090301492367,1.0,0.046875,False
D_CAND_0101,depot,-50025.60358462115,-34979.58111527842,0.5731227727653514,0.5,0.9949437096456726,0.2787973814157331,1.0,0.046875,False
D_CAND_0083,depot,-45506.64598378374,-39007.035077320565,0.5717306564278279,0.5,0.9949437096456726,0.27947891606563896,1.0,0.03125,False
D_CAND_0103,depot,-18702.47585709387,35236.081227368435,0.5701364840904096,0.5,0.9462652180787385,0.3155307182829002,1.0,0.046875,False
D_CAND_0021,depot,-36576.98653150692,-5735.209220817782,0.5697381138804466,0.5,0.762915804860105,0.5035366506616813,1.0,0.03125,False
