node_id,node_type,x,y,demand,ready_time,due_time,service_time,station_capacity,station_chargers,charge_power_kw,carbon_region
D0,d,-25621.077063407225,-1358.1433621400129,0.0,0.0,86400.0,0.0,64,64,,
D1,d,44384.08724404759,-12946.242802617122,0.0,0.0,86400.0,0.0,64,64,,
C1,c,29893.281694541336,6278.227983766406,512.3,8828.6,29173.6,1088.0,,,,
C2,c,-27935.02721958739,-1139.1574224289106,408.9,5901.5,26833.5,1148.0,,,,
C3,c,-28135.916381515566,20263.852832225748,562.6,4692.5,24453.5,1442.0,,,,
C4,c,23010.882910677257,-591.6353008918013,601.8,61.9,20080.9,1456.0,,,,
C5,c,-43891.16900674038,30650.046432509946,628.1,7635.9,26170.9,532.0,,,,
C6,c,41297.0360649049,-40091.018311045365,657.8,8246.1,27484.1,688.0,,,,
C7,c,-14715.16478709585,31906.223135944383,593.2,58.1,19331.1,434.0,,,,
C8,c,-18758.5465138003,20702.033614821834,273.9,4306.8,23520.8,484.0,,,,
C9,c,60000.0,-15717.607911774434,419.4,280.2,20498.2,1174.0,,,,
C10,c,-20964.249273991947,3296.162087741819,277.4,7478.0,26590.0,292.0,,,,
C11,c,35727.09247216013,-22495.145333455206,625.5,2360.3,22212.3,1470.0,,,,
C12,c,23821.01447048497,-21177.973187080443,657.6,1336.6,22055.6,1100.0,,,,
C13,c,-24920.937863420746,-43381.052893191445,686.1,4628.7,24552.7,348.0,,,,
C14,c,-38956.96541886966,-20648.51124980166,696.0,4987.1,24445.1,1318.0,,,,
C15,c,-2763.719771840293,7368.957513835237,799.0,3309.4,22204.4,718.0,,,,
C16,c,48140.68175888133,-19791.20307069373,320.8,580.9,20580.9,1428.0,,,,
C17,c,-44966.09941552001,-21143.580575301654,560.9,331.5,18866.5,532.0,,,,
C18,c,-35381.934006947486,-45000.0,295.2,205.2,19484.2,766.0,,,,
C19,c,-47024.01963354298,-2584.1403062386344,623.6,3732.6,22569.6,498.0,,,,
C20,c,31497.610782578315,-13666.266273469424,242.9,9989.5,29132.5,920.0,,,,
C21,c,-20909.088697036208,4467.351470911337,556.5,0.0,19476.0,736.0,,,,
C22,c,-4086.9002089921887,12892.692270641899,556.8,3849.4,23566.4,1512.0,,,,
C23,c,-30955.737532227613,4374.882457202712,148.7,4647.3,24838.3,1134.0,,,,
C24,c,-33065.307363859276,9042.993211548213,526.5,1823.9,20718.9,718.0,,,,
C25,c,-665.8660802194645,2359.686796680311,480.8,4188.9,22723.9,532.0,,,,
C26,c,3644.2897212456483,4785.585928418075,804.3,573.7,19500.7,372.0,,,,
C27,c,28604.09735314428,-31706.198342284293,298.6,7132.4,27649.4,1192.0,,,,
C28,c,23194.775814417124,-18979.608837988566,359.6,787.7,21659.7,1294.0,,,,
C29,c,20135.498985022197,-29783.818074148057,381.0,3861.7,24157.7,1650.0,,,,
C30,c,-44040.62200620858,-39850.465747229086,515.1,6109.6,27041.6,1148.0,,,,
C31,c,-56888.212758763635,-31812.52487753212,179.5,2229.9,23241.9,1330.0,,,,
C32,c,-28502.382642265882,-14944.774756681109,189.1,0.0,20122.0,844.0,,,,
