node_id,node_type,x,y,demand,ready_time,due_time,service_time,station_capacity,station_chargers,charge_power_kw,carbon_region
D0,d,-25621.077063407225,-1358.1433621400129,0.0,0.0,86400.0,0.0,64,65,,
D1,d,44384.08724404759,-12946.242802617122,0.0,0.0,86400.0,0.0,64,65,,
C1,c,29287.874014439734,8768.07813190376,245.9,2880.6,22593.6,1112.0,,,,
C2,c,18902.40371550525,-16820.012314579086,804.1,7940.2,28310.2,618.0,,,,
C3,c,-34429.27235704547,-26329.456777552314,732.4,4433.8,23782.8,1150.0,,,,
C4,c,-14564.856369275021,-14807.220519152206,336.1,0.0,20148.0,298.0,,,,
C5,c,-19316.972139717098,11794.515390123335,188.6,790.7,21794.7,1446.0,,,,
C6,c,-25067.44936457104,-17545.95662563865,219.0,4514.1,25908.1,1482.0,,,,
C7,c,15312.050708170464,-13047.895149222111,665.6,0.0,19892.0,588.0,,,,
C8,c,22213.518757110614,-12592.211739808568,740.7,233.5,19891.5,912.0,,,,
C9,c,-18808.101210856647,-40125.08037489722,451.5,4530.2,23182.2,280.0,,,,
C10,c,-12170.120755583132,2862.7001896257216,125.5,0.0,19872.0,644.0,,,,
C11,c,1707.512205314306,-436.27767545778556,799.4,0.0,19492.0,944.0,,,,
C12,c,11424.019922343477,9584.214827389911,708.7,1228.8,21228.8,448.0,,,,
C13,c,-60000.0,-38738.61688597693,730.8,6869.0,26542.0,846.0,,,,
C14,c,35525.006900823115,15332.406880295603,659.1,558.1,20910.1,618.0,,,,
C15,c,-24173.6664444105,-28608.22214228282,595.4,6870.9,26475.9,324.0,,,,
C16,c,11625.100362020003,-30209.16076434219,400.9,7494.7,27502.7,692.0,,,,
C17,c,29806.830360460164,-38590.1125931601,269.3,4883.3,24614.3,540.0,,,,
C18,c,-17002.65741939589,-19310.04223214311,721.4,1112.9,19900.9,774.0,,,,
C19,c,-1862.0510647852789,-4524.780463502191,707.9,1415.3,19800.3,348.0,,,,
C20,c,19946.646955728473,-26061.631493277135,583.0,2207.0,23211.0,1446.0,,,,
C21,c,49525.34292629754,9520.243517714924,310.2,6090.7,25640.7,1238.0,,,,
C22,c,36158.37433747215,15065.721911288594,122.4,2811.3,21250.3,390.0,,,,
C23,c,11930.473754378516,-30641.599570164515,317.9,6651.5,25925.5,1122.0,,,,
C24,c,-33631.391115161096,-15735.882467900621,538.6,3858.9,24368.9,838.0,,,,
C25,c,26630.65274461234,-42465.93767507799,497.1,4873.7,23925.7,408.0,,,,
C26,c,-43393.19092943491,-30195.80797657607,754.1,1809.4,21843.4,1420.0,,,,
C27,c,-31570.955994908596,-17284.864344342404,360.0,931.0,22248.0,1378.0,,,,
C28,c,-11085.38590156892,-45000.0,125.1,0.0,20034.0,1420.0,,,,
C29,c,6838.046079650562,-3961.129293744474,115.8,0.0,20967.0,1516.0,,,,
C30,c,-11206.281392057675,-1107.6314798227208,715.2,888.8,20354.8,658.0,,,,
C31,c,-39372.511233785466,-21347.330319331617,526.1,0.0,19492.0,944.0,,,,
C32,c,-25611.942680614957,7554.771993991218,884.9,1166.9,22304.9,1280.0,,,,
C33,c,-46245.511639906654,-23636.840300811575,584.0,3454.4,22178.4,264.0,,,,
C34,c,5306.3770693999395,-13612.073168629855,555.5,4360.4,24033.4,846.0,,,,
C35,c,28541.849817888367,35400.73054570639,347.3,8345.4,29648.4,1508.0,,,,
C36,c,46887.68359448829,20233.246966339095,260.4,4163.1,25160.1,1580.0,,,,
C37,c,-60000.0,-30470.454934569087,191.7,1450.8,21163.8,1112.0,,,,
C38,c,-30871.910315073816,3458.188273300014,710.0,3802.6,24154.6,618.0,,,,
C39,c,-60000.0,-8657.114561122551,305.9,5652.8,26766.8,1292.0,,,,
C40,c,22266.170706299417,-40186.268736603495,306.0,2288.7,21946.7,478.0,,,,
C41,c,-36199.016258075964,-15749.879720351168,647.5,3823.9,23435.9,794.0,,,,
C42,c,-34182.00899585826,-16339.91220732647,186.1,1129.3,21023.3,662.0,,,,
C43,c,7381.641751217965,-7056.216955484613,417.4,0.0,20262.0,600.0,,,,
C44,c,36359.09192554946,918.2482477284029,591.5,4818.2,24063.2,622.0,,,,
C45,c,50649.9935656162,9367.304984319133,327.0,0.0,21243.0,1424.0,,,,
C46,c,-2400.790953335123,-19731.525497984014,599.8,8634.8,28116.8,650.0,,,,
C47,c,-24876.183691901322,-15931.325639627532,195.5,3320.0,22989.0,248.0,,,,
C48,c,-13134.227342215927,-16099.880923878924,267.9,1032.9,20084.9,408.0,,,,
C49,c,20912.97534614111,-7835.305790941236,413.5,4771.6,26014.6,1424.0,,,,
C50,c,32286.229323513842,-11421.303851713026,625.8,1234.3,22628.3,1482.0,,,,
C51,c,11906.575259882302,5610.584471582609,182.8,4179.2,25317.2,1280.0,,,,
C52,c,42370.71229172215,-24980.77155639736,208.2,5137.7,25452.7,734.0,,,,
C53,c,-1102.8562140202912,-38301.10678783187,119.1,2053.8,21066.8,362.0,,,,
C54,c,-54029.62774879066,-18010.136961129996,182.0,2883.1,22596.1,1112.0,,,,
C55,c,37558.6187493485,-1187.6522364195976,840.9,2027.5,23024.5,1580.0,,,,
C56,c,30096.149314274742,349.4304989748407,752.2,6963.8,25348.8,348.0,,,,
C57,c,-32808.84017685557,-45000.0,442.3,2122.7,21803.7,682.0,,,,
C58,c,-28704.82057783641,-2607.7007358069036,324.2,3339.8,22352.8,362.0,,,,
C59,c,-33385.5190860447,-11073.591076683522,737.5,6316.8,27142.8,890.0,,,,
C60,c,13511.724480617962,-6122.120325585011,696.9,10181.4,29108.4,860.0,,,,
C61,c,-9823.158295645668,-10067.759814542766,294.8,0.0,19797.0,1128.0,,,,
C62,c,23091.317282499032,10397.776158781442,659.4,152.8,20056.8,1058.0,,,,
C63,c,34591.746161196934,23091.22063189126,427.0,2872.9,22484.9,794.0,,,,
C64,c,-60000.0,-13231.126737722127,338.5,2828.6,22358.6,1084.0,,,,
C65,c,-29052.80829546001,-2273.440574124667,148.6,1409.4,21870.4,1260.0,,,,
F1,f,37694.2228286979,-10149.613713419636,0.0,0.0,86400.0,0.0,1,1,60.0,R1
F2,f,34920.94287843215,-3526.0791422849234,0.0,0.0,86400.0,0.0,1,1,60.0,R2
F3,f,40368.66657248918,-16313.415050563934,0.0,0.0,86400.0,0.0,1,1,60.0,R3
