sequence	customer_id	event_type	appearance_second	longitude	latitude	old_ready_second	old_due_second	new_ready_second	new_due_second	old_demand_kg	new_demand_kg	service_minutes	source_customer_id	generator_component
1	C051	add	28952.0	116.3195455	39.7459177	47011.75884	49341.27372	47011.75884	49341.27372	0.0	139.0	6.0	C014	setp_solver.c8_dynamic_stream
2	C007	cancel	31300.025342970333	116.3651721	39.9449735	58092.872339999994	60838.51452	58092.872339999994	60838.51452	417.0	0.0	18.0	C007	setp_instance_lab.generator._generate_dynamic_events
3	C017	cancel	31357.44428936416	116.0811499	39.8683191	47592.339479999995	49662.707519999996	47592.339479999995	49662.707519999996	278.0	0.0	12.0	C017	setp_instance_lab.generator._generate_dynamic_events
4	C020	demand_change	31994.068322337665	116.3211523	39.9584432	62168.13042	65489.988600000004	62168.13042	65489.988600000004	208.0	154.8	9.0	C020	setp_instance_lab.generator._generate_dynamic_events
5	C004	demand_change	32025.843597133065	116.3320067	39.9490513	51978.61632	55295.13918	51978.61632	55295.13918	347.0	436.2	15.0	C004	setp_instance_lab.generator._generate_dynamic_events
6	C052	add	32848.0	116.7278411	39.9031746	51364.014540000004	54903.75948	51364.014540000004	54903.75948	0.0	417.0	6.0	C047	setp_solver.c8_dynamic_stream
7	C053	add	33928.0	116.4277609	39.8539196	53984.14848	56671.96452	53984.14848	56671.96452	0.0	417.0	6.0	C029	setp_solver.c8_dynamic_stream
8	C039	time_window_change	34516.86015411127	116.3295869	40.0789994	61849.76382	64416.91013999999	61516.72045413084	63422.17423985035	208.0	208.0	9.0	C039	setp_instance_lab.generator._generate_dynamic_events
9	C054	add	34677.0	116.3387579	39.9809165	52263.06528	55417.55304	52263.06528	55417.55304	0.0	347.0	15.0	C021	setp_solver.c8_dynamic_stream
10	C055	add	35817.0	116.357463	39.9411712	47189.31276	49424.14338	47189.31276	49424.14338	0.0	208.0	6.0	C008	setp_solver.c8_dynamic_stream
