claim_id,severity,status,tex_lines,claim,evidence,issue,required_action,scope
PAPER-01,P1,FAIL,"6;143;160;269-282;653-664;679;711;739-746;1121;1176;1786","MV-HGS-SP uses exact route-pool recombination","baselines/algorithm_prototypes/china81_mechanism_hybrid_20260720/route_pool_sp.py; interface_reproducibility_audit.csv:A7-05-SP-OPTIMALITY","The time-limited SciPy/HiGHS MILP path accepts result.x even when result.success is false and does not gate on a proved zero MIP gap. A feasible incumbent is not an exact optimum.","Choose and register one boundary before the next formal run: require a proven optimum and retain the certificate, or rename/disclose the step as time-limited MIP route-pool recombination. Do not retain the word exact without proof.","algorithm name; abstract; Section 3; E2 interpretation"
PAPER-02,P1,FAIL,"882;888-889;1771-1774","Depots and customers are based on real facility locations and real-road calculations","coordinate_inventory.csv; customer_geography_exceptions.csv; docs/handoff/china_e3_e7_preflight_full_chain_audit_contract_20260723.md","Road distances are OSRM-derived, but depot entrances and customer POIs form a reproducible construction scenario rather than observed operations of named facilities. The present wording promotes scenario inputs to real facility observations.","Retain the paper term constructed scenario. Describe public geographic POIs and scenario road-access points, and reserve real for the OSM/OSRM road-network calculation only.","experimental design and limitations"
PAPER-03,P0,FAIL,"934-938","February 2025 experiments use July 2026 regional diesel prices 6.87/6.83/6.90 yuan/L","diesel_price_2025_02_12_source_register.csv; e2_impact_matrix.csv","The fuel-price date is inconsistent with the February 2025 tariff/carbon experiment month, and one region-level value cannot represent all city price zones where official city/province prices differ.","After parameter approval, activate the registered 2025-02-12 city/price-zone diesel values, rebuild all 81 bundles, rerun affected China E2 evidence, and rewrite the parameter paragraph.","all China81 cost results; Tables 4 and 8; Figure 4"
PAPER-04,P0,FAIL,"988-999","The Chengdu-Chongqing cluster uses the Chongqing grid carbon series","city_parameter_mapping_registry.csv; runtime_boundary_checks.csv; corrected_authority_acceptance.csv","The runtime authority must map Chengdu to Sichuan and Chongqing to Chongqing. The old calendar mapped Chengdu to Chongqing in 15 instances.","State city-level provincial-grid mapping rather than one core province for the whole cluster. Regenerate all Chengdu results before restoring numerical claims.","15 Chengdu China81 instances and aggregate significance"
PAPER-05,P0,FAIL,"900-904;1011-1044;1121-1185","cn-prd-50c-01 is the sealed simulation instance supporting the route table, ten-run table, and convergence figure","e2_impact_matrix.csv; corrected customer assignments v3; S3/S4/S5 sealed artifacts","The deterministic boundary-filtered rebuild changes the representative instance customer geography. Its prior route witness, costs, detailed path table, ten-run comparison, and trajectory no longer bind the corrected input bytes.","Reregister the representative instance from the corrected 81-instance authority without reading results, then rerun S3-S5 and regenerate Tables 4 and 8 and Figure 4.","representative-instance exhibits"
PAPER-06,P0,FAIL,"1169-1230","China81 private-table costs, wins/ties/losses, Wilcoxon-Holm results, and the one HGS-E infeasible unit are final","e2_impact_matrix.csv; corrected_authority_acceptance.csv","Geographic correction resamples 2221 customer rows in 54 instances, carbon correction affects all 15 Chengdu instances, and date-aligned diesel affects all 81 instances. The frozen statistics are not results for the corrected authority.","Keep the old artifacts as historical evidence, mark the manuscript claims held, and rerun the complete China81 private table only after all parameter and algorithm-boundary decisions are frozen.","Table 8(b) and associated prose"
PAPER-07,P1,REVIEW,"1055-1116","The public benchmark result remains valid and unaffected by China81 input corrections","p1_formal_gate; table5_public_v4; protected-contract regression","China81 geography, tariff, carbon, and diesel corrections do not touch public instances. However, current protected checker files intentionally differ from the old frozen hash, so the sealed public witnesses need a no-search replay under the new checker before unconditional reuse.","Replay sealed public witnesses through the current independent checker without optimization. If all pass, retain Table 7 and explicitly version the checker attestation.","public MDVRPTW table"
PAPER-08,P1,FAIL,"867;1125-1128","Convergence/stopping is reproducible under the stated rule","interface_reproducibility_audit.csv:A7-07-STOP; run_p3_china81_formal.py","No-improvement stopping is combined with a wall-clock cap. The same seed can execute a different number of iterations on another machine; the future task manifest also has no numeric paired evaluation budget.","Use a deterministic evaluation/iteration budget as the primary formal stop and wall clock only as a safety cap, or disclose the machine-specific convergence limitation without making equal-compute claims.","future E3-E7 formal protocol"
PAPER-09,P0,PASS,"460;999;1304","Dispatch uses forecast carbon intensity and settlement uses actual carbon intensity","runtime_boundary_checks.csv; objective_checker_audit.csv","The semantic split is implemented and independently checked. It must remain hash-bound in every formal task.","Retain, and add per-task forecast/actual panel hashes to the future manifest.","model and E4/E7 protocol"
PAPER-10,P1,FAIL,"676-746;1121-1128;1225-1227","The described HGS-M mother, three-view continuation, candidate limits, and monotonic protection are sufficient executable evidence for future mechanism experiments","interface_reproducibility_audit.csv:A8-02-HASH-BINDING; A9-E3-BINDING; A10-03-FORMAL-RUNNER","The current E3-E7 task rows are planning labels only. They do not bind algorithm/evaluator hashes, executable arm witnesses, strict certificates, or a formal runner.","Do not infer E3 mechanism execution from task labels. Materialize versioned control/treatment runners and per-task solution, certificate, and independent-recompute hashes.","future E3-E7 claims"
