instance_id,defect_ids,contains_chengdu,outside_declared_city_customer,within_cell_physical_location_reuse,geography_correction_resampled_instance,diesel_wrong_date_or_granularity,is_registered_representative,p3_mother_full_rows,p3_algorithm_result_cells,s2_cv_only_rows,s2_naive_ev_rows,s3_four_arm_rows,s3_trajectory_observation_rows,s4_best_witness_and_route_table,full_replay_witness_available_for_p3_s2,impact_status,required_action
cn-cy-100c-01-V2-LOCATIONS,CHENGDU_WRONG_CARBON_COLUMN|DIESEL_WRONG_DATE_AND_REGION_GRANULARITY,True,False,False,False,True,False,5,10,5,5,0,0,False,False,CHINA81_FULL_TABLES_EXPOSED,"After all P0/P1 input fixes are frozen, rerun only affected E2 cells under the corrected immutable authority; regenerate all dependent statistics, tables, figures and prose."
cn-cy-100c-02-V2-LOCATIONS,CHENGDU_WRONG_CARBON_COLUMN|DIESEL_WRONG_DATE_AND_REGION_GRANULARITY,True,False,False,False,True,False,5,10,5,5,0,0,False,False,CHINA81_FULL_TABLES_EXPOSED,"After all P0/P1 input fixes are frozen, rerun only affected E2 cells under the corrected immutable authority; regenerate all dependent statistics, tables, figures and prose."
cn-cy-100c-03-V2-LOCATIONS,CHENGDU_WRONG_CARBON_COLUMN|DIESEL_WRONG_DATE_AND_REGION_GRANULARITY,True,False,False,False,True,False,5,10,5,5,0,0,False,False,CHINA81_FULL_TABLES_EXPOSED,"After all P0/P1 input fixes are frozen, rerun only affected E2 cells under the corrected immutable authority; regenerate all dependent statistics, tables, figures and prose."
cn-cy-10c-01-V2-LOCATIONS,DIESEL_WRONG_DATE_AND_REGION_GRANULARITY,False,False,False,False,True,False,5,10,5,5,0,0,False,False,CHINA81_FULL_TABLES_EXPOSED,"After all P0/P1 input fixes are frozen, rerun only affected E2 cells under the corrected immutable authority; regenerate all dependent statistics, tables, figures and prose."
cn-cy-10c-02-V2-LOCATIONS,DIESEL_WRONG_DATE_AND_REGION_GRANULARITY,False,False,False,False,True,False,5,10,5,5,0,0,False,False,CHINA81_FULL_TABLES_EXPOSED,"After all P0/P1 input fixes are frozen, rerun only affected E2 cells under the corrected immutable authority; regenerate all dependent statistics, tables, figures and prose."
cn-cy-10c-03-V2-LOCATIONS,DIESEL_WRONG_DATE_AND_REGION_GRANULARITY,False,False,False,False,True,False,5,10,5,5,0,0,False,False,CHINA81_FULL_TABLES_EXPOSED,"After all P0/P1 input fixes are frozen, rerun only affected E2 cells under the corrected immutable authority; regenerate all dependent statistics, tables, figures and prose."
cn-cy-150c-01-V2-LOCATIONS,CHENGDU_WRONG_CARBON_COLUMN|DIESEL_WRONG_DATE_AND_REGION_GRANULARITY,True,False,False,False,True,False,5,10,5,5,0,0,False,False,CHINA81_FULL_TABLES_EXPOSED,"After all P0/P1 input fixes are frozen, rerun only affected E2 cells under the corrected immutable authority; regenerate all dependent statistics, tables, figures and prose."
cn-cy-150c-02-V2-LOCATIONS,CHENGDU_WRONG_CARBON_COLUMN|DIESEL_WRONG_DATE_AND_REGION_GRANULARITY,True,False,False,False,True,False,5,10,5,5,0,0,False,False,CHINA81_FULL_TABLES_EXPOSED,"After all P0/P1 input fixes are frozen, rerun only affected E2 cells under the corrected immutable authority; regenerate all dependent statistics, tables, figures and prose."
cn-cy-150c-03-V2-LOCATIONS,CHENGDU_WRONG_CARBON_COLUMN|DIESEL_WRONG_DATE_AND_REGION_GRANULARITY,True,False,False,False,True,False,5,10,5,5,0,0,False,False,CHINA81_FULL_TABLES_EXPOSED,"After all P0/P1 input fixes are frozen, rerun only affected E2 cells under the corrected immutable authority; regenerate all dependent statistics, tables, figures and prose."
cn-cy-15c-01-V2-LOCATIONS,DIESEL_WRONG_DATE_AND_REGION_GRANULARITY,False,False,False,False,True,False,5,10,5,5,0,0,False,False,CHINA81_FULL_TABLES_EXPOSED,"After all P0/P1 input fixes are frozen, rerun only affected E2 cells under the corrected immutable authority; regenerate all dependent statistics, tables, figures and prose."
