instance_id,node_id,node_type,declared_city,latitude,longitude,osm_type,osm_id,name,tag_country,source_response_path,gis_status,boundary_memberships,boundary_source_date,boundary_source_class
cn-cy-100c-01-V2-LOCATIONS,D_chengdu,depot,chengdu,30.522589,104.18829,,,,,,PASS_DECLARED_CITY_BOUNDARY,chengdu,2026-07-16,COMPUTATIONAL_VALIDATION_BOUNDARY_NOT_OFFICIAL_CHINA_SURVEY
cn-cy-100c-01-V2-LOCATIONS,S_chengdu,station,chengdu,30.6027485,104.0604395,,,,,,PASS_DECLARED_CITY_BOUNDARY,chengdu,2026-07-16,COMPUTATIONAL_VALIDATION_BOUNDARY_NOT_OFFICIAL_CHINA_SURVEY
cn-cy-100c-01-V2-LOCATIONS,D_chongqing,depot,chongqing,29.327102,106.619153,,,,,,PASS_DECLARED_CITY_BOUNDARY,chongqing,2026-07-16,COMPUTATIONAL_VALIDATION_BOUNDARY_NOT_OFFICIAL_CHINA_SURVEY
cn-cy-100c-01-V2-LOCATIONS,S_chongqing,station,chongqing,29.4921685,106.4744086,,,,,,PASS_DECLARED_CITY_BOUNDARY,chongqing,2026-07-16,COMPUTATIONAL_VALIDATION_BOUNDARY_NOT_OFFICIAL_CHINA_SURVEY
cn-cy-100c-01-V2-LOCATIONS,C001,customer,chengdu,30.6185012,104.0457537,node,12615780376,丰润阁·精致川菜,,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/chengdu__named_poi__e1__a2.json,PASS_DECLARED_CITY_BOUNDARY,chengdu,2026-07-16,COMPUTATIONAL_VALIDATION_BOUNDARY_NOT_OFFICIAL_CHINA_SURVEY
cn-cy-100c-01-V2-LOCATIONS,C002,customer,chengdu,30.5946942,104.0635795,node,4401004190,高新国际广场,,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/chengdu__named_poi__e1__a2.json,PASS_DECLARED_CITY_BOUNDARY,chengdu,2026-07-16,COMPUTATIONAL_VALIDATION_BOUNDARY_NOT_OFFICIAL_CHINA_SURVEY
cn-cy-100c-01-V2-LOCATIONS,C003,customer,chengdu,30.5872247,104.0514603,way,481307323,锦辉农贸市场,,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/chengdu__named_poi__e1__a2.json,PASS_DECLARED_CITY_BOUNDARY,chengdu,2026-07-16,COMPUTATIONAL_VALIDATION_BOUNDARY_NOT_OFFICIAL_CHINA_SURVEY
cn-cy-100c-01-V2-LOCATIONS,C004,customer,chengdu,30.6213836,104.0415602,node,12615651067,中国电信,,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/chengdu__named_poi__e1__a2.json,PASS_DECLARED_CITY_BOUNDARY,chengdu,2026-07-16,COMPUTATIONAL_VALIDATION_BOUNDARY_NOT_OFFICIAL_CHINA_SURVEY
cn-cy-100c-01-V2-LOCATIONS,C005,customer,chengdu,30.6295832,104.0627719,node,13907320845,天添饭店,,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/chengdu__named_poi__e1__a2.json,PASS_DECLARED_CITY_BOUNDARY,chengdu,2026-07-16,COMPUTATIONAL_VALIDATION_BOUNDARY_NOT_OFFICIAL_CHINA_SURVEY
cn-cy-100c-01-V2-LOCATIONS,C006,customer,chengdu,30.6428401,104.0013915,node,12463259155,舞东风,,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/chengdu__named_poi__e1__a2.json,PASS_DECLARED_CITY_BOUNDARY,chengdu,2026-07-16,COMPUTATIONAL_VALIDATION_BOUNDARY_NOT_OFFICIAL_CHINA_SURVEY
cn-cy-100c-01-V2-LOCATIONS,C007,customer,chengdu,30.6163464,104.0120468,node,12606725761,南欣家私商场,,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/chengdu__named_poi__e1__a2.json,PASS_DECLARED_CITY_BOUNDARY,chengdu,2026-07-16,COMPUTATIONAL_VALIDATION_BOUNDARY_NOT_OFFICIAL_CHINA_SURVEY
cn-cy-100c-01-V2-LOCATIONS,C008,customer,chengdu,30.6241652,104.0400694,node,12612814398,成都高科技发展股份有限公司,,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/chengdu__named_poi__e1__a2.json,PASS_DECLARED_CITY_BOUNDARY,chengdu,2026-07-16,COMPUTATIONAL_VALIDATION_BOUNDARY_NOT_OFFICIAL_CHINA_SURVEY
cn-cy-100c-01-V2-LOCATIONS,C009,customer,chengdu,30.6718369,104.054313,way,1355408808,成都市市级机关公物仓管理办公室,,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/chengdu__named_poi__e1__a2.json,PASS_DECLARED_CITY_BOUNDARY,chengdu,2026-07-16,COMPUTATIONAL_VALIDATION_BOUNDARY_NOT_OFFICIAL_CHINA_SURVEY
cn-cy-100c-01-V2-LOCATIONS,C010,customer,chengdu,30.66104,104.0574142,way,498650272,四川省纤维检验局,,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/chengdu__named_poi__e1__a2.json,PASS_DECLARED_CITY_BOUNDARY,chengdu,2026-07-16,COMPUTATIONAL_VALIDATION_BOUNDARY_NOT_OFFICIAL_CHINA_SURVEY
cn-cy-100c-01-V2-LOCATIONS,C011,customer,chengdu,30.6699159,104.017708,node,12581434000,永兴五金交电经营部,,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/chengdu__named_poi__e1__a2.json,PASS_DECLARED_CITY_BOUNDARY,chengdu,2026-07-16,COMPUTATIONAL_VALIDATION_BOUNDARY_NOT_OFFICIAL_CHINA_SURVEY
cn-cy-100c-01-V2-LOCATIONS,C012,customer,chengdu,30.6362729,104.0518427,way,1348666229,成都市武侯区信访局,,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/chengdu__named_poi__e1__a2.json,PASS_DECLARED_CITY_BOUNDARY,chengdu,2026-07-16,COMPUTATIONAL_VALIDATION_BOUNDARY_NOT_OFFICIAL_CHINA_SURVEY
cn-cy-100c-01-V2-LOCATIONS,C013,customer,chengdu,30.6295979,104.0619838,node,12628350173,红旗连锁,,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/chengdu__named_poi__e1__a2.json,PASS_DECLARED_CITY_BOUNDARY,chengdu,2026-07-16,COMPUTATIONAL_VALIDATION_BOUNDARY_NOT_OFFICIAL_CHINA_SURVEY
cn-cy-100c-01-V2-LOCATIONS,C014,customer,chengdu,30.6693866,103.9941292,node,12811615602,青羊区融媒体中心,,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/chengdu__named_poi__e1__a2.json,PASS_DECLARED_CITY_BOUNDARY,chengdu,2026-07-16,COMPUTATIONAL_VALIDATION_BOUNDARY_NOT_OFFICIAL_CHINA_SURVEY
cn-cy-100c-01-V2-LOCATIONS,C015,customer,chengdu,30.6046968,104.0389138,node,12628198527,千佛白酒纯高粱酒,,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/chengdu__named_poi__e1__a2.json,PASS_DECLARED_CITY_BOUNDARY,chengdu,2026-07-16,COMPUTATIONAL_VALIDATION_BOUNDARY_NOT_OFFICIAL_CHINA_SURVEY
cn-cy-100c-01-V2-LOCATIONS,C016,customer,chengdu,30.6235564,104.0422526,way,1362305460,元通社区老年人协会,,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/chengdu__named_poi__e1__a2.json,PASS_DECLARED_CITY_BOUNDARY,chengdu,2026-07-16,COMPUTATIONAL_VALIDATION_BOUNDARY_NOT_OFFICIAL_CHINA_SURVEY
cn-cy-100c-01-V2-LOCATIONS,C017,customer,chengdu,30.6649384,104.0204211,node,12864948569,方中山胡辣汤,,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/chengdu__named_poi__e1__a2.json,PASS_DECLARED_CITY_BOUNDARY,chengdu,2026-07-16,COMPUTATIONAL_VALIDATION_BOUNDARY_NOT_OFFICIAL_CHINA_SURVEY
cn-cy-100c-01-V2-LOCATIONS,C018,customer,chengdu,30.6690403,103.9946255,node,12811611383,青羊区教育局,,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/chengdu__named_poi__e1__a2.json,PASS_DECLARED_CITY_BOUNDARY,chengdu,2026-07-16,COMPUTATIONAL_VALIDATION_BOUNDARY_NOT_OFFICIAL_CHINA_SURVEY
cn-cy-100c-01-V2-LOCATIONS,C019,customer,chengdu,30.6043786,104.0392697,node,12628198528,天能电池,,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/chengdu__named_poi__e1__a2.json,PASS_DECLARED_CITY_BOUNDARY,chengdu,2026-07-16,COMPUTATIONAL_VALIDATION_BOUNDARY_NOT_OFFICIAL_CHINA_SURVEY
cn-cy-100c-01-V2-LOCATIONS,C020,customer,chengdu,30.6619285,104.0590047,way,1355408718,成都市干道建设指挥部,,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/chengdu__named_poi__e1__a2.json,PASS_DECLARED_CITY_BOUNDARY,chengdu,2026-07-16,COMPUTATIONAL_VALIDATION_BOUNDARY_NOT_OFFICIAL_CHINA_SURVEY
cn-cy-100c-01-V2-LOCATIONS,C021,customer,chengdu,30.635455,104.0279384,node,12610044815,易菲,,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/chengdu__named_poi__e1__a2.json,PASS_DECLARED_CITY_BOUNDARY,chengdu,2026-07-16,COMPUTATIONAL_VALIDATION_BOUNDARY_NOT_OFFICIAL_CHINA_SURVEY
cn-cy-100c-01-V2-LOCATIONS,C022,customer,chengdu,30.6453029,104.0227607,node,12471445347,声蓝峰力助听器(双楠店),,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/chengdu__named_poi__e1__a2.json,PASS_DECLARED_CITY_BOUNDARY,chengdu,2026-07-16,COMPUTATIONAL_VALIDATION_BOUNDARY_NOT_OFFICIAL_CHINA_SURVEY
cn-cy-100c-01-V2-LOCATIONS,C023,customer,chengdu,30.6445249,104.0380794,way,552768868,瑞金广场,,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/chengdu__named_poi__e1__a2.json,PASS_DECLARED_CITY_BOUNDARY,chengdu,2026-07-16,COMPUTATIONAL_VALIDATION_BOUNDARY_NOT_OFFICIAL_CHINA_SURVEY
cn-cy-100c-01-V2-LOCATIONS,C024,customer,chengdu,30.6479048,104.0597882,way,1348676027,成都市武侯区教育局,,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/chengdu__named_poi__e1__a2.json,PASS_DECLARED_CITY_BOUNDARY,chengdu,2026-07-16,COMPUTATIONAL_VALIDATION_BOUNDARY_NOT_OFFICIAL_CHINA_SURVEY
cn-cy-100c-01-V2-LOCATIONS,C025,customer,chengdu,30.6407299,104.0142796,node,12469033211,双楠壹号茶楼,,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/chengdu__named_poi__e1__a2.json,PASS_DECLARED_CITY_BOUNDARY,chengdu,2026-07-16,COMPUTATIONAL_VALIDATION_BOUNDARY_NOT_OFFICIAL_CHINA_SURVEY
cn-cy-100c-01-V2-LOCATIONS,C026,customer,chengdu,30.6412604,104.0059135,way,1347734629,华润燃气(晋吉南路店),,data/ChinaInstances/china9_city_full_pool_20260718_rerun_overpass_v2/raw/chengdu__named_poi__e1__a2.json,PASS_DECLARED_CITY_BOUNDARY,chengdu,2026-07-16,COMPUTATIONAL_VALIDATION_BOUNDARY_NOT_OFFICIAL_CHINA_SURVEY
