check_id,lane,severity,status,subject,observed,expected,evidence,impact
A8-01-MANIFEST,A8,P0,PASS,planning task counts and arm definitions,"{""arms"": {""E3"": {""optimized_responsibility_cooperation"": 405, ""status_quo_responsibility"": 405}, ""E4"": {""carbon_aware_charging"": 405, ""immediate_charging"": 405}, ""E5"": {""integrated_nonlinear_search"": 405, ""linear_plan_replay_nonlinear"": 405}, ""E6"": {""fair_cooperation"": 405, ""independent_operation"": 405}}, ""e7_gate"": 75, ""e7_projection"": 2025, ""families"": {""E3"": 810, ""E4"": 810, ""E5"": 810, ""E6"": 810}, ""materialized"": 3240}",E3-E6 3240 planning rows; E7 2025 projection and 75-row blind gate,baselines/china_e3_e7/foundation_20260723/task_manifest.json,A wrong task shape changes the estimand or silently drops arms.
A8-02-HASH-BINDING,A8,P0,FAIL,paired task fields bind immutable values and hashes,"{""missing_key_counts"": {""algorithm_sha256"": 3240, ""demand_time_window_sha256"": 3240, ""depot_entrances_sha256"": 3240, ""evaluator_sha256"": 3240, ""event_stream_sha256"": 3240, ""initial_solution_sha256"": 3240, ""input_manifest_sha256"": 3240, ""instance_bundle_sha256"": 3240, ""orders_sha256"": 3240}, ""paired_field_names_only"": [""instance_id"", ""region"", ""customer_size"", ""map_index"", ""demand_and_time_windows"", ""depot_entrances"", ""event_stream"", ""initial_solution"", ""seed""]}",every formal task stores immutable identities for all paired inputs,baselines/china_e3_e7/foundation_20260723/task_manifest.json,Names of intended paired fields do not prove that two arms consumed the same bytes.
A8-03-RAW-SCHEMA,A8,P0,PASS,formal raw schema is consumable by the cell aggregator,"{""aggregation_error"": null, ""raw_field_customer_count_present"": false, ""raw_field_customer_size_present"": true}",customer-size field name is identical from raw schema through aggregation,baselines/china_e3_e7/statistics.py,The current empty foundation hides a KeyError: formal rows use customer_size while primary_cell_id expects customer_count.
A8-02-PAIR-FAULT,A8,P0,PASS,disjoint-seed arms are rejected as unpaired,"{""control_missing"": [""AUDIT:control:cn-jjj-10c-01-V2-LOCATIONS:seed1:total_cost=infeasible_without_registered_rule"", ""AUDIT:control:cn-jjj-10c-01-V2-LOCATIONS:seed2:total_cost=infeasible_without_registered_rule"", ""AUDIT:control:cn-jjj-10c-02-V2-LOCATIONS:seed1:total_cost=infeasible_without_registered_rule"", ""AUDIT:control:cn-jjj-10c-02-V2-LOCATIONS:seed2:total_cost=infeasible_without_registered_rule"", ""AUDIT:control:cn-jjj-10c-03-V2-LOCATIONS:seed1:total_cost=infeasible_without_registered_rule"", ""AUDIT:control:cn-jjj-10c-03-V2-LOCATIONS:seed2:total_cost=infeasible_without_registered_rule""], ""disjoint_control_seeds"": [1, 2], ""disjoint_treatment_seeds"": [3, 4], ""pairing_violations"": [""AUDIT:cn-jjj-10c-01-V2-LOCATIONS:seed1:arms=['control']"", ""AUDIT:cn-jjj-10c-01-V2-LOCATIONS:seed2:arms=['control']"", ""AUDIT:cn-jjj-10c-01-V2-LOCATIONS:seed3:arms=['treatment']"", ""AUDIT:cn-jjj-10c-01-V2-LOCATIONS:seed4:arms=['treatment']"", ""AUDIT:cn-jjj-10c-02-V2-LOCATIONS:seed1:arms=['control']"", ""AUDIT:cn-jjj-10c-02-V2-LOCATIONS:seed2:arms=['control']"", ""AUDIT:cn-jjj-10c-02-V2-LOCATIONS:seed3:arms=['treatment']"", ""AUDIT:cn-jjj-10c-02-V2-LOCATIONS:seed4:arms=['treatment']"", ""AUDIT:cn-jjj-10c-03-V2-LOCATIONS:seed1:arms=['control']"", ""AUDIT:cn-jjj-10c-03-V2-LOCATIONS:seed2:arms=['control']"", ""AUDIT:cn-jjj-10c-03-V2-LOCATIONS:seed3:arms=['treatment']"", ""AUDIT:cn-jjj-10c-03-V2-LOCATIONS:seed4:arms=['treatment']""], ""silently_accepted_by_arm_aggregator"": false, ""treatment_missing"": [""AUDIT:treatment:cn-jjj-10c-01-V2-LOCATIONS:seed3:total_cost=infeasible_without_registered_rule"", ""AUDIT:treatment:cn-jjj-10c-01-V2-LOCATIONS:seed4:total_cost=infeasible_without_registered_rule"", ""AUDIT:treatment:cn-jjj-10c-02-V2-LOCATIONS:seed3:total_cost=infeasible_without_registered_rule"", ""AUDIT:treatment:cn-jjj-10c-02-V2-LOCATIONS:seed4:total_cost=infeasible_without_registered_rule"", ""AUDIT:treatment:cn-jjj-10c-03-V2-LOCATIONS:seed3:total_cost=infeasible_without_registered_rule"", ""AUDIT:treatment:cn-jjj-10c-03-V2-LOCATIONS:seed4:total_cost=infeasible_without_registered_rule""]}",control and treatment must share identical pair_id and seed sets,baselines/china_e3_e7/statistics.py,The current arm-wise aggregation can label two disjoint seed sets as a paired cell comparison.
A8-05-INFEASIBLE,A8,P0,PASS,infeasible numeric cost is excluded or handled by preregistered rule,"{""feasible"": ""false"", ""metric_value_retained"": false, ""missing_reasons"": [""AUDIT:control:cn-jjj-10c-01-V2-LOCATIONS:seed1:total_cost=infeasible_without_registered_rule""], ""numeric_total_cost"": ""1.0"", ""status"": ""complete""}",no infeasible cost enters a cost contrast without an explicit rule,baselines/china_e3_e7/statistics.py,"For E3/E4/E7, an infeasible row marked complete can currently enter a total-cost contrast as if it were feasible."
A8-06-BUDGET,A8,P1,FAIL,formal evaluation and wall-clock budget contract,"{""PENDING_FORMAL_RELEASE"": 3240}",numeric paired evaluation budget plus reporting-only wall clock,baselines/china_e3_e7/foundation_20260723/task_manifest.json,No equal-compute claim or reproducible stopping rule is possible while every task budget is pending.
A9-LEGACY-01,A9,P0,PASS,legacy UK/ALNS E0-E7 runner excluded from China mainline,"{""foundation_imports_legacy_runner"": false, ""legacy_runner_is_mv_hgs_sp"": false, ""legacy_runner_uses_single_main_instance"": true}",China adapter does not call the legacy formal_runner,baselines/china_e3_e7/adapter.py; solver/src/setp_solver/search/formal_runner.py,Calling the legacy runner would test a different algorithm and data lane.
A9-E3-BINDING,A9,P0,FAIL,E3 mechanism-specific witness binding,"{""responsibility_map_sha256"": 810, ""status_quo_witness_sha256"": 810}",all family-specific control/treatment artifacts are hash-bound,baselines/china_e3_e7/foundation_20260723/task_manifest.json,Arm labels alone do not establish that the intended mechanism was executed or isolated.
A9-E4-BINDING,A9,P0,FAIL,E4 mechanism-specific witness binding,"{""calendar_panel_sha256"": 810, ""fixed_route_vehicle_energy_witness_sha256"": 810}",all family-specific control/treatment artifacts are hash-bound,baselines/china_e3_e7/foundation_20260723/task_manifest.json,Arm labels alone do not establish that the intended mechanism was executed or isolated.
A9-E5-BINDING,A9,P0,FAIL,E5 mechanism-specific witness binding,"{""linear_plan_witness_sha256"": 810, ""nonlinear_replay_contract_sha256"": 810}",all family-specific control/treatment artifacts are hash-bound,baselines/china_e3_e7/foundation_20260723/task_manifest.json,Arm labels alone do not establish that the intended mechanism was executed or isolated.
