check_id,lane,check_name,default_severity,target,status,repair_authority
A1-01,A1,唯一正式入口解析,P0,foundation contract and runtime loader,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A1-02,A1,冻结输入哈希回读,P0,all authority inputs,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A1-03,A1,旧版本与overlay消费关系,P1,tariff register and parameter locks,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A1-04,A1,dirty worktree归属与影响,P2,git working tree,PENDING,REPORT_ONLY
A1-05,A1,运行环境与依赖版本绑定,P2,Python PyVRP SciPy HiGHS OS,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A1-06,A1,保护文件漂移检查,P0,cost check evaluation prices,PENDING,HALT
A2-01,A2,九城车场WGS84行政区核验,P1,facilities.csv,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A2-02,A2,九城公共站WGS84行政区核验,P1,facilities.csv,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A2-03,A2,5805客户WGS84行政区核验,P1,nodes and orders,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A2-04,A2,坐标系转换血缘,P1,BD09 GCJ02 WGS84 sources,PENDING,HALT_IF_UNRESOLVED
A2-05,A2,city-region-price_area显式映射,P0,static builder and registry,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A2-06,A2,city-carbon_column显式映射,P0,static builder and calendar,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A2-07,A2,city-diesel_zone显式映射,P1,runtime prices,PENDING,USER_APPROVAL_IF_PROXY_CHANGE
A2-08,A2,道路图与实例区域一致性,P0,road matrices and graph metadata,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A2-09,A2,错城市和错区域故障注入,P1,runtime loader,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A3-01,A3,车场分时电价逐城来源,P1,tariff register and calendar,PENDING,USER_APPROVAL_IF_VALUE_CHANGE
A3-02,A3,深圳独立价区v3运行时校验,P1,Shenzhen overlay and calendar,PENDING,DIRECT_IF_NUMERIC_UNCHANGED
A3-03,A3,公共站电能价与服务费来源,P1,calendar and source evidence,PENDING,USER_APPROVAL_IF_PROXY_CHANGE
A3-04,A3,占用费和固定费来源语义,P1,prices and paper,PENDING,USER_APPROVAL
A3-05,A3,柴油价逐区域来源与代理披露,P1,runtime and paper,PENDING,USER_APPROVAL_IF_PROXY_CHANGE
A3-06,A3,碳价观察值与情景值区分,P1,runtime and paper,PENDING,USER_APPROVAL_IF_VALUE_CHANGE
A3-07,A3,币种税费和元分换算,P0,all price inputs,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A3-08,A3,尖峰峰平谷时段边界,P0,calendar builder and official rules,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A3-09,A3,48槽完整性和跨日边界,P0,calendar and loader,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A4-01,A4,省级碳列逐城映射,P0,CITIES mapping and TVCI panel,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A4-02,A4,成都Sichuan与Chongqing错列复现,P0,static calendar,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A4-03,A4,Asia-Shanghai时区与本地时刻,P0,calendar and charging actions,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A4-04,A4,2025-02全月与共同解释日,P1,E4 E7 task design,PENDING,USER_APPROVAL_IF_DESIGN_CHANGE
A4-05,A4,节假日敏感性规则,P2,calendar contract,PENDING,USER_APPROVAL_IF_DESIGN_CHANGE
A4-06,A4,充电能量到碳排单位闭合,P0,cost and scorer,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
A4-07,A4,跨城市充电节点碳列选择,P0,node-specific profile,PENDING,DIRECT_IF_IMPLEMENTATION_BUG
