check_id,lane,severity,status,subject,observed,expected,evidence,impact,repair_authority
A1-01,A1,P0,PASS,formal release authority,"{'foundation': False, 'foundation_search_evaluations': 0, 'parameter_lock': False, 'parameter_status': 'NOT_FORMAL'}",all formal-search gates false and zero evaluations,data/ChinaInstances/china_e3_e7_foundation_contract_v1_20260723.json; data/ChinaInstances/china_parameter_lock_v2_20260718.json,Audit must not accidentally release formal search.,
A1-02,A1,P0,PASS,frozen static-input hashes,90/90 match,90/90 match,data/ChinaInstances/china81_stage2_static_inputs_v1_20260718/artifact_hashes.json,,
A1-02B,A1,P0,PASS,catalog/G1/matrix file join,81/81 instances without join error,81/81,data/ChinaInstances/china81_stage2_static_inputs_v1_20260718/instance_catalog.csv; data/ChinaInstances/china81_g1_independent_frozen_v2_20260718/instance_manifest.csv,,
A1-06,A1,P0,FAIL,protected evaluator files,working-tree diff present,no unreviewed diff,git diff -- solver/src/setp_solver/cost.py solver/src/setp_solver/check.py solver/src/setp_solver/search/evaluation.py solver/src/setp_solver/prices.py,"diff --git a/solver/src/setp_solver/check.py b/solver/src/setp_solver/check.py
index ef05af6d..ac425880 100644
--- a/solver/src/setp_solver/check.py
+++ b/solver/src/setp_solver/check.py
@@ -2,6 +2,7 @@ from __future__ import annotations
 
 from collections import Counter, defaultdict
 from dataclasses import dataclass, field
+import math
 from typing import Any
 
 from .cost import (
@@ -104,6 +105,12 @@ def check_solution(
     charging_by_vehicle_node = _charging_index(solution.charging_actions)
 
     violations.extend(_check_structure(solution, node_lookup))
+    violations.extend(
+        _check_charging_action_structure(
+            solution,
+            node_lookup,
+        )
+    )
     violations.extend(_check_dynamic_context(solution, dynamic_context))
     violations.extend(_check_customer_service(solution, node_lookup))
     violations.extend(_check_vehicle_count(solution, instance))
@@ -221,6 +228,174 @@ def _check_structure(solution: Solution, node_lookup: dict[str, ",
A1-02C,A1,P0,PASS,customer-assignment raw-source hash replay,48/48 unique raw sources match,every assignment source exists and matches its frozen SHA-256,data/ChinaInstances/china81_customer_location_assignments_mc005_final_v2_20260718/assignments.csv,,
A2-03-IDENTITY,A2,P0,PASS,customer-assignment row count and within-cell OSM-identity disjointness,"{'assignment_rows': 5805, 'unique_osm_identities_across_sizes': 3645, 'region_size_cells': 27, 'cell_errors': 0, 'tag_parse_errors': 0}",5805 rows; 27 cells; zero within-cell identity overlap; cross-size identity reuse allowed by contract,data/ChinaInstances/china81_customer_location_assignments_mc005_final_v2_20260718/assignments.csv; data/ChinaInstances/china_customer_location_contract_v2_20260718.json,,
A2-03-PHYSICAL,A2,P0,FAIL,within-cell physical-location disjointness beyond OSM identity,"{'exact_coordinate_duplicate_groups': 1, 'affected_instances': ['cn-prd-50c-02-V2-LOCATIONS', 'cn-prd-50c-03-V2-LOCATIONS']}",no exact physical point reused across the three maps in a cell,customer_physical_duplicates.csv,OSM way/relation aliases can bypass the identity-only disjointness gate and create pseudoreplicated customer locations.,Deduplicate pools by physical feature before a deterministic versioned rebuild; preserve all old evidence.
A2-03-LABEL,A2,P0,PASS,5805 customer/node/order city-label join,5805 orders; 0 join errors,5805 orders; 0 join errors,data/ChinaInstances/china81_order_attributes_mc001_v1_20260718/orders.csv; data/ChinaInstances/china81_stage2_static_inputs_v1_20260718/instances/*/nodes.csv,,
A2-01,A2,P1,PASS,WGS84 administrative-boundary check: nine depot road-access points,unique=9; outside_or_ambiguous=0,unique=9; outside_or_ambiguous=0,coordinate_inventory.csv; gis/osm_boundaries/boundary_source_manifest.csv,,
A2-02,A2,P1,PASS,WGS84 administrative-boundary check: nine public charging stations,unique=9; outside_or_ambiguous=0,unique=9; outside_or_ambiguous=0,coordinate_inventory.csv; gis/osm_boundaries/boundary_source_manifest.csv,,
A2-03,A2,P0,FAIL,5805 customer-assignment WGS84 administrative-boundary check,"{'assignment_rows': 5805, 'unique_osm_identities': 3645, 'unique_physical_points': 3643, 'outside_rows': 5, 'outside_unique_points': 2, 'affected_instances': ['cn-prd-100c-03-V2-LOCATIONS', 'cn-prd-150c-02-V2-LOCATIONS', 'cn-prd-150c-03-V2-LOCATIONS', 'cn-prd-20c-02-V2-LOCATIONS', 'cn-prd-50c-01-V2-LOCATIONS']}",5805 assignment rows; every point is covered by exactly its declared city boundary; cross-size identity reuse is allowed,coordinate_inventory.csv; customer_geography_exceptions.csv; gis/osm_boundaries/boundary_source_manifest.csv,cn-prd-100c-03-V2-LOCATIONS:C068:shenzhen:memberships=NONE;cn-prd-150c-02-V2-LOCATIONS:C112:shenzhen:memberships=NONE;cn-prd-150c-03-V2-LOCATIONS:C109:shenzhen:memberships=NONE;cn-prd-20c-02-V2-LOCATIONS:C007:shenzhen:memberships=NONE;cn-prd-50c-01-V2-LOCATIONS:C044:shenzhen:memberships=NONE,"Filter the frozen source pool by declared administrative boundary, then create a deterministic versioned rebuild; do not overwrite E2."
A2-03-TAGS,A2,P1,FAIL,OSM country tags cross-checked against geometric membership,"{'non_CN_tag_rows': 10, 'non_CN_tag_rows_outside_declared_city': 3, 'note': 'inside-city foreign tags include diplomatic premises and are not interpreted as geographic country membership'}",no explicitly foreign-tagged point outside its declared city,coordinate_inventory.csv; customer_geography_exceptions.csv,The Hong Kong-tagged Shenzhen-pool POI confirms that the source query bbox crossed an administrative boundary.,
A2-03-POOL,A2,P0,FAIL,active customer-pool administrative-boundary filter,"{'active_pool_identities': 6345, 'outside_by_declared_city': {'shenzhen': 3}}",zero out-of-city identities before seeded selection,customer_pool_boundary_audit.csv,The assignment builder currently samples a bbox-derived pool without a geographic membership filter.,"Add a pre-seed, fail-closed boundary filter and rerun the frozen deterministic assignment build under a new version."
A2-04,A2,P1,PASS,BD09/BD09MC -> GCJ02 -> WGS84 facility-coordinate provenance,9/9 source kinds and scenario semantics explicit,no raw BD09/BD09MC values presented as WGS84,data/ChinaInstances/phase1_nine_city_road_access_v1_20260718/road_access_points.csv; baselines/china_instances/build_phase1_nine_city_road_access_20260718.py,Conversion implementation remains a reproducible scenario-coordinate pipeline; road-access points are not claimed as observed truck gates.,
A2-09,A2,P1,FAIL,wrong-city fault injection at runtime loader,Current loader checks node.city against order.city only; a coordinated wrong label passes and selects that wrong city's price/carbon rows.,coordinates outside declared city fail closed before bundle creation,solver/src/setp_solver/china81.py::_node_from_rows,A corrupted but internally consistent city label silently misprices a node.,Add a versioned city-boundary validation registry and negative test.
A2-05,A2,P0,PASS,city -> region -> price_area_id mapping,9/9 match,9/9 explicit reviewed mappings,city_parameter_mapping_registry.csv,Wrong price-area mapping changes charging cost.,
A4-01,A4,P0,FAIL,city -> provincial carbon column mapping,chengdu:builder=Chongqing:expected=Sichuan,9/9 city-province mappings,city_parameter_mapping_registry.csv,Wrong carbon column changes emissions and carbon cost.,Deterministic mapping bug may be corrected without changing the model.
A3-09,A3,P0,PASS,full-month 48-slot calendar completeness,12096 rows; errors=0,12096 rows; 9 cities x 28 days x 48 unique slots,data/ChinaInstances/china81_stage2_static_inputs_v1_20260718/tariff_carbon_48slot_calendar.csv,,
A3-07,A3,P0,PASS,public electricity total arithmetic and CNY/kWh units,errors=0,energy + service fee = total for all 12096 rows,data/ChinaInstances/china81_stage2_static_inputs_v1_20260718/tariff_carbon_48slot_calendar.csv,,
A4-02,A4,P0,FAIL,Chengdu Sichuan-vs-Chongqing carbon-column replay,"{'rows': 1344, 'nonzero_rows': 1344, 'mean_wrong_minus_correct_kg_per_kwh': 0.1675904761904762, 'max_abs_difference_kg_per_kwh': 0.33480000000000004, 'current_rows_match_declared_source_column': True}",Chengdu rows use TVCI Sichuan column,baselines/china_instances/build_china_stage2_static_inputs_20260718.py; baselines/e4_e5/china_2025_formal_month_selection_20260718/tvci_2025_february_48slot_wide.csv,Every Chengdu charging action is settled with Chongqing carbon intensity.,Create corrected immutable input version; do not overwrite E2 evidence.
A3-02,A3,P1,FAIL,Shenzhen v3 overlay runtime consumption,"{'numeric_mismatches': 0, 'calendar_class': ['SHENZHEN_TWO_PART_ENERGY_COMPONENT_SCENARIO_PROXY'], 'v3_class': 'SHENZHEN_INDEPENDENT_METERED_EV_CHARGING_LARGE_USE_101_TO_3000_KVA_10KV_HIGH_HIGH_LE_250_ENERGY_ONLY_BASIC_FEE_EXEMPT_SCENARIO'}",v3 numeric row and semantic class consumed by runtime authority chain,data/ChinaPrices/china_2025_02_tariff_register_v3.json; data/ChinaInstances/china81_stage2_static_inputs_v1_20260718/tariff_carbon_48slot_calendar.csv,"Numbers match, but evidence semantics and authority lineage are stale.",Direct semantic wiring is allowed because numeric values do not change.
A3-01,A3,P0,PASS,2025-02 tariff-register source bytes and overlay parent,16/16 source rows match; parent_match=True,all archived source hashes and v3 parent hash match,tariff_source_hash_register.csv,,
A3-03,A3,P0,PASS,independent February local-time TOU-period replay,"{'builder_definition_errors': [], 'calendar_row_errors': 0}",all 12096 rows map to the independently reviewed local period,baselines/e4_e5/china_policy_price_gate_chongqing_20260717/raw/chongqing_tou_policy_2021-12-09.html.txt; baselines/e4_e5/china_region_price_source_gate_20260717/evidence/guangdong_drc_tou_policy_20210831.html; data/ChinaPrices/official_snapshots/china_2025_02_nine_city/beijing_2025_02_api.json; data/ChinaPrices/official_snapshots/china_2025_02_nine_city/shenzhen_2025_02_api.json; data/ChinaPrices/official_snapshots/china_2025_02_nine_city/sichuan_2025_02_api.json; data/ChinaPrices/official_snapshots/china_2025_02_nine_city/tianjin_2025_02_api.json; 冀发改能价〔2022〕1364号; data/ChinaPrices/official_snapshots/china_2025_02_nine_city/hebei_2025_02_api.json,,
A3-04,A3,P0,PASS,selected 1-10 kV scenario-row price replay,errors=0,depot and public energy components match the selected city/area/period row for every calendar record,data/ChinaPrices/china_2025_02_tariff_register_v2.json; data/ChinaPrices/china_2025_02_tariff_register_v3.json; data/ChinaInstances/china81_stage2_static_inputs_v1_20260718/tariff_carbon_48slot_calendar.csv,,
A3-05,A3,P1,PASS,public charging service-fee proxy disclosure,"{'values_cny_per_kwh': [0.4], 'classes': ['UNIFORM_SCENARIO_PROXY_NOT_MARKET_OBSERVATION']}","uniform 0.4 CNY/kWh is explicitly labelled a constructed-scenario proxy, never a city tariff or observed station quotation",data/ChinaInstances/china81_stage2_static_inputs_v1_20260718/tariff_carbon_48slot_calendar.csv; data/ChinaInstances/china_parameter_lock_v2_20260718.json,"The proxy is transparent, but it still requires a preregistered sensitivity before any robustness claim.",
