check_id,severity,status,subject,observed,expected,evidence
A4R-LEGACY-01,P0,PASS,legacy Chengdu-to-Chongqing carbon contamination is rejected,"China81 calendar city-carbon mapping disagrees for 'chengdu': observed='Chongqing', expected='Sichuan'",production loader fails closed on the frozen v1 mismatch,china81.py::_load_time_profile
A4R-01,P0,PASS,48-slot city-specific exact-boundary price/carbon readback,errors=0,9 cities x 48 slots match independent one-slot arithmetic,production China81 loader and cost.py functions
A4R-02,P0,PASS,charging action crossing a TOU/carbon boundary,errors=[],energy-weighted settlement closes across both slots,"one 1 kWh action per city, starting 30 seconds before transition"
A4R-03,P0,PASS,charging action crossing 24:00,errors=[],23:59:30--00:00:30 splits exactly over slots 48 and 1,one 1 kWh cyclic action per city
A4R-04,P0,PASS,depot/public price-field selection,errors=[],same-city public minus depot cost equals 0.4 CNY/kWh proxy,one 0.1 kWh depot/public pair per city at 06:00
A4R-FI-01,P0,PASS,fault injection: one missing time-varying price field,rejected,formal China81 settlement fails closed,china81.py::_load_time_profile on a temporary malformed calendar
A4R-FI-02,P0,PASS,fault injection: city labels removed from formal profile,rejected,formal China81 profile cannot downgrade to shared-profile mode,china81.py::_load_time_profile on a temporary malformed calendar
A4R-FI-03,P0,PASS,fault injection: slot id and local-time start disagree,rejected,hourly_calendar_row s starts at exactly (s-1)*1800 seconds,china81.py::_load_time_profile; cost.py profile lookup
A4R-HARD-01,P2,PASS,hardening: low-level settlement receives partial price rows,rejected,formal caller must validate first; preferably expose an explicit strict mode instead of silently using the historical fallback,cost.py::charging_action_electricity_cost
A4R-FI-04,P0,PASS,fault injection: requested date absent from calendar,rejected,loader fails closed,china81.py::_load_time_profile
