run_id,run_date,channel,query_or_action,endpoint,screened_hit_count,candidate_ids,access_status,notes,search_evaluations
R001,2026-08-04,prior_repository_report,"read prior open EV/VRP source survey",docs/handoff/china_open_ev_vrp_instance_search_20260717.md,4,"prior-only",accessible,"Wang Chongqing; Cainiao LaDe; Beijing charging; seven-city EV conclusions cited without repeated expansion",0
R002,2026-08-04,current_article,"Zhang 2025 PLOS ONE DOI 10.1371/journal.pone.0318432 full PDF page-by-page","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0318432",1,"current-source",accessible,"21 PDF pages read; data evidence concentrated on pp.17-19",0
R003,2026-08-04,current_dataset,"Figshare API article 28113608 version 1 file inventory","https://api.figshare.com/v2/articles/28113608",1,"current-source",accessible,"23 API files; 11 data workbooks local; CC BY 4.0",0
R004,2026-08-04,current_repository,"read order attribute contract calibration approval and generated orders",data/ChinaInstances/china81_order_attributes_gis_v2_20260723/orders.csv,1,"current-source",accessible,"5805 order rows; descriptive statistics only; no solver",0
R005,2026-08-04,authoritative_VRPTW,"VRPTW Solomon benchmark demand time window service; Gehring Homberger extended benchmark","https://www.sintef.no/projectweb/top/vrptw/",2,"C06;C07",accessible,"Data license not stated on SINTEF pages",0
R006,2026-08-04,authoritative_MDVRPTW,"Cordeau MDVRPTW instances 20 pr01 pr20 depots 48 288 customers official","https://neo.lcc.uma.es/vrp/vrp-instances/",1,C08,accessible,"20 downloadable instances; data license not stated",0
R007,2026-08-04,CVRPLIB_DIMACS,"CVRPLIB Uchoa X instances 100 benchmark official","https://dimacs.rutgers.edu/index.php/programs/challenge/vrp/cvrp/",1,C09,accessible,"100 X instances; no time windows/service",0
R008,2026-08-04,VRP_REP_EVRP,"VRP-REP Schneider electric vehicle routing time windows instances Montoya Froger","https://www.vrp-rep.org/",4,"C10;C11;C12;C13",partial,"HTTPS SSL failure; HTTP, DIMACS and Mendeley fallbacks used",0
R009,2026-08-04,china_government,"site:mot.gov.cn 物流 订单 客户 坐标 时间窗 数据集 城市配送; site:data.gov.cn; provincial open-data variants","https://www.mot.gov.cn/",0,"",partial,"Internal search hostname unresolved; public MOT pages accessible; only aggregates/policies",0
R010,2026-08-04,china_enterprise_challenges,"Tianchi logistics routing dataset time window; JD Logistics challenge routing; Huawei logistics challenge dataset; Cainiao LaDe; Meituan INFORMS data",multiple,1,C03,accessible,"Meituan qualifying; JD C02 came from journal supplement not challenge; LaDe cited from prior round",0
R011,2026-08-04,Kaggle,"site:kaggle.com/datasets China logistics delivery orders coordinates time window","https://www.kaggle.com/datasets",0,"",accessible,"Returned India/global/synthetic logistics datasets; no qualifying named-China source",0
R012,2026-08-04,Transportation_Science_recent,"site:pubsonline.informs.org Transportation Science dataset last mile routing data availability 2021..2026","https://pubsonline.informs.org/journal/trsc/",2,"C03;C14",accessible,"Froger counted in EVRP channel",0
R013,2026-08-04,TRB_recent,"site:sciencedirect.com/journal/transportation-research-part-b dataset vehicle routing data availability 2021..2026","https://www.sciencedirect.com/journal/transportation-research-part-b-methodological",0,"",accessible,"Montoya 2017 included as required classic but not counted as recent hit",0
R014,2026-08-04,TRE_recent,"site:sciencedirect.com/journal/transportation-research-part-e dataset vehicle routing open data 2021..2026","https://www.sciencedirect.com/journal/transportation-research-part-e-logistics-and-transportation-review",2,"C02;C15",accessible,"Both have public supplementary data",0
R015,2026-08-04,EJOR_recent,"site:sciencedirect.com/journal/european-journal-of-operational-research routing dataset open data 2021..2026","https://www.sciencedirect.com/journal/european-journal-of-operational-research",0,"",accessible,"Goeke article 2015; data republished 2022 under Mendeley and counted there",0
R016,2026-08-04,COR_Omega_recent,"Computers & Operations Research OR Omega vehicle routing dataset open data 2021..2026",multiple,0,"",accessible,"No candidate meeting field and license verification gate",0
R017,2026-08-04,Chinese_target_journals,"系统工程理论与实践 管理科学学报 车辆路径 数据 算例 附件 2021..2026",multiple,0,"",accessible,"Article tables without independent downloadable licensed data were not counted",0
R018,2026-08-04,Mendeley_Data,"site:data.mendeley.com China logistics orders vehicle routing time windows; known EVRPTW DOI verification","https://data.mendeley.com/",4,"C01;C10;C11;C15",accessible,"Licenses and versions checked on dataset pages",0
R019,2026-08-04,Zenodo,"site:zenodo.org/records EVRP time windows demand coordinates dataset","https://zenodo.org/",1,C16,accessible,"EVRP-TW-D v1.1; 1600 semi-synthetic real-geography instances; CC BY 4.0",0
R020,2026-08-04,Harvard_Dataverse,"API q=""vehicle routing"" AND ""time window""; q=""China logistics""","https://dataverse.harvard.edu/api/search",1,C17,accessible,"One harvested DataverseNL item; exact China logistics query returned zero",0
R021,2026-08-04,IEEE_DataPort,"site:ieee-dataport.org China logistics vehicle routing time window dataset","https://ieee-dataport.org/",,"",inaccessible,"Search blocked by robots; homepage alone insufficient; hit count unavailable",0
R022,2026-08-04,ScienceDB,"site:scidb.cn vehicle routing time window 物流 订单 数据集","https://www.scidb.cn/en",0,"",partial,"Official home accessible; attempted /en/search route returned 404",0
R023,2026-08-04,Figshare,"site:figshare.com logistics vehicle routing time window China dataset; DOI verification","https://figshare.com/",2,"current-source;C02",accessible,"Current PLOS dataset and JD dataset",0
R024,2026-08-04,China_scholarly_case,"Dalian 配送 企业 订单 坐标 需求 时间窗 服务时间","https://xuebao.dlou.edu.cn/article/2025/2095-1388/202502014.html",1,C05,accessible,"Embedded image table; no independent data license",0
R025,2026-08-04,China_spatial_benchmark,"Large-Scale VRPTW and MDVRPTW Problem Dataset in Shanghai download","https://github.com/spatialsmart/VRPTW/tree/master/Shanghai/Problem",1,C04,partial,"MDPI HTML 429; official PDF and GitHub accessible",0
R026,2026-08-04,Amazon_AWS,"2021 Amazon Last Mile Routing Research Challenge 9184 routes 2018 license","https://registry.opendata.aws/amazon-last-mile-challenges/",1,C14,accessible,"CC BY-NC 4.0; 6112 train and 3072 evaluation routes",0
R027,2026-08-04,DataverseNL_followup,"doi:10.34894/3SK3JG metadata license files readme","https://dataverse.nl/api/datasets/:persistentId/?persistentId=doi:10.34894/3SK3JG",1,C17,accessible,"CC BY 4.0; 40 Excel instances plus three documentation files",0
