decision_id,option_id,recommended,recommended_value,basis,wrong_choice_consequence,approval_status
D3,D3-A,true,"multidimensional hard lock plus route-pool/final guards; fresh zero-search replay after freeze","Blocks every operator without protected-file changes and preserves one joint algorithm","Using stale gate hashes or only an end check breaks executable binding and budget comparability",AWAITING_USER_AND_CLAUDE
D3,D3-B,false,"independent depot subsearch then merge","Represents independent operation but changes decomposition budgets seeds and information sharing","Algorithm decomposition loss is confounded with cooperation value",AWAITING_USER_AND_CLAUDE
D3,D3-C,false,"disable one cross-depot operator","Minimal code change only","Other operators and route-pool paths can still create cross-depot service",REJECT_RECOMMENDED
D2,D2-A,true,"R_d from deterministic EDF first-feasible input packing; rho=1.25; sensitivity=1.10|1.25|1.50; depot chargers=2x22kW scenario","Input-driven no objective no metaheuristic and preserves an all-CV witness","Calling constructed assets observed or omitting sensitivity makes mechanism claims parameter-dependent and misleading",AWAITING_USER_AND_CLAUDE
D2,D2-B,false,"demand-time-window equivalent index only","Satisfies the literal narrow input restriction","Ignoring road time service time and multitrip means it is not an identifiable physical fleet",SENSITIVITY_ONLY
D2,D2-C,false,"fixed customer-size lookup table","Simple","Arbitrary discontinuities can manufacture cooperation effects",REJECT_RECOMMENDED
D4,D4-A,true,"80 complete-candidate attempts; blind ladder 80>56>32 if needed; single thread; wallclock safety only; CPU separately reported","Common deterministic expensive-work unit with source-hash binding","Wallclock stopping stale pilot hashes or missing CPU data destroy equal-compute auditability",AWAITING_USER_AND_CLAUDE
D4,D4-B,false,"lock 80 without a new blind pilot","Avoids pilot work","Source drift may cause systematic safety HALTs and missing paired cells",AWAITING_USER_AND_CLAUDE
D4,D4-C,false,"equal wallclock or feasible-candidate stopping","Common but nondeterministic alternatives","Machine noise or arm feasibility changes actual compute",REJECT_RECOMMENDED
STAT,STAT-A,true,"27 region-size summary cells; pair map x seed first; dependence-aware sensitivity; no IID-region claim","Matches the 81-instance structure without treating seeds or maps as independent regions","Plain 27-pair IID inference can understate uncertainty",AWAITING_USER_AND_CLAUDE
STAT,STAT-B,false,"3 regions as top-level independent units; 27 cells descriptive","Most conservative dependence treatment","Only three top-level units cannot support ordinary significance claims",AWAITING_USER_AND_CLAUDE
STAT,STAT-C,false,"rebuild cross-size-disjoint customer pools","Removes customer-identity reuse","Changes frozen China81 inputs and forces full-chain rebuild",NOT_AUTHORIZED
