battery_kwh,charging_assumption,notes,override_support,path_or_url,regime,scale,source_id,source_type,speed_kmh,vehicle_class,year
80.0,public stations allowed,"Physical lineage for current 90km/h and 80kWh, not UK 2025 economic proof.",baseline_lineage_only,/Users/zhouleixishu/Zotero/storage/PGY3QPNT/Goeke和Schneider _ 2015 _ Routing...pdf,benchmark_regional,10-200 customers,Goeke2015,local_pdf,90.0,Goeke E-VRPTWMF benchmark truck,2015
60.0,33 kWh/h station charging,"Supports post-2020 mixed-fleet literature convention, not 40km/h cross-city default.",urban_or_regional_convention,/Users/zhouleixishu/Zotero/storage/5EKAGHKW/Qiu 等 _ 2024 _ Routing a mixed fleet...pdf,urban_regional_benchmark,5/10/15/100 customers with 2/3/4/20 stations,Qiu2024,local_pdf,60.0,mixed ICEV/EV benchmark fleet,2024
80.0,no en-route EV charging in model text,Supports 30-60km/h and 80kWh for urban/multidepot distribution.,urban_speed_only,/Users/zhouleixishu/Zotero/storage/392IDBJI/陈婉茹 等 _ 2023 _ 碳交易机制下多中心混合车队配送路径和速度优化研究.pdf,urban_multidepot,48/4 to 288/6 benchmark; 71-store case study,Chen2023,local_pdf,30-60,urban medium distribution trucks,2023
,EVs rely on charging facilities; range sensitivity discussed,Supports route length/range/charging-dependence mechanism.,mechanism_support,/Users/zhouleixishu/Zotero/storage/3BZESE7Z/李英 等 _ 2020 _ 电动汽车传统汽车混合车队配置及路径优化模型.pdf,benchmark_mixed,"r101-21, 100 customers and 20 charging facilities",Li2020,local_pdf,,EV/CV mixed fleet,2020
81/113 usable,product range specification,113kWh is modern van evidence but current m_curb=6350kg is heavier than a typical van.,conditional_large_van,https://www.mbvans.com/en/esprinter,van_delivery,large electric van product,MercedesESprinter,official_web,,large van,2026
89 usable,product usable energy specification,"89kWh is modern van evidence, not medium/heavy truck evidence.",conditional_large_van,https://www.fromtheroad.ford.com/content/dam/fordmediasite/us/en/library/2025/specs/2025-Transit-Technical-Specs.pdf,van_delivery,large electric van product,FordETransit2025,official_pdf,,large van,2025
280-565 FL; 280-375 FE,product battery/range specification,280kWh is the strongest single modern-battery candidate for current truck-like mass.,strong_distribution_truck_280,https://www.volvotrucks.com/en-en/news-stories/press-releases/2023/jun/volvo-presents-electric-trucks-with-longer-range.html,regional_distribution,electric distribution trucks,VolvoFLFE2023,official_web,,medium distribution truck,2023
360-540,product battery/range specification,"Requires mass/fixed-cost/payload recalibration, not a simple battery override.",future_vehicle_class_fork,https://www.volvotrucks.com/en-en/trucks/electric/volvo-fh-electric.html,heavy_highway,heavy electric truck product,VolvoFH_Electric,official_web,,heavy truck,2026
"621 installed, >95% usable",product battery/range specification,Evidence for heavy long-haul class; not a direct ReSETP override.,future_vehicle_class_fork,https://www.daimlertruck.com/en/newsroom/pressrelease/full-charge-for-the-future-the-first-eactros-600-on-the-road-in-europes-fleets-53166796,heavy_highway,heavy long-haul electric truck product,DaimlerEActros600,official_web,,heavy long-haul truck,2026
,,56.6mph average SRN speed makes 90km/h plausible for cross-city travel.,supports_90kmh_cross_city,https://www.gov.uk/government/statistics/travel-time-measures-for-the-strategic-road-network-and-local-a-roads-january-to-december-2025/travel-time-measures-for-the-strategic-road-network-january-to-december-2025-report,highway_cross_city,UK Strategic Road Network,UK_DfT_SRN_2025,government_web,91.1,all traffic,2025
,,"40km/h is local/urban mixture evidence, not highway default.",supports_urban_fork_only,https://www.gov.uk/government/statistics/travel-time-measures-for-the-strategic-road-network-and-local-a-roads-january-to-december-2025/travel-time-measures-for-local-a-roads-january-to-december-2025-report,urban_local,UK local A roads,UK_DfT_LocalA_2025,government_web,urban 27.5; rural 55.2,all traffic,2025
