battery_kwh,diagnostic_only,evidence_tiers,main_scenario_eligible,run_full_gate,screen_balanced_winner_count,screen_mean_ev_share,source_ids
60.0,False,literature_benchmark;strong_current_vehicle_class,True,True,3,0.13592108397611244,IsuzuNRREV;Qiu2024
80.0,False,literature_benchmark,True,True,4,0.22805059523809523,Chen2023;Goeke2015
81.0,False,conditional_van,True,True,5,0.28059724164592525,MercedesESprinter
82.6,False,strong_current_vehicle_class,True,True,3,0.22931067588325654,FusoECanter
89.0,False,conditional_van,True,True,4,0.257782145116111,FordETransit2025
100.0,False,strong_current_vehicle_class,True,True,3,0.34013122294372294,IsuzuNRREV
113.0,False,conditional_van,True,True,4,0.49871485409232186,MercedesESprinter
123.9,False,strong_current_vehicle_class,True,True,4,0.4436801046176046,FusoECanter
140.0,False,strong_current_vehicle_class,True,True,2,0.525745904422375,IsuzuNRREV
141.0,False,strong_current_vehicle_class,True,True,2,0.525745904422375,DAFXBElectric
150.0,False,strong_current_vehicle_class,True,True,2,0.525745904422375,MackMDElectric
160.0,True,diagnostic_threshold,False,True,2,0.6146171536796536,DiagnosticBridge160
176.0,False,strong_current_vehicle_class,True,True,3,0.6128810425685426,RenaultTrucksETechD
180.0,False,strong_current_vehicle_class,True,True,4,0.5894435425685426,IsuzuNRREV
194.0,False,strong_current_vehicle_class,True,True,4,0.5894435425685426,FreightlinerEM2
200.0,False,strong_current_vehicle_class,True,True,4,0.5894435425685426,RenaultTrucksETechD
210.0,False,strong_current_vehicle_class,True,True,4,0.5894435425685426,DAFXBElectric;InternationalEMV
240.0,False,strong_current_vehicle_class,True,True,3,0.5981240981240982,MackMDElectric
280.0,False,strong_current_vehicle_class,True,True,3,0.5981240981240982,VolvoFLFE2023
282.0,False,strong_current_vehicle_class,True,True,3,0.5981240981240982,DAFXBElectric
291.0,False,strong_current_vehicle_class,True,True,3,0.5981240981240982,FreightlinerEM2
