instance,customer_id,shift,demand_quartile,demand_kg,geographic_owner,mixed_owner,owner_changed,nearest_distance_km,mixed_owner_distance_km,assigned_to_nearest_distance_ratio
L-main-threeshift-10c-01,C001,1,3,721.0,D0,D1,1,37.93767560881926,68.14126017940754,1.7961369294740592
L-main-threeshift-10c-01,C002,1,4,814.0,D0,D0,0,26.798759530888734,26.798759530888734,1.0
L-main-threeshift-10c-01,C003,1,3,620.0,D1,D1,0,37.2333412810187,37.2333412810187,1.0
L-main-threeshift-10c-01,C004,1,1,311.0,D1,D0,1,49.55468704712547,94.39929680223524,1.9049519314381604
L-main-threeshift-10c-01,C005,1,1,167.0,D0,D1,1,13.644807152308895,73.21790955228015,5.365990793053506
L-main-threeshift-10c-01,C006,1,1,513.0,D1,D1,0,5.091631056558502,5.091631056558502,1.0
L-main-threeshift-10c-01,C007,1,2,568.0,D1,D1,0,12.145670331450537,12.145670331450537,1.0
L-main-threeshift-10c-01,C008,1,4,763.0,D0,D0,0,25.627283563928504,25.627283563928504,1.0
L-main-threeshift-10c-01,C009,1,2,558.0,D1,D1,0,9.125752737515837,9.125752737515837,1.0
L-main-threeshift-10c-01,C010,1,3,636.0,D1,D0,1,63.24456557753358,65.74210785225327,1.0394902273723086
L-main-threeshift-10c-01,C011,2,2,403.0,D1,D1,0,57.55579606983682,57.55579606983682,1.0
L-main-threeshift-10c-01,C012,2,3,411.0,D0,D1,1,42.76056736096119,71.08133580255235,1.662310399263948
L-main-threeshift-10c-01,C013,2,3,596.0,D1,D0,1,39.29466776676845,75.00267947497477,1.9087241027243047
L-main-threeshift-10c-01,C014,2,3,582.0,D0,D0,0,70.44997146967556,70.44997146967556,1.0
L-main-threeshift-10c-01,C015,2,1,212.0,D1,D0,1,48.93306127171462,69.13770645405732,1.412903763983837
L-main-threeshift-10c-01,C016,2,1,330.0,D1,D1,0,29.578545401464748,29.578545401464748,1.0
L-main-threeshift-10c-01,C017,2,4,687.0,D0,D1,1,18.817217726839957,70.49571039477705,3.7463407937415436
L-main-threeshift-10c-01,C018,2,1,210.0,D0,D1,1,39.38969288569029,92.08698169756123,2.337844622571686
L-main-threeshift-10c-01,C019,2,2,330.0,D1,D1,0,40.06482228679142,40.06482228679142,1.0
L-main-threeshift-10c-01,C020,2,4,697.0,D1,D0,1,33.72254195614625,58.40333317327188,1.731878138048467
L-main-threeshift-10c-01,C021,3,3,824.0,D1,D1,0,62.82566317637492,62.82566317637492,1.0
L-main-threeshift-10c-01,C022,3,1,672.0,D1,D1,0,35.82512745494579,35.82512745494579,1.0
L-main-threeshift-20c-01,C001,1,1,101.0,D0,D1,1,67.9322737821722,118.86041150915811,1.7496898733330968
L-main-threeshift-20c-01,C002,1,3,593.0,D0,D0,0,101.61190997659673,101.61190997659673,1.0
L-main-threeshift-20c-01,C003,1,1,235.0,D0,D1,1,19.951919855597858,71.09968046737669,3.563550825282031
L-main-threeshift-20c-01,C004,1,2,404.0,D0,D1,1,86.10172034556452,118.27139959203689,1.373624117118231
L-main-threeshift-20c-01,C005,1,1,310.0,D1,D0,1,33.70123861112847,63.32385169905965,1.8789769844883246
L-main-threeshift-20c-01,C006,1,3,614.0,D0,D1,1,62.06683280507552,112.20222354173671,1.8077646058421297
L-main-threeshift-20c-01,C007,1,2,356.0,D1,D1,0,29.127056637153753,29.127056637153753,1.0
L-main-threeshift-20c-01,C008,1,2,374.0,D0,D0,0,17.161996279165777,17.161996279165777,1.0
L-main-threeshift-20c-01,C009,1,4,802.0,D1,D1,0,25.238436966191397,25.238436966191397,1.0
L-main-threeshift-20c-01,C010,1,3,542.0,D0,D1,1,29.028530447303044,30.340198636603002,1.0451854836978778
L-main-threeshift-20c-01,C011,1,2,401.0,D1,D0,1,87.98509748046703,90.49991311614671,1.02858229072529
L-main-threeshift-20c-01,C012,1,1,197.0,D1,D0,1,59.71458454064866,97.98606452408677,1.640906744605853
L-main-threeshift-20c-01,C013,1,4,702.0,D1,D0,1,38.737173792702535,56.97751792380044,1.4708744171350492
L-main-threeshift-20c-01,C014,1,3,417.0,D1,D0,1,44.7317304602726,87.55597763818814,1.9573572660228036
L-main-threeshift-20c-01,C015,1,1,179.0,D1,D1,0,21.167545657124712,21.167545657124712,1.0
L-main-threeshift-20c-01,C016,1,4,774.0,D1,D1,0,28.033555093146685,28.033555093146685,1.0
L-main-threeshift-20c-01,C017,1,2,397.0,D0,D0,0,80.70019072473126,80.70019072473126,1.0
L-main-threeshift-20c-01,C018,1,4,656.0,D0,D1,1,35.30340941816385,62.79752188535508,1.7787948223789773
L-main-threeshift-20c-01,C019,1,3,617.0,D1,D0,1,39.38776402881418,75.4240154552945,1.9149098029560125
L-main-threeshift-20c-01,C020,1,4,691.0,D0,D0,0,72.4592973242889,72.4592973242889,1.0
L-main-threeshift-20c-01,C021,2,4,709.0,D1,D1,0,26.74105031212145,26.74105031212145,1.0
