index,name,customers,catalogue_k,capacity,bks,optimal,role,downloaded_and_audited,instance_url,bks_url,instance_sha256,instance_normalised_sha256,bks_solution_sha256,bks_all_checks_pass
1,X-n101-k25,100,25,206,27591.00,true,safety_optimal,true,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/158,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/158,38ba943084fc5ef2e7e681bfad2c926ec93c5870dbe2d180cc02b08f748113cb,24960bd4d3a71246ef6efe76c9b667faee4d02817abf3dad6d87acbbdb8bfbd0,fe64a62947aa1c8379bb5a119ccdb774bb963ec50d13e5e00bee878d067e4f1c,true
2,X-n106-k14,105,14,600,26362.00,true,safety_optimal,true,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/159,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/159,4f45bbc4757f5b1f050c4af504a4f8ecccc52be553a75f375f8083fca7819bdd,bb42f11620419baea3d0b0465b3e267ffd4f0c58cf446c8e637a9e02b82f157e,178b85db350dd82186951983ae3edf8e9a8ca8f57741f0d44c2998682249b3e5,true
3,X-n110-k13,109,13,66,14971.00,true,safety_optimal,true,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/160,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/160,d449de04a65d4803f059bc9cfc7b997df11892ebf6085ab23082b884d879e229,33cfb49f6cdafbd13f823d148887087e69ac5a97184d8848d436365a15109062,a85e4900e81b57afc1f83c1ef03790bc1d020460dfb39a0f1b356bb575dc5097,true
4,X-n115-k10,114,10,169,12747.00,true,safety_optimal,true,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/161,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/161,cba9bc7ad48a1b6f7005690b37a55c37bf37866eec77c6dbac3202ab812b3f07,d768b11df867da5927fa73a24f5a70e11513550f8dcfb07ccefbf54d3f89b9b2,936462819c5556ad6cab5b2fd99adf244300222dedf866a57a034d3b6295059a,true
5,X-n120-k6,119,6,21,13332.00,true,safety_optimal,true,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/162,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/162,45740da12dbaa8706aa5346662e2a794b1b925420bd0bada29c3b8099689d481,087576948a398295bfdb4c4c49df5221777ee8f949216fd713427c49fa8ac59d,0c449303b1964098664a443a6dbff7270c6607f4f6fa58d63c18d32c56656f61,true
6,X-n125-k30,124,30,188,55539.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/163,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/163,,,,
7,X-n129-k18,128,18,39,28940.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/164,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/164,,,,
8,X-n134-k13,133,13,643,10916.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/165,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/165,,,,
9,X-n139-k10,138,10,106,13590.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/166,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/166,,,,
10,X-n143-k7,142,7,1190,15700.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/167,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/167,,,,
11,X-n148-k46,147,46,18,43448.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/168,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/168,,,,
12,X-n153-k22,152,22,144,21220.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/169,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/169,,,,
13,X-n157-k13,156,13,12,16876.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/170,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/170,,,,
14,X-n162-k11,161,11,1174,14138.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/171,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/171,,,,
15,X-n167-k10,166,10,133,20557.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/172,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/172,,,,
16,X-n172-k51,171,51,161,45607.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/173,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/173,,,,
17,X-n176-k26,175,26,142,47812.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/174,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/174,,,,
18,X-n181-k23,180,23,8,25569.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/175,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/175,,,,
19,X-n186-k15,185,15,974,24145.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/176,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/176,,,,
20,X-n190-k8,189,8,138,16980.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/177,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/177,,,,
21,X-n195-k51,194,51,181,44225.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/178,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/178,,,,
22,X-n200-k36,199,36,402,58578.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/179,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/179,,,,
23,X-n204-k19,203,19,836,19565.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/180,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/180,,,,
24,X-n209-k16,208,16,101,30656.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/181,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/181,,,,
25,X-n214-k11,213,11,944,10856.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/182,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/182,,,,
26,X-n219-k73,218,73,3,117595.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/183,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/183,,,,
27,X-n223-k34,222,34,37,40437.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/184,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/184,,,,
28,X-n228-k23,227,23,154,25742.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/185,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/185,,,,
29,X-n233-k16,232,16,631,19230.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/186,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/186,,,,
30,X-n237-k14,236,14,18,27042.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/187,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/187,,,,
31,X-n242-k48,241,48,28,82751.00,true,formal_x100_only,false,https://galgos.inf.puc-rio.br/cvrplib/en/download/instance/188,https://galgos.inf.puc-rio.br/cvrplib/en/download/bks/188,,,,
