source,function,callee,occurrence,line,phase,solution_scope,accounting,closure_status,rationale
kernel/alns_core.py,objective,score_reference,0,108,search_state_fallback,complete_solution,unbudgeted_reference,BLOCK,A search state can obtain an objective without EvalBudget.record().
kernel/alns_core.py,run_alns_wouda,prepare_and_score_reference,0,188,initial_reference,complete_solution,unbudgeted_reference,BLOCK,"Initial reference scoring may be outside the search budget, but it has no explicit reference counter."
kernel/alns_core.py,_run_adaptive_sa_alns,prepare_and_score_reference,0,429,search_candidate_reprepare,complete_solution,unbudgeted_reference,BLOCK,A prepared search candidate is rescored through the non-budget reference path.
kernel/alns_core.py,_finalize_candidate_state,prepare_and_score_candidate,0,1098,search_candidate_selection,complete_solution,eval_budget_recorded,PASS,The candidate scorer records one complete search evaluation.
kernel/alns_core.py,_repair_solution_delta_score,score_reference,0,1118,repair_full_solution_score,complete_solution,unbudgeted_reference,BLOCK,Exact repair scoring evaluates a complete Solution without charging EvalBudget.
kernel/alns_core.py,_repair_solution_delta_score,evaluate,0,1120,repair_full_solution_score,complete_solution,unbudgeted_direct_model_eval,BLOCK,Fast repair scoring calls the full model evaluator without charging EvalBudget.
kernel/winner.py,apply_winner_action,prepare_and_score_candidate,0,593,search_candidate_selection,complete_solution,eval_budget_recorded,PASS,The candidate scorer records one complete search evaluation.
kernel/winner.py,run_true_lns_middle_alns_hybrid,model_cost,0,904,stage_winner_selection,complete_solution,unbudgeted_direct_model_eval,BLOCK,Three stage winners are compared using unbudgeted complete-solution model costs.
kernel/winner.py,run_true_lns_middle_alns_hybrid,model_cost,1,927,final_reporting,complete_solution,unbudgeted_reference,BLOCK,"Final reporting may stay outside the search budget, but it has no explicit reference counter."
kernel/winner.py,_run_staged_hybrid_entry,model_cost,0,1048,final_reporting,complete_solution,unbudgeted_reference,BLOCK,Final reporting has no explicit reference counter.
kernel/winner.py,_reschedule_staged_result,model_cost,0,1286,final_reporting,complete_solution,unbudgeted_reference,BLOCK,Post-schedule reporting has no explicit reference counter.
kernel/winner.py,_run_winner_variant,model_cost,0,1582,final_reporting,complete_solution,unbudgeted_reference,BLOCK,Final reporting has no explicit reference counter.
kernel/winner.py,_run_winner_kernel_loop,prepare_and_score_reference,0,1640,initial_reference,complete_solution,unbudgeted_reference,BLOCK,Initial reference scoring has no explicit reference counter.
kernel/winner.py,_run_winner_kernel_loop,prepare_and_score_candidate,0,1818,search_candidate_selection,complete_solution,eval_budget_recorded,PASS,The candidate scorer records one complete search evaluation.
kernel/winner.py,_run_winner_kernel_loop,prepare_and_score_candidate,1,1963,search_candidate_selection,complete_solution,eval_budget_recorded,PASS,The candidate scorer records one complete search evaluation.
kernel/winner.py,_run_winner_kernel_loop,prepare_and_score_reference,1,2086,final_reference,complete_solution,unbudgeted_reference,BLOCK,"Final reference scoring may be outside the search budget, but it has no explicit reference counter."
kernel/winner.py,_winner_history_entry,model_cost,0,2174,history_reporting,complete_solution,unbudgeted_reference,BLOCK,History reporting has no explicit reference counter.
kernel/winner.py,_candidate_change_and_violations,prepare_and_score_reference,0,2535,search_candidate_reprepare,complete_solution,unbudgeted_reference,BLOCK,A changed complete candidate is rescored through the non-budget reference path.
kernel/winner.py,_candidate_change_and_violations,prepare_and_score_reference,1,2571,local_search_candidate,complete_solution,unbudgeted_reference,BLOCK,A locally improved candidate is rescored through the non-budget reference path.
kernel/winner.py,_maybe_write_e2_checkpoint,model_cost,0,2637,checkpoint_reporting,complete_solution,unbudgeted_reference,BLOCK,Checkpoint reporting has no explicit reference counter.
kernel/winner.py,_scan_restart_state,prepare_and_score_candidate,0,2698,search_candidate_selection,complete_solution,eval_budget_recorded,PASS,The scan/restart candidate scorer records one complete search evaluation.
operators/carbon_operators.py,_route_carbon_kg,evaluate,0,336,route_feature,single_route,non_full_repair_or_feature,PASS,"This is a route-local feature, outside the complete-solution budget gate."
operators/carbon_operators.py,_solution_carbon_kg,evaluate,0,351,search_feature,complete_solution,unbudgeted_direct_model_eval,BLOCK,A complete-solution carbon feature calls the model evaluator during search without budget accounting.
operators/feasible_repair.py,_solution_cost,evaluate,0,608,repair_full_solution_fallback,complete_or_intermediate_solution,unbudgeted_direct_model_eval,BLOCK,Repair fallback invokes the full model evaluator without one-to-one EvalBudget accounting.
operators/local_search.py,_score_internal_solution,score_reference,0,110,local_search_candidate,complete_solution,unbudgeted_reference,BLOCK,Every local-search incumbent and neighbor uses a non-budget full score.
operators/repair_scoring.py,route_model_cost,evaluate,0,57,route_delta,single_route,repair_delta_channel,PASS,Route-local insertion deltas are not complete candidate evaluations and use the repair-delta channel.
support/fleet_charge_corepair.py,propose_fleet_charge_corepair,evaluate,0,40,structural_candidate_metrics,complete_solution,unbudgeted_direct_model_eval,BLOCK,The structural search evaluates the current complete solution outside EvalBudget.
support/fleet_charge_corepair.py,propose_fleet_charge_corepair,evaluate,1,61,structural_candidate_metrics,complete_solution,unbudgeted_direct_model_eval,BLOCK,Each feasible structural candidate is evaluated outside EvalBudget.
support/fleet_charge_corepair.py,propose_fleet_charge_corepair,evaluate,2,85,structural_candidate_metrics,complete_solution,unbudgeted_direct_model_eval,BLOCK,The selected structural candidate is evaluated outside EvalBudget.
support/fleet_charge_corepair.py,_feasible_model_cost,model_cost,0,137,structural_candidate_selection,complete_solution,unbudgeted_direct_model_eval,BLOCK,Structural candidate selection compares complete model costs outside EvalBudget.
support/global_order_repack.py,_feasible_model_cost,model_cost,0,141,structural_candidate_selection,complete_solution,unbudgeted_direct_model_eval,BLOCK,Global-order repack candidate selection compares complete model costs outside EvalBudget.
