instance,class,customers,max_vehicles,capacity,source_sha256,bundle_instance_sha256,bundle_matrix_sha256,bundle_carbon_sha256,source_gate_pass,generic_loader_match,search_evaluations
C1_2_1,C1,200,50,200,b0352e8c02428c8404c5cb18b81195f285410311c725a8b8f1ee34c619e1c751,850b05bb8928a31f65151716e25a331a69ba623eacd129d7b962a41c9d9f50bc,da8967e9253e3312b58766c82bc05dced6ca3f7887c9363717f38f81c84512f0,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,1,0
C1_2_8,C1,200,50,200,d98798ea3f1c8eb219f73abef2690d0a63ed960798d6abcdbc4380e95e349b5e,e73f27c8245f9da9f558a9f2eb9d04e0c6ee9059c7037c832b6f561069918887,da8967e9253e3312b58766c82bc05dced6ca3f7887c9363717f38f81c84512f0,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,1,0
C2_2_1,C2,200,50,700,15a3dbcd078b9dfff90c682b0b752e0fb4012258a9156540168a3181090ecf66,62e29b4031a6596891e067a3b56239c3c432cfb950f7de6497536cf6df67acb0,7e483ea8a1eb37a041533d07a9e60f0adbdc893813b6df2c8445a9db7f0d43fa,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,1,0
C2_2_8,C2,200,50,700,400b5fc577319ac061ca1c81a9de01bb5a9e248b6b84954cbcb40a677b94b01c,b1bd1de1274e45938cc0f2eb2381eaa59a019f247aa99eaa84354b622df1dcd2,7e483ea8a1eb37a041533d07a9e60f0adbdc893813b6df2c8445a9db7f0d43fa,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,1,0
R1_2_1,R1,200,50,200,bf13ca27d85efac8218d908b45ff164ad848d8b15d0c170c9572b22caababdf1,095d0c574d25314e7bfccb2e5982f8a83f4196789d6f7c286d777b417fde824f,02cbec7b39f1e22b829857105bb184b3f05836768cf7cf58ad614df55bb77a25,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,1,0
R1_2_8,R1,200,50,200,9bcc4b3ac214f0ae272858bead119e00de50a5ebb872dca446c9bc2b665456be,1926701e737e25ac2258766f61843686c8d1a6636b2d1107118ccc6d16831bcd,02cbec7b39f1e22b829857105bb184b3f05836768cf7cf58ad614df55bb77a25,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,1,0
R2_2_1,R2,200,50,1000,b6547795be5a6588fdf705b7b20449ccf02b806ae78b9c327346cecc24208ecc,1c52aed9c9f83ada85bf3e6760c10b57c477cc33daa2a362aedf38f5350f02f2,babdea14b9a4f637f7b02ab4d5d1bcba6d03cae0459a1208a932fedf03aee204,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,1,0
R2_2_8,R2,200,50,1000,c9e8018c804602d310ee4330c56a8969cb5a893ffba7479b6205989f1cc38701,94132bccbd20dbd4882ea6cd9fcf2b6203c33fbb2473a25064cec2336a63a4cd,babdea14b9a4f637f7b02ab4d5d1bcba6d03cae0459a1208a932fedf03aee204,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,1,0
RC1_2_1,RC1,200,50,200,adbf41192345f3f559a75819e5b0d4273017fec73d0be2764882343a036e42f2,0519272b93eafb53a72762fd80d0dd40996d5baa4ce35f78cb84f9f39e9cd658,199fd978b2c92884c186463fb1f86d93c7e7edde29c767d7003fde2d97b7f67a,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,1,0
RC1_2_8,RC1,200,50,200,f6a86aa14454d21f10045b948e5795b8082d475e3d91c61e857847da290ea602,2cbf5c64b27530bfedafe5e17efb4a255fe81c31d7db036bcba0eb87d4b9f830,199fd978b2c92884c186463fb1f86d93c7e7edde29c767d7003fde2d97b7f67a,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,1,0
RC2_2_1,RC2,200,50,1000,3e3acf61842af2690f72c8f8b6ba4910949d43e29ab9f47da18056d80665f0ff,a9713bd355fc831165a057d9e09d98fb7166f5796cea639f325d890fffad4ad6,199fd978b2c92884c186463fb1f86d93c7e7edde29c767d7003fde2d97b7f67a,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,1,0
RC2_2_8,RC2,200,50,1000,db04c7456c1cb9f805374078750a12c1097d3ca1f9c262b5e6db9ccf9c70d2b9,d8cfcb7bc792ee10233e3225f3958b7eca290b55f73a6a285d2ac3d5e41927f2,199fd978b2c92884c186463fb1f86d93c7e7edde29c767d7003fde2d97b7f67a,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,1,0
