customer_id,owner_depot_id
C001,D0
C002,D0
C003,D1
C004,D1
C005,D1
C006,D0
C007,D0
C008,D0
C009,D0
C010,D0
C011,D0
C012,D1
C013,D1
C014,D1
C015,D0
C016,D1
C017,D0
C018,D1
C019,D0
C020,D0
C021,D0
C022,D1
C023,D1
C024,D0
C025,D1
C026,D1
C027,D0
C028,D0
C029,D0
C030,D0
C031,D0
C032,D1
C033,D1
C034,D0
C035,D0
C036,D1
C037,D0
C038,D0
C039,D1
C040,D0
C041,D1
C042,D1
C043,D0
C044,D1
C045,D1
C046,D0
C047,D1
C048,D0
C049,D0
C050,D1
C051,D0
C052,D0
C053,D0
C054,D0
C055,D0
C056,D0
C057,D1
C058,D0
C059,D1
C060,D0
C061,D1
C062,D1
C063,D1
C064,D1
C065,D1
C066,D0
C067,D1
C068,D1
C069,D1
C070,D1
C071,D1
C072,D1
C073,D1
C074,D1
C075,D0
C076,D1
C077,D0
C078,D1
C079,D0
C080,D0
C081,D0
C082,D0
C083,D0
C084,D1
C085,D0
C086,D1
C087,D1
C088,D1
C089,D1
C090,D1
C091,D1
C092,D0
C093,D1
C094,D1
C095,D1
C096,D0
C097,D0
C098,D0
C099,D1
C100,D0
C101,D0
C102,D0
C103,D0
C104,D0
C105,D1
C106,D0
C107,D1
C108,D0
C109,D0
C110,D1
C111,D1
C112,D0
C113,D1
C114,D1
C115,D0
C116,D1
C117,D1
C118,D1
C119,D0
C120,D1
C121,D0
C122,D1
C123,D1
C124,D0
C125,D0
C126,D1
C127,D0
C128,D0
C129,D0
C130,D1
C131,D0
C132,D0
C133,D0
C134,D0
C135,D1
C136,D1
C137,D1
C138,D1
C139,D0
C140,D1
C141,D1
C142,D0
C143,D1
C144,D1
C145,D1
C146,D0
C147,D1
C148,D0
C149,D1
C150,D0
C151,D0
C152,D0
C153,D1
C154,D1
C155,D0
C156,D0
C157,D0
C158,D0
C159,D0
C160,D1
C161,D1
C162,D1
C163,D0
C164,D0
C165,D1
C166,D0
C167,D1
C168,D0
C169,D0
C170,D0
C171,D1
C172,D0
C173,D1
C174,D1
C175,D1
C176,D0
C177,D1
C178,D0
C179,D0
C180,D1
C181,D1
C182,D0
C183,D0
C184,D0
C185,D0
C186,D0
C187,D0
C188,D1
C189,D0
C190,D0
C191,D1
C192,D1
C193,D1
C194,D1
C195,D0
C196,D1
C197,D1
C198,D1
C199,D0
C200,D1
C201,D0
C202,D1
C203,D0
C204,D0
C205,D1
C206,D0
C207,D0
C208,D0
C209,D0
C210,D0
C211,D1
C212,D0
C213,D0
C214,D0
C215,D0
C216,D0
C217,D0
C218,D0
C219,D0
C220,D0
C221,D1
N_S1_001,D0
N_S1_002,D1
N_S1_003,D0
N_S1_004,D0
N_S1_005,D0
N_S1_006,D0
N_S1_007,D0
N_S1_008,D0
N_S1_009,D1
N_S1_010,D0
N_S1_011,D0
N_S1_012,D1
N_S1_013,D0
N_S1_014,D1
N_S1_015,D0
N_S1_016,D0
N_S1_017,D1
N_S1_018,D1
N_S1_019,D1
N_S1_020,D1
N_S1_021,D0
N_S1_022,D1
