event_id,event_type,t_appear,customer_id,old_demand,new_demand,x,y,delta_demand,old_ready_time,old_due_time,new_ready_time,new_due_time,time_window_action,demand_source,time_window_source,donor_instance_id,donor_customer_id,source,seed
1,add,2487.440466356073,N_S2_001,0.0,465.0,-42015.43,14821.97,465.0,1515.0,21345.0,1515.0,21345.0,none,frozen_sister_bundle_exact,frozen_sister_bundle_exact,L-main-threeshift-200c-01,C177,frozen_e3_sister_bundle_overlay,2
2,cancel,4061.6257814922715,C006,677.0,0.0,-105663.87,-2395.38,-677.0,1030.0,21554.0,1030.0,21554.0,none,frozen_base_customer,frozen_base_customer,,,frozen_e3_base_overlay,2
3,add,6287.381178472529,N_S2_002,0.0,434.0,52568.67,12453.22,434.0,34632.0,54430.0,34632.0,54430.0,none,frozen_sister_bundle_exact,frozen_sister_bundle_exact,L-main-threeshift-200c-01,C317,frozen_e3_sister_bundle_overlay,2
4,add,7467.115939269245,N_S2_003,0.0,146.0,-25770.58,-22397.0,146.0,35050.0,55285.0,35050.0,55285.0,none,frozen_sister_bundle_exact,frozen_sister_bundle_exact,L-main-threeshift-200c-01,C324,frozen_e3_sister_bundle_overlay,2
5,add,11876.180729953505,N_S2_004,0.0,621.0,-32716.22,-24911.81,621.0,33939.0,53281.0,33939.0,53281.0,none,frozen_sister_bundle_exact,frozen_sister_bundle_exact,L-main-threeshift-200c-01,C384,frozen_e3_sister_bundle_overlay,2
6,add,12495.905963771544,N_S2_005,0.0,611.0,43848.76,17990.93,611.0,36242.0,56319.0,36242.0,56319.0,none,frozen_sister_bundle_exact,frozen_sister_bundle_exact,L-main-threeshift-200c-01,C387,frozen_e3_sister_bundle_overlay,2
7,demand_change,13011.495204847086,C045,375.0,331.47542658953364,72180.94,10038.19,-43.52457341046636,1700.0,20697.0,1700.0,20697.0,none,frozen_base_customer,frozen_base_customer,,,frozen_e3_base_overlay,2
8,cancel,13952.17742638456,C112,298.0,0.0,-40321.97,-6589.55,-298.0,34477.0,53137.0,34477.0,53137.0,none,frozen_base_customer,frozen_base_customer,,,frozen_e3_base_overlay,2
9,cancel,15435.922890193076,C136,663.0,0.0,20309.42,64194.76,-663.0,36312.0,56049.0,36312.0,56049.0,none,frozen_base_customer,frozen_base_customer,,,frozen_e3_base_overlay,2
10,cancel,15798.124476614394,C050,237.0,0.0,54150.13,21924.45,-237.0,2017.0,21980.0,2017.0,21980.0,none,frozen_base_customer,frozen_base_customer,,,frozen_e3_base_overlay,2
11,add,16230.142530652649,N_S2_006,0.0,456.0,7888.0,-40337.41,456.0,3076.0,22156.0,3076.0,22156.0,none,frozen_sister_bundle_exact,frozen_sister_bundle_exact,L-main-threeshift-200c-01,C173,frozen_e3_sister_bundle_overlay,2
