stream_id,seed,event_id,event_type,t_appear,trigger_second,customer_id,owner_depot_id,old_customer_owner,old_demand,new_demand,x,y,old_ready_time,old_due_time,new_ready_time,new_due_time,donor_instance_id,donor_customer_id,donor_service_time,minimum_formal_trip_departure_second,minimum_uncommitted_margin_seconds,modifiable_in_both_fixed_seed1_plans,donor_fields_inherited_exactly,owner_rule_verified,search_evaluations,status
stream_seed1,1,1,cancel,2381.970953031277,10800.0,C146,D0,D0,562.0,0.0,-2504.21,1645.14,35422.0,55565.0,35422.0,55565.0,,,,24123.00194179047,13323.00194179047,True,,True,0,PASS
stream_seed1,1,2,add,3309.8745990333464,10800.0,N_S1_001,D0,,0.0,408.0,-64512.0,-5973.79,65892.0,85549.0,65892.0,85549.0,L-main-threeshift-200c-01,C409,816.0,,,True,True,True,0,PASS
stream_seed1,1,3,add,3502.364276284161,10800.0,N_S1_002,D1,,0.0,238.0,32560.07,10383.38,65488.0,84482.0,65488.0,84482.0,L-main-threeshift-200c-01,C437,476.0,,,True,True,True,0,PASS
stream_seed1,1,4,demand_change,3850.7858490617864,10800.0,C185,D0,D0,728.0,797.1099217304549,-86685.24,33703.65,34636.0,54655.0,34636.0,54655.0,,,,15691.52884027914,4891.528840279139,True,,True,0,PASS
stream_seed1,1,5,demand_change,6860.201637249754,10800.0,C026,D1,D1,429.0,397.50634295923624,61491.0,32557.52,2302.0,21778.0,2302.0,21778.0,,,,16283.056612418162,5483.056612418162,True,,True,0,PASS
stream_seed1,1,6,add,8783.176773748888,10800.0,N_S1_003,D0,,0.0,313.0,-26125.13,31466.49,66437.0,86362.0,66437.0,86362.0,L-main-threeshift-200c-01,C432,626.0,,,True,True,True,0,PASS
stream_seed1,1,7,demand_change,8886.5277733935,10800.0,C192,D1,D1,575.0,651.5158687801069,60990.05,22532.0,34989.0,54668.0,34989.0,54668.0,,,,17698.120002866195,6898.120002866195,True,,True,0,PASS
stream_seed1,1,8,cancel,11187.007859090007,17463.155806373295,C122,D1,D1,153.0,0.0,26426.5,12339.32,34462.0,53036.0,34462.0,53036.0,,,,33710.8165306734,16247.660724300105,True,,True,0,PASS
stream_seed1,1,9,demand_change,11597.73017135447,17463.155806373295,C219,D0,D0,253.0,220.3974186049213,-40150.32,-1907.89,65620.0,84288.0,65620.0,84288.0,,,,21048.727768629036,3585.571962255741,True,,True,0,PASS
stream_seed1,1,10,demand_change,12629.586082922457,17463.155806373295,C207,D0,D0,352.0,390.8690463435838,-25550.31,-26459.78,67622.0,86353.0,67622.0,86353.0,,,,18535.1728700455,1072.0170636722032,True,,True,0,PASS
stream_seed1,1,11,add,13954.967705071836,17463.155806373295,N_S1_004,D0,,0.0,420.0,-32741.54,-60379.31,35717.0,55474.0,35717.0,55474.0,L-main-threeshift-200c-01,C235,840.0,,,True,True,True,0,PASS
stream_seed1,1,12,cancel,15095.18880680182,17463.155806373295,C120,D1,D1,645.0,0.0,56555.37,20303.65,33386.0,53423.0,33386.0,53423.0,,,,17698.120002866195,234.96419649289965,True,,True,0,PASS
stream_seed1,1,13,add,16728.453437103773,17463.155806373295,N_S1_005,D0,,0.0,380.0,-38103.4,1514.02,4944.0,24132.0,4944.0,24132.0,L-main-threeshift-200c-01,C008,760.0,,,True,True,True,0,PASS
stream_seed1,1,14,add,17449.758092209107,17463.155806373295,N_S1_006,D0,,0.0,142.0,-52219.05,-36274.2,36924.0,55303.0,36924.0,55303.0,L-main-threeshift-200c-01,C392,284.0,,,True,True,True,0,PASS
stream_seed1,1,15,add,17463.155806373295,17463.155806373295,N_S1_007,D0,,0.0,789.0,-27956.12,-54930.45,36718.0,57010.0,36718.0,57010.0,L-main-threeshift-200c-01,C393,1578.0,,,True,True,True,0,PASS
stream_seed1,1,16,add,18268.528292814102,21927.621863159293,N_S1_008,D0,,0.0,499.0,-46478.83,728.13,35338.0,54479.0,35338.0,54479.0,L-main-threeshift-200c-01,C260,998.0,,,True,True,True,0,PASS
stream_seed1,1,17,add,18571.520158499825,21927.621863159293,N_S1_009,D1,,0.0,745.0,21690.62,10448.36,34648.0,55352.0,34648.0,55352.0,L-main-threeshift-200c-01,C244,1490.0,,,True,True,True,0,PASS
stream_seed1,1,18,demand_change,19226.828176132614,21927.621863159293,C172,D0,D0,523.0,486.6998879781273,-26588.4,-11856.88,36733.0,56817.0,36733.0,56817.0,,,,24123.00194179047,2195.3800786311767,True,,True,0,PASS
stream_seed1,1,19,demand_change,20011.041736686784,21927.621863159293,C147,D1,D1,635.0,691.6333096439004,36098.07,48121.16,35799.0,56726.0,35799.0,56726.0,,,,23477.02874814686,1549.4068849875657,True,,True,0,PASS
stream_seed1,1,20,demand_change,21199.2840755726,21927.621863159293,C107,D1,D1,637.0,576.7290059947909,51963.04,-51097.6,37145.0,57807.0,37145.0,57807.0,,,,33018.09774673095,11090.475883571657,True,,True,0,PASS
stream_seed1,1,21,cancel,21687.035151893822,21927.621863159293,C198,D1,D1,256.0,0.0,19793.73,28453.29,35113.0,54208.0,35113.0,54208.0,,,,33018.09774673095,11090.475883571657,True,,True,0,PASS
stream_seed1,1,22,demand_change,21805.434944134864,21927.621863159293,C165,D1,D1,744.0,697.1914604985403,42671.95,-64018.83,37123.0,58189.0,37123.0,58189.0,,,,32669.726883849155,10742.105020689862,True,,True,0,PASS
stream_seed1,1,23,cancel,21927.621863159293,21927.621863159293,C213,D0,D0,195.0,0.0,-37849.66,29099.07,66914.0,85353.0,66914.0,85353.0,,,,44028.32931436768,22100.707451208385,True,,True,0,PASS
