event_id,customer_id,appearance_second,demand_kg,x,y,ready_second,due_second,service_second,city
ADD_002_C026,C026,22742.39024734506,278.0,116.3669047,39.9093947,56364.21552,58945.45908,720.0,
ADD_001_C021,C021,24173.963649491547,347.0,116.4112911,39.961287,48137.81022,51292.297979999996,900.0,
ADD_003_C027,C027,25768.2801385407,417.0,116.3568023,39.9141672,46401.56651999999,48612.77142,1080.0,
ADD_007_C035,C035,28923.317353521295,139.0,116.3566174,39.8815373,41391.796019999994,44637.6867,360.0,
ADD_006_C034,C034,29102.221381502994,417.0,116.3737214,39.9337669,44671.92744,47857.549439999995,1080.0,
ADD_010_C047,C047,39883.2616376505,139.0,117.176811,39.0964225,47091.43566,50631.18054,360.0,
ADD_004_C028,C028,40190.07634103443,347.0,116.3004843,39.9363956,46300.48032,49782.70524,900.0,
ADD_008_C043,C043,41467.63812128378,278.0,117.1903541,39.1172877,48471.72792,51725.68194,720.0,
ADD_009_C044,C044,44183.11922864204,278.0,117.1629551,39.0775302,47153.66424,50588.46366,720.0,
ADD_005_C030,C030,44662.79164072675,208.0,116.3019232,39.9048383,44740.685339999996,46780.888739999995,540.0,
