run_id,instance,algorithm,seed,violation_count,recorded_cost,recomputed_cost,absolute_cost_difference,ok
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-50c-01__staged_hybrid_carbon_aware__seed6,L-main-threeshift-50c-01,staged_hybrid_carbon_aware,6,0,2590.5457642316233,2590.5457642316233,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-50c-01__GA__seed6,L-main-threeshift-50c-01,GA,6,0,2928.4438579181992,2928.4438579181992,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-50c-01__PSO__seed6,L-main-threeshift-50c-01,PSO,6,0,3136.2015470779925,3136.2015470779925,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-50c-01__VNS__seed6,L-main-threeshift-50c-01,VNS,6,0,2908.8514626451447,2908.8514626451447,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-50c-01__ACO__seed6,L-main-threeshift-50c-01,ACO,6,0,3212.5831611464546,3212.5831611464546,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-50c-01__GA-VNS__seed6,L-main-threeshift-50c-01,GA-VNS,6,0,2883.338406002548,2883.338406002548,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-50c-01__LNS__seed6,L-main-threeshift-50c-01,LNS,6,0,2547.4111074078323,2547.4111074078323,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-50c-01__GWO__seed6,L-main-threeshift-50c-01,GWO,6,0,3117.763251032295,3117.763251032295,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-50c-01__IWD__seed6,L-main-threeshift-50c-01,IWD,6,0,4168.855236581392,4168.855236581392,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-150c-01__staged_hybrid_carbon_aware__seed6,L-main-threeshift-150c-01,staged_hybrid_carbon_aware,6,0,9208.744195383697,9208.744195383697,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-150c-01__GA__seed6,L-main-threeshift-150c-01,GA,6,0,9371.678388026323,9371.678388026323,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-150c-01__PSO__seed6,L-main-threeshift-150c-01,PSO,6,0,9334.35137264589,9334.35137264589,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-150c-01__VNS__seed6,L-main-threeshift-150c-01,VNS,6,0,8210.068707876353,8210.068707876353,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-150c-01__ACO__seed6,L-main-threeshift-150c-01,ACO,6,0,9658.652745749798,9658.652745749798,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-150c-01__GA-VNS__seed6,L-main-threeshift-150c-01,GA-VNS,6,0,8231.21212127052,8231.21212127052,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-150c-01__LNS__seed6,L-main-threeshift-150c-01,LNS,6,0,8765.642767550438,8765.642767550438,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-150c-01__GWO__seed6,L-main-threeshift-150c-01,GWO,6,0,9427.32080880262,9427.32080880262,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-150c-01__IWD__seed6,L-main-threeshift-150c-01,IWD,6,0,11391.560952023648,11391.560952023648,0.0,True
