node_id,node_type,x,y,demand,ready_time,due_time,service_time,station_capacity,station_chargers,charge_power_kw,carbon_region
D0,d,-25621.077063407225,-1358.1433621400129,0.0,0.0,86400.0,0.0,64,64,,
D1,d,44384.08724404759,-12946.242802617122,0.0,0.0,86400.0,0.0,64,64,,
C001,c,-28320.789666920482,2971.3938295659646,120.6,3139.2,23345.2,416.0,,,,
C002,c,-39729.05646119086,19607.834422615757,825.0,2333.9,23197.9,1092.0,,,,
C003,c,-12611.40689725363,-13269.706060411347,884.6,1508.4,21919.4,1506.0,,,,
C004,c,2367.9720703817065,-11342.176709740423,620.6,1958.5,20909.5,346.0,,,,
C005,c,30395.953679802347,2829.517824973008,823.4,5162.6,25505.6,1444.0,,,,
C006,c,50519.35770119401,-1100.2388229843218,183.8,7244.9,27761.9,1616.0,,,,
C007,c,25904.03828510806,4815.338477767508,202.9,1816.3,22333.3,1616.0,,,,
C008,c,-37111.32879747632,33305.17631403482,359.2,633.5,20615.5,846.0,,,,
C009,c,22252.814756493288,7447.873316311609,723.8,1246.9,21648.9,882.0,,,,
C010,c,37550.03674491565,-22812.417735543317,413.0,733.5,22150.5,1534.0,,,,
C011,c,33318.79809505596,-4051.360900417502,703.6,162.8,21579.8,1534.0,,,,
C012,c,41614.748843496614,-19863.96340789292,794.2,4117.2,24612.2,756.0,,,,
C013,c,-14953.155404357214,-8980.601250341453,167.0,242.9,20316.9,482.0,,,,
C014,c,31117.756008309414,-1439.1529058124906,475.4,5899.6,25881.6,846.0,,,,
C015,c,11930.097598510225,-35597.15659879307,502.4,4283.5,23991.5,1114.0,,,,
C016,c,41502.13936923225,12804.482617786813,222.2,3202.6,23149.6,432.0,,,,
C017,c,33402.16700059367,-17396.184407363846,419.1,3464.6,23538.6,482.0,,,,
C018,c,11825.3275862077,-8204.98868994218,447.2,0.0,21333.0,1632.0,,,,
C019,c,50739.66671057543,-9801.539939466162,381.1,8379.0,28450.0,1308.0,,,,
C020,c,16500.767349778722,-6414.588726569747,683.7,0.0,19264.0,1028.0,,,,
C021,c,31266.62815616674,5444.208628742227,680.5,0.0,19187.0,696.0,,,,
C022,c,3781.329491452579,-35338.84747040487,172.4,574.6,19821.6,212.0,,,,
C023,c,-47100.94088503685,33371.82553754431,418.0,1819.7,21065.7,332.0,,,,
C024,c,47627.56674219556,-14049.938183809973,391.3,0.0,19706.0,690.0,,,,
C025,c,977.9138042527223,-5438.359348962337,666.8,1934.0,20864.0,312.0,,,,
C026,c,44431.57599572928,6897.433215303802,684.9,0.0,21300.0,1460.0,,,,
C027,c,4686.409506812057,-13220.146604485792,478.2,5937.4,25546.4,552.0,,,,
C028,c,34111.53835843359,10372.262612951083,597.4,3302.1,24602.1,1460.0,,,,
C029,c,5426.648930247622,-6827.070396042991,354.7,0.0,19926.0,916.0,,,,
C030,c,38314.15198874903,-25355.458751258437,468.4,0.0,20074.0,482.0,,,,
C031,c,5785.532504009436,-21233.06510252429,808.0,1233.6,21278.6,504.0,,,,
C032,c,50105.75862647523,-7528.980418837151,632.0,1406.8,22270.8,1092.0,,,,
