StringID  Type  x          y          demand  ReadyTime  DueDate  ServiceTime
D0        d     -25621.08   -1358.14    0.0     0.0        86400.0  0.0
D1        d     44384.09    -12946.24   0.0     0.0        86400.0  0.0
C001      c     -28320.79   2971.39     120.6   3139.2     23345.2  416.0
C002      c     -39729.06   19607.83    825.0   2333.9     23197.9  1092.0
C003      c     -12611.41   -13269.71   884.6   1508.4     21919.4  1506.0
C004      c     2367.97     -11342.18   620.6   1958.5     20909.5  346.0
C005      c     30395.95    2829.52     823.4   5162.6     25505.6  1444.0
C006      c     50519.36    -1100.24    183.8   7244.9     27761.9  1616.0
C007      c     25904.04    4815.34     202.9   1816.3     22333.3  1616.0
C008      c     -37111.33   33305.18    359.2   633.5      20615.5  846.0
C009      c     22252.81    7447.87     723.8   1246.9     21648.9  882.0
C010      c     37550.04    -22812.42   413.0   733.5      22150.5  1534.0
C011      c     33318.80    -4051.36    703.6   162.8      21579.8  1534.0
C012      c     41614.75    -19863.96   794.2   4117.2     24612.2  756.0
C013      c     -14953.16   -8980.60    167.0   242.9      20316.9  482.0
C014      c     31117.76    -1439.15    475.4   5899.6     25881.6  846.0
C015      c     11930.10    -35597.16   502.4   4283.5     23991.5  1114.0
C016      c     41502.14    12804.48    222.2   3202.6     23149.6  432.0
C017      c     33402.17    -17396.18   419.1   3464.6     23538.6  482.0
C018      c     11825.33    -8204.99    447.2   0.0        21333.0  1632.0
C019      c     50739.67    -9801.54    381.1   8379.0     28450.0  1308.0
C020      c     16500.77    -6414.59    683.7   0.0        19264.0  1028.0
C021      c     31266.63    5444.21     680.5   0.0        19187.0  696.0
C022      c     3781.33     -35338.85   172.4   574.6      19821.6  212.0
C023      c     -47100.94   33371.83    418.0   1819.7     21065.7  332.0
C024      c     47627.57    -14049.94   391.3   0.0        19706.0  690.0
C025      c     977.91      -5438.36    666.8   1934.0     20864.0  312.0
C026      c     44431.58    6897.43     684.9   0.0        21300.0  1460.0
C027      c     4686.41     -13220.15   478.2   5937.4     25546.4  552.0
C028      c     34111.54    10372.26    597.4   3302.1     24602.1  1460.0
C029      c     5426.65     -6827.07    354.7   0.0        19926.0  916.0
C030      c     38314.15    -25355.46   468.4   0.0        20074.0  482.0
C031      c     5785.53     -21233.07   808.0   1233.6     21278.6  504.0
C032      c     50105.76    -7528.98    632.0   1406.8     22270.8  1092.0
C033      c     -20254.79   38196.61    249.8   0.0        19124.0  780.0
C034      c     43200.74    -18330.84   165.3   2270.9     22341.9  1308.0
C035      c     -20813.17   13394.11    391.0   1509.8     21063.8  1138.0
C036      c     -31493.20   10729.93    380.6   492.1      20008.1  804.0
C037      c     39916.25    -7586.76    498.2   6744.4     26367.4  266.0
C038      c     -17619.74   21133.83    142.0   4922.4     24298.4  398.0
C039      c     37884.55    -16010.40   514.5   1883.5     21399.5  804.0
C040      c     44600.73    -19718.11   675.6   5351.6     25055.6  528.0
C041      c     -20301.78   42589.96    420.8   0.0        19187.0  696.0
C042      c     -20962.46   -45000.00   269.3   4492.2     25332.2  1632.0
C043      c     46722.00    31859.29    664.5   917.7      20991.7  482.0
C044      c     23273.24    -23730.47   623.2   1950.3     21876.3  916.0
C045      c     46320.10    -16936.82   572.7   6121.1     25497.1  398.0
C046      c     -37177.36   15632.37    655.6   0.0        18333.0  228.0
C047      c     45499.78    -10666.79   751.6   6059.4     26884.4  1462.0
C048      c     4994.53     -14396.70   219.4   1041.1     21833.1  1262.0
C049      c     25675.69    -9435.93    697.5   3647.0     24346.0  1614.0
C050      c     -43576.35   20739.08    150.5   0.0        20226.0  814.0
C051      c     21655.28    -20568.11   131.1   993.9      21722.9  818.0
C052      c     58666.80    -6486.31    388.9   2642.5     21888.5  332.0
C053      c     37062.76    2535.69     224.4   2453.2     22785.2  1052.0
C054      c     -35950.93   17354.35    514.0   1147.9     21224.9  406.0
C055      c     43808.70    -1653.67    305.5   2049.0     22500.0  1562.0
C056      c     20992.68    6279.68     510.4   2553.2     21504.2  346.0
C057      c     29336.69    -20037.97   681.1   4307.6     24699.6  854.0
C058      c     -11973.82   -17478.47   130.7   4414.7     22832.7  384.0
C059      c     -6457.47    3717.55     522.1   0.0        20045.0  504.0
C060      c     -27585.50   -10139.41   537.4   6360.8     26696.8  1434.0
C061      c     37663.99    7233.30     306.3   1976.9     21240.9  1028.0
C062      c     34431.00    -13893.14   435.9   4875.9     25497.9  1582.0
C063      c     41172.71    5251.75     338.7   1152.5     20082.5  312.0
C064      c     10549.69    16549.00    344.9   4765.6     25282.6  1616.0
