check,detail,passed,search_evaluations
gate_artifacts_unchanged,baselines/algorithm_prototypes/hgs_adaptive_elite_alns_20260719/public_bks_microgate,True,0
independent_audit_artifacts_unchanged,baselines/algorithm_prototypes/hgs_adaptive_elite_alns_20260719/public_bks_microgate_independent_audit,True,0
immutable_source_hashes,paths=7,True,0
protected_hashes,paths=4,True,0
input_hashes,paths=20,True,0
contract_finalized,contract terminal status,True,0
approval_finalized,approval terminal status and new-approval boundary,True,0
source_register_finalized,"result, citations and licenses retained",True,0
handoff_finalized,HANDOFF.md,True,0
memory_finalized,both project memory surfaces,True,0
forensics_present,docs/handoff/hgs_aealns_03_forensics_and_next_decision_20260719.md,True,0
stop_decisions_preserved,gate stop and independent audit pass,True,0
scope_closed,no automatic escalation,True,0
