node_id,node_type,city,source_longitude,source_latitude,source_et_minute,source_lt_minute,source_demand_kg,source_service_minutes
C001,customer,guangzhou,113.2776679,23.1265053,951.112312,1005.279344,208,9.000000
C002,customer,guangzhou,113.2753351,23.1408917,769.064964,804.701391,278,12.000000
C003,customer,guangzhou,113.2489109,23.1427413,840.069180,896.687677,139,6.000000
C004,customer,guangzhou,113.2304618,23.0865197,951.112312,1005.279344,208,9.000000
C005,customer,guangzhou,113.2088247,23.0783008,897.092961,952.069661,278,12.000000
C006,customer,guangzhou,113.2698898,23.0915906,1027.878785,1079.255193,278,12.000000
C007,customer,guangzhou,113.271575,23.1205276,891.064243,941.139557,208,9.000000
C008,customer,guangzhou,113.2766289,23.139152,764.270549,801.694095,208,9.000000
C009,customer,guangzhou,113.2896625,23.1235917,761.906567,819.373906,208,9.000000
C010,customer,guangzhou,113.2902207,23.1241097,978.640120,1028.111748,208,9.000000
C011,customer,guangzhou,113.2647717,23.1251966,807.875417,861.296071,208,9.000000
C012,customer,guangzhou,113.2684393,23.0978375,947.153429,999.904069,278,12.000000
C013,customer,guangzhou,113.2645141,23.1229609,944.332520,1000.617592,347,15.000000
C014,customer,guangzhou,113.2483562,23.1241232,806.550296,841.017762,278,12.000000
C015,customer,guangzhou,113.2475866,23.1291405,773.359442,810.212857,417,18.000000
C016,customer,guangzhou,113.279576,23.1364285,720.572997,768.113402,139,6.000000
C017,customer,guangzhou,113.24105,23.1290536,969.504988,1023.155309,278,12.000000
C018,customer,guangzhou,113.2366738,23.1190974,972.815908,1023.125535,139,6.000000
C019,customer,guangzhou,113.2708403,23.1418248,1042.130828,1073.292241,347,15.000000
C020,customer,guangzhou,113.2668513,23.1289108,745.258935,784.574867,139,6.000000
C021,customer,guangzhou,113.2755802,23.1340776,802.724441,851.049141,139,6.000000
C022,customer,guangzhou,113.2632669,23.1299213,718.427397,759.731492,278,12.000000
C023,customer,guangzhou,113.2300056,23.0845579,860.126923,891.973529,139,6.000000
C024,customer,shenzhen,114.047494,22.5378901,1068.396947,1109.025054,208,9.000000
C025,customer,shenzhen,114.021876,22.5369874,1052.768607,1107.239530,208,9.000000
C026,customer,shenzhen,114.0599748,22.5387502,1005.015655,1042.971979,278,12.000000
C027,customer,shenzhen,114.0304602,22.5676601,1012.305599,1047.365428,208,9.000000
C028,customer,shenzhen,114.0464512,22.5059453,718.959014,751.524596,278,12.000000
C029,customer,shenzhen,114.0528106,22.5385012,1028.566040,1059.118633,417,18.000000
C030,customer,shenzhen,114.063773,22.5592023,840.435875,880.075151,208,9.000000
C031,customer,shenzhen,114.0612157,22.5388565,1018.618558,1056.605471,278,12.000000
C032,customer,shenzhen,114.0209815,22.5410818,806.136061,858.460648,278,12.000000
C033,customer,shenzhen,114.0598406,22.5386924,1012.763156,1064.273962,208,9.000000
C034,customer,shenzhen,114.0480701,22.537062,937.294166,981.964727,208,9.000000
C035,customer,shenzhen,114.0217825,22.5307678,786.840780,826.937484,139,6.000000
C036,customer,shenzhen,114.0416019,22.5446557,774.015875,820.080308,139,6.000000
C037,customer,shenzhen,114.024212,22.5298592,803.437661,835.837589,417,18.000000
C038,customer,shenzhen,114.0638201,22.5662338,944.799148,995.833502,278,12.000000
C039,customer,shenzhen,114.0580451,22.5256683,796.239873,844.984208,347,15.000000
C040,customer,shenzhen,114.0430338,22.5509345,915.382068,961.142771,417,18.000000
C041,customer,shenzhen,114.0575399,22.5253179,768.706343,810.575059,417,18.000000
C042,customer,shenzhen,114.0682587,22.519099,1019.896701,1073.343203,139,6.000000
C043,customer,shenzhen,114.0607855,22.5381559,722.264489,776.986760,139,6.000000
C044,customer,shenzhen,114.049223,22.495288,955.789590,1001.632044,278,12.000000
C045,customer,shenzhen,114.0194223,22.5338565,944.332520,1000.617592,347,15.000000
C046,customer,shenzhen,114.0466333,22.5307709,766.584102,811.735690,139,6.000000
C047,customer,shenzhen,114.0598093,22.5344225,781.006007,817.228480,208,9.000000
C048,customer,shenzhen,114.015969,22.5433198,993.374713,1040.835592,139,6.000000
C049,customer,shenzhen,114.0505826,22.5484986,970.539291,1010.412092,139,6.000000
C050,customer,shenzhen,114.0462979,22.5397771,775.966330,823.047913,417,18.000000
D_guangzhou,depot,guangzhou,113.522578,23.07889,,,,
D_shenzhen,depot,shenzhen,114.013353,22.717672,,,,
