编号,节点类型,经度,纬度,ET,LT,需求量(kg),服务时长(min)
1,客户,113.2777,23.1265,15:51,16:45,208,9
2,客户,113.2753,23.1409,12:49,13:25,278,12
3,客户,113.2489,23.1427,14:00,14:57,139,6
4,客户,113.2305,23.0865,15:51,16:45,208,9
5,客户,113.2088,23.0783,14:57,15:52,278,12
6,客户,113.2699,23.0916,17:08,17:59,278,12
7,客户,113.2716,23.1205,14:51,15:41,208,9
8,客户,113.2766,23.1392,12:44,13:22,208,9
9,客户,113.2897,23.1236,12:42,13:39,208,9
10,客户,113.2902,23.1241,16:19,17:08,208,9
11,客户,113.2648,23.1252,13:28,14:21,208,9
12,客户,113.2684,23.0978,15:47,16:40,278,12
13,客户,113.2645,23.1230,15:44,16:41,347,15
14,客户,113.2484,23.1241,13:27,14:01,278,12
15,客户,113.2476,23.1291,12:53,13:30,417,18
16,客户,113.2796,23.1364,12:01,12:48,139,6
17,客户,113.2411,23.1291,16:10,17:03,278,12
18,客户,113.2367,23.1191,16:13,17:03,139,6
19,客户,113.2708,23.1418,17:22,17:53,347,15
20,客户,113.2669,23.1289,12:25,13:05,139,6
21,客户,113.2756,23.1341,13:23,14:11,139,6
22,客户,113.2633,23.1299,11:58,12:40,278,12
23,客户,113.2300,23.0846,14:20,14:52,139,6
24,客户,114.0475,22.5379,17:48,18:29,208,9
25,客户,114.0219,22.5370,17:33,18:27,208,9
26,客户,114.0600,22.5388,16:45,17:23,278,12
27,客户,114.0305,22.5677,16:52,17:27,208,9
28,客户,114.0465,22.5059,11:59,12:32,278,12
29,客户,114.0528,22.5385,17:09,17:39,417,18
30,客户,114.0638,22.5592,14:00,14:40,208,9
31,客户,114.0612,22.5389,16:59,17:37,278,12
32,客户,114.0210,22.5411,13:26,14:18,278,12
33,客户,114.0598,22.5387,16:53,17:44,208,9
34,客户,114.0481,22.5371,15:37,16:22,208,9
35,客户,114.0218,22.5308,13:07,13:47,139,6
36,客户,114.0416,22.5447,12:54,13:40,139,6
37,客户,114.0242,22.5299,13:23,13:56,417,18
38,客户,114.0638,22.5662,15:45,16:36,278,12
39,客户,114.0580,22.5257,13:16,14:05,347,15
40,客户,114.0430,22.5509,15:15,16:01,417,18
41,客户,114.0575,22.5253,12:49,13:31,417,18
42,客户,114.0683,22.5191,17:00,17:53,139,6
43,客户,114.0608,22.5382,12:02,12:57,139,6
44,客户,114.0492,22.4953,15:56,16:42,278,12
45,客户,114.0194,22.5339,15:44,16:41,347,15
46,客户,114.0466,22.5308,12:47,13:32,139,6
47,客户,114.0598,22.5344,13:01,13:37,208,9
48,客户,114.0160,22.5433,16:33,17:21,139,6
49,客户,114.0506,22.5485,16:11,16:50,139,6
50,客户,114.0463,22.5398,12:56,13:43,417,18
51,车场,113.5226,23.0789,06:00,22:00,-,-
52,车场,114.0134,22.7177,06:00,22:00,-,-
53,充电站,113.2386,23.1080,06:00,22:00,-,-
54,充电站,114.0331,22.5640,06:00,22:00,-,-
