customer_id,donor_customer_id,donor_fields_inherited_exactly,donor_instance_id,donor_service_time,event_id,event_type,minimum_formal_trip_departure_second,minimum_uncommitted_margin_seconds,modifiable_in_both_fixed_seed1_plans,network,new_demand,new_due_time,new_ready_time,new_service_time,old_customer_owner,old_demand,old_due_time,old_ready_time,owner_depot_id,owner_rule_verified,reused_from_sealed_n221,search_evaluations,seed,service_time_source,status,stream_id,t_appear,trigger_second,x,y
C100,,,,,1,demand_change,15144.590405277371,4344.590405277371,True,N114,151.09674676036192,56127.0,36902.0,,D1,176.0,56127.0,36902.0,D1,True,False,0,1,existing_customer,PASS,stream_seed1,9873.28733836011,10800.0,-41224.55,-32932.57
N_S1_001,C104,True,L-main-threeshift-75c-01,244.0,2,add,,,True,N114,122.0,55467.0,36176.0,244.0,,0.0,55467.0,36176.0,D1,True,False,0,1,frozen_sister_bundle_exact,PASS,stream_seed1,15752.609799211441,21600.0,-70106.71,-5090.17
C072,,,,,3,demand_change,46559.96597928093,24959.965979280933,True,N114,774.9135899478764,56461.0,36411.0,,D1,704.0,56461.0,36411.0,D1,True,False,0,1,existing_customer,PASS,stream_seed1,17141.957033660292,21600.0,-34170.35,17673.25
C088,,,,,4,cancel,33840.04394754282,1440.0439475428211,True,N114,0.0,55483.0,36074.0,,D1,176.0,55483.0,36074.0,D1,True,False,0,1,existing_customer,PASS,stream_seed1,21864.17149513635,32400.0,-31428.43,-31908.68
C018,,,,,1,cancel,13032.378452474411,2232.3784524744115,True,N114,0.0,19255.0,654.0,,D0,207.0,19255.0,654.0,D0,True,False,0,2,existing_customer,PASS,stream_seed2,7273.088537571818,10800.0,81544.27,25091.26
C079,,,,,2,demand_change,39567.49438310363,17967.49438310363,True,N114,150.58109715463934,54156.0,34506.0,,D0,147.0,54156.0,34506.0,D0,True,False,0,2,existing_customer,PASS,stream_seed2,13078.378013264282,21600.0,64980.56,-19485.27
C096,,,,,3,demand_change,33622.78546114779,1222.7854611477887,True,N114,664.1609971965668,57538.0,36327.0,,D0,740.0,57538.0,36327.0,D0,True,False,0,2,existing_customer,PASS,stream_seed2,26623.01222989445,32400.0,3072.61,16104.81
N_S2_001,C104,True,L-main-threeshift-75c-01,244.0,4,add,,,True,N114,122.0,55467.0,36176.0,244.0,,0.0,55467.0,36176.0,D1,True,False,0,2,frozen_sister_bundle_exact,PASS,stream_seed2,27979.951817080724,32400.0,-70106.71,-5090.17
C070,,,,,1,demand_change,12362.351499407405,1562.3514994074048,True,N114,128.9348948510588,53288.0,33310.0,,D0,127.0,53288.0,33310.0,D0,True,False,0,3,existing_customer,PASS,stream_seed3,4141.592703411949,10800.0,-29820.85,35816.87
N_S3_001,C104,True,L-main-threeshift-75c-01,244.0,2,add,,,True,N114,122.0,55467.0,36176.0,244.0,,0.0,55467.0,36176.0,D1,True,False,0,3,frozen_sister_bundle_exact,PASS,stream_seed3,13347.444236413916,21600.0,-70106.71,-5090.17
C110,,,,,3,demand_change,45524.58673525433,23924.58673525433,True,N114,234.14099364923618,85728.0,65424.0,,D1,258.0,85728.0,65424.0,D1,True,False,0,3,existing_customer,PASS,stream_seed3,20422.54196714892,21600.0,-28015.84,9211.52
C056,,,,,4,cancel,21795.626289689524,195.62628968952413,True,N114,0.0,57459.0,37611.0,,D0,525.0,57459.0,37611.0,D0,True,False,0,3,existing_customer,PASS,stream_seed3,21081.781996227553,21600.0,16583.26,14493.79
C064,,,,,1,demand_change,17151.986366638608,6351.986366638608,True,N114,603.6610685035765,53101.0,33879.0,,D0,600.0,53101.0,33879.0,D0,True,False,0,4,existing_customer,PASS,stream_seed4,2759.2714165457483,10800.0,-31399.77,43738.23
N_S4_001,C056,True,L-main-threeshift-75c-01,228.0,2,add,,,True,N114,114.0,22513.0,4097.0,228.0,,0.0,22513.0,4097.0,D1,True,False,0,4,frozen_sister_bundle_exact,PASS,stream_seed4,4884.631384100141,10800.0,2385.52,-39770.25
C060,,,,,3,demand_change,33840.04394754282,12240.043947542821,True,N114,315.20617256766985,54976.0,35908.0,,D1,329.0,54976.0,35908.0,D1,True,False,0,4,existing_customer,PASS,stream_seed4,16641.282662498663,21600.0,-24146.21,-26447.02
C097,,,,,4,cancel,45524.58673525433,13124.586735254328,True,N114,0.0,57776.0,37182.0,,D1,763.0,57776.0,37182.0,D1,True,False,0,4,existing_customer,PASS,stream_seed4,23969.599209851032,32400.0,-51816.47,-4097.86
N_S5_001,C104,True,L-main-threeshift-75c-01,244.0,1,add,,,True,N114,122.0,55467.0,36176.0,244.0,,0.0,55467.0,36176.0,D1,True,False,0,5,frozen_sister_bundle_exact,PASS,stream_seed5,24534.532900135506,32400.0,-70106.71,-5090.17
C096,,,,,2,cancel,33622.78546114779,1222.7854611477887,True,N114,0.0,57538.0,36327.0,,D0,740.0,57538.0,36327.0,D0,True,False,0,5,existing_customer,PASS,stream_seed5,26206.653422706666,32400.0,3072.61,16104.81
C113,,,,,3,demand_change,46559.96597928093,14159.965979280933,True,N114,537.0626348344347,85417.0,66313.0,,D1,496.0,85417.0,66313.0,D1,True,False,0,5,existing_customer,PASS,stream_seed5,30051.10789916221,32400.0,-65685.38,20517.27
C060,,,,,4,demand_change,33840.04394754282,1440.0439475428211,True,N114,304.2314971532955,54976.0,35908.0,,D1,329.0,54976.0,35908.0,D1,True,False,0,5,existing_customer,PASS,stream_seed5,30659.696581418,32400.0,-24146.21,-26447.02
C214,,,,,1,cancel,46711.51623189607,35911.51623189607,True,N221,0.0,85921.0,65460.0,,D0,630.0,85921.0,65460.0,D0,True,False,0,1,existing_customer,PASS,stream_seed1,8509.03334467347,10800.0,-5754.49,-41590.83
C122,,,,,2,demand_change,34493.01951258528,12893.019512585277,True,N221,144.62002011689603,53036.0,34462.0,,D1,153.0,53036.0,34462.0,D1,True,False,0,1,existing_customer,PASS,stream_seed1,13639.564353309528,21600.0,26426.5,12339.32
N_S1_001,C218,True,L-main-threeshift-200c-01,206.0,3,add,,,True,N221,103.0,57185.0,37517.0,206.0,,0.0,57185.0,37517.0,D1,True,False,0,1,frozen_sister_bundle_exact,PASS,stream_seed1,13947.818324319094,21600.0,35189.06,19950.6
C211,,,,,4,demand_change,47857.36539415846,26257.365394158463,True,N221,113.08395559644443,85239.0,66515.0,,D1,132.0,85239.0,66515.0,D1,True,False,0,1,existing_customer,PASS,stream_seed1,16440.696165741767,21600.0,92900.77,-15626.8
C141,,,,,5,demand_change,22415.694498701963,815.6944987019633,True,N221,613.3350744660402,55480.0,35262.0,,D1,587.0,55480.0,35262.0,D1,True,False,0,1,existing_customer,PASS,stream_seed1,16912.785293290224,21600.0,70289.73,12913.85
N_S1_002,C159,True,L-main-threeshift-200c-01,208.0,6,add,,,True,N221,104.0,22349.0,3476.0,208.0,,0.0,22349.0,3476.0,D1,True,False,0,1,frozen_sister_bundle_exact,PASS,stream_seed1,20528.925007666272,21600.0,47965.97,-5494.46
C201,,,,,7,demand_change,53371.839582032575,20971.839582032575,True,N221,402.5034192993009,86368.0,66876.0,,D0,472.0,86368.0,66876.0,D0,True,False,0,1,existing_customer,PASS,stream_seed1,25358.84670543437,32400.0,109.91,-50342.2
C213,,,,,8,cancel,44028.32931436768,11628.329314367678,True,N221,0.0,85353.0,66914.0,,D0,195.0,85353.0,66914.0,D0,True,False,0,1,existing_customer,PASS,stream_seed1,29173.907366942887,32400.0,-37849.66,29099.07
C155,,,,,1,demand_change,31031.671980418112,20231.671980418112,True,N221,492.2198056997483,55307.0,34566.0,,D0,529.0,55307.0,34566.0,D0,True,False,0,2,existing_customer,PASS,stream_seed2,3240.6095181078413,10800.0,-81541.89,-9823.24
C146,,,,,2,cancel,24123.00194179047,13323.00194179047,True,N221,0.0,55565.0,35422.0,,D0,562.0,55565.0,35422.0,D0,True,False,0,2,existing_customer,PASS,stream_seed2,8577.496834618483,10800.0,-2504.21,1645.14
C214,,,,,3,demand_change,46711.51623189607,35911.51623189607,True,N221,542.2896982552501,85921.0,65460.0,,D0,630.0,85921.0,65460.0,D0,True,False,0,2,existing_customer,PASS,stream_seed2,9767.878919271763,10800.0,-5754.49,-41590.83
N_S2_001,C218,True,L-main-threeshift-200c-01,206.0,4,add,,,True,N221,103.0,57185.0,37517.0,206.0,,0.0,57185.0,37517.0,D1,True,False,0,2,frozen_sister_bundle_exact,PASS,stream_seed2,21467.373264285936,21600.0,35189.06,19950.6
C221,,,,,5,cancel,47765.391775207376,15365.391775207376,True,N221,0.0,85940.0,66096.0,,D1,822.0,85940.0,66096.0,D1,True,False,0,2,existing_customer,PASS,stream_seed2,22760.884634178114,32400.0,11775.37,17704.32
C209,,,,,6,demand_change,53371.839582032575,20971.839582032575,True,N221,154.4820222829042,85064.0,66521.0,,D0,180.0,85064.0,66521.0,D0,True,False,0,2,existing_customer,PASS,stream_seed2,26462.96396094475,32400.0,-9586.39,-54768.56
