instance,failure_reason,count
e2-multidepot-150c-01,ACCEPTED,1
e2-multidepot-150c-01,CHARGING_TIME_WINDOW_DETOUR,7
e2-multidepot-150c-01,STATION_OR_DEPOT_CAPACITY,12
e2-multidepot-200c-01,ACCEPTED,1
e2-multidepot-200c-01,CHARGING_TIME_WINDOW_DETOUR,11
e2-multidepot-200c-01,STATION_OR_DEPOT_CAPACITY,15
e2-threeshift-150c-01,ACCEPTED,1
e2-threeshift-150c-01,CHARGING_TIME_WINDOW_DETOUR,2
e2-threeshift-150c-01,STATION_OR_DEPOT_CAPACITY,17
e2-vanilla-150c-01,ACCEPTED,1
e2-vanilla-150c-01,CHARGING_TIME_WINDOW_DETOUR,14
e2-vanilla-150c-01,STATION_OR_DEPOT_CAPACITY,5
e2-vanilla-200c-01,ACCEPTED,1
e2-vanilla-200c-01,CHARGING_TIME_WINDOW_DETOUR,18
e2-vanilla-200c-01,STATION_OR_DEPOT_CAPACITY,8
