split,bundle,algorithm,seed,eval_budget,best_obj,actual_evals,violation_count,feasible,worker_python_executable,worker_numpy_version,destroy_counts,repair_counts,q_ratio_counts,threshold_ratio_counts
formal_10001,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,ppo_full,1,16000,6085.923811179165,16000,0,1,/opt/anaconda3/bin/python3.13,2.3.5,"{""vehicle_type_swap"":16000}","{""regret2_insert_repair"":16000}","{""0.333333"":16000}","{""0.011111"":16000}"
formal_10001,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,alpha_ucb_env,1,16000,5055.051020529177,16000,0,1,/opt/anaconda3/bin/python3.13,2.3.5,"{""random_customer_removal"":16,""route_segment_removal"":6289,""shaw_related_removal"":9,""vehicle_type_swap"":875,""whole_route_removal"":8694,""worst_customer_removal"":117}","{""greedy_insert_repair"":9623,""regret2_insert_repair"":37,""regret3_insert_repair"":6340}",{},"{""0.000000"":16000}"
formal_10001,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,alpha_operator_random_threshold,1,16000,5082.149174655591,16000,0,1,/opt/anaconda3/bin/python3.13,2.3.5,"{""random_customer_removal"":633,""shaw_related_removal"":3,""whole_route_removal"":15361,""worst_customer_removal"":3}","{""greedy_insert_repair"":15364,""regret2_insert_repair"":3,""regret3_insert_repair"":633}","{""0.333333"":16000}","{""0.000000"":158,""0.000202"":181,""0.000404"":158,""0.000606"":136,""0.000808"":165,""0.001010"":159,""0.001212"":160,""0.001414"":161,""0.001616"":138,""0.001818"":181,""0.002020"":164,""0.002222"":166,""0.002424"":157,""0.002626"":173,""0.002828"":134,""0.003030"":169,""0.003232"":153,""0.003434"":145,""0.003636"":161,""0.003838"":157,""0.004040"":149,""0.004242"":154,""0.004444"":139,""0.004646"":163,""0.004848"":146,""0.005051"":185,""0.005253"":169,""0.005455"":175,""0.005657"":181,""0.005859"":156,""0.006061"":174,""0.006263"":163,""0.006465"":199,""0.006667"":146,""0.006869"":159,""0.007071"":152,""0.007273"":145,""0.007475"":160,""0.007677"":172,""0.007879"":184,""0.008081"":165,""0.008283"":151,""0.008485"":172,""0.008687"":148,""0.008889"":177,""0.009091"":165,""0.009293"":149,""0.009495"":181,""0.009697"":171,""0.009899"":169,""0.010101"":150,""0.010303"":165,""0.010505"":147,""0.010707"":151,""0.010909"":162,""0.011111"":165,""0.011313"":159,""0.011515"":161,""0.011717"":157,""0.011919"":155,""0.012121"":155,""0.012323"":132,""0.012525"":151,""0.012727"":158,""0.012929"":143,""0.013131"":154,""0.013333"":158,""0.013535"":156,""0.013737"":169,""0.013939"":161,""0.014141"":172,""0.014343"":161,""0.014545"":157,""0.014747"":162,""0.014949"":145,""0.015152"":163,""0.015354"":147,""0.015556"":181,""0.015758"":152,""0.015960"":158,""0.016162"":152,""0.016364"":163,""0.016566"":167,""0.016768"":170,""0.016970"":145,""0.017172"":161,""0.017374"":160,""0.017576"":163,""0.017778"":156,""0.017980"":182,""0.018182"":154,""0.018384"":173,""0.018586"":153,""0.018788"":158,""0.018990"":153,""0.019192"":164,""0.019394"":138,""0.019596"":162,""0.019798"":163,""0.020000"":161}"
formal_10001,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,alpha_operator_random_q,1,16000,4850.279892696229,16000,0,1,/opt/anaconda3/bin/python3.13,2.3.5,"{""random_customer_removal"":6,""route_segment_removal"":13491,""shaw_related_removal"":621,""vehicle_type_swap"":803,""whole_route_removal"":735,""worst_customer_removal"":344}","{""greedy_insert_repair"":15199,""regret2_insert_repair"":221,""regret3_insert_repair"":580}","{""0.100000"":1597,""0.133333"":1579,""0.166667"":1617,""0.200000"":1654,""0.233333"":1648,""0.266667"":1572,""0.300000"":1537,""0.333333"":1598,""0.366667"":1619,""0.400000"":1579}","{""0.000000"":16000}"
formal_10001,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,ppo_full,2,16000,6085.923811179165,16000,0,1,/opt/anaconda3/bin/python3.13,2.3.5,"{""vehicle_type_swap"":16000}","{""regret2_insert_repair"":16000}","{""0.333333"":16000}","{""0.011111"":16000}"
formal_10001,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,alpha_ucb_env,2,16000,4779.053444002934,16000,0,1,/opt/anaconda3/bin/python3.13,2.3.5,"{""random_customer_removal"":15,""route_segment_removal"":13065,""shaw_related_removal"":1472,""vehicle_type_swap"":1260,""whole_route_removal"":31,""worst_customer_removal"":157}","{""greedy_insert_repair"":15873,""regret2_insert_repair"":28,""regret3_insert_repair"":99}",{},"{""0.000000"":16000}"
formal_10001,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,random_operator_only,1,16000,4894.732192165014,16000,0,1,/opt/anaconda3/bin/python3.13,2.3.5,"{""random_customer_removal"":2672,""route_segment_removal"":2707,""shaw_related_removal"":2690,""vehicle_type_swap"":2567,""whole_route_removal"":2688,""worst_customer_removal"":2676}","{""greedy_insert_repair"":5320,""regret2_insert_repair"":5335,""regret3_insert_repair"":5345}",{},"{""0.000000"":16000}"
formal_10001,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,alpha_operator_random_threshold,2,16000,4961.225123798065,16000,0,1,/opt/anaconda3/bin/python3.13,2.3.5,"{""random_customer_removal"":3,""route_segment_removal"":12,""shaw_related_removal"":29,""vehicle_type_swap"":8516,""whole_route_removal"":7387,""worst_customer_removal"":53}","{""greedy_insert_repair"":15989,""regret2_insert_repair"":5,""regret3_insert_repair"":6}","{""0.333333"":16000}","{""0.000000"":148,""0.000202"":155,""0.000404"":148,""0.000606"":168,""0.000808"":155,""0.001010"":144,""0.001212"":164,""0.001414"":156,""0.001616"":153,""0.001818"":154,""0.002020"":171,""0.002222"":197,""0.002424"":166,""0.002626"":154,""0.002828"":179,""0.003030"":169,""0.003232"":163,""0.003434"":136,""0.003636"":159,""0.003838"":183,""0.004040"":171,""0.004242"":143,""0.004444"":152,""0.004646"":154,""0.004848"":159,""0.005051"":156,""0.005253"":150,""0.005455"":136,""0.005657"":164,""0.005859"":163,""0.006061"":176,""0.006263"":151,""0.006465"":145,""0.006667"":175,""0.006869"":178,""0.007071"":179,""0.007273"":159,""0.007475"":183,""0.007677"":139,""0.007879"":140,""0.008081"":188,""0.008283"":167,""0.008485"":144,""0.008687"":160,""0.008889"":160,""0.009091"":172,""0.009293"":162,""0.009495"":148,""0.009697"":149,""0.009899"":147,""0.010101"":186,""0.010303"":183,""0.010505"":141,""0.010707"":138,""0.010909"":152,""0.011111"":172,""0.011313"":164,""0.011515"":151,""0.011717"":140,""0.011919"":180,""0.012121"":164,""0.012323"":153,""0.012525"":164,""0.012727"":147,""0.012929"":183,""0.013131"":156,""0.013333"":157,""0.013535"":167,""0.013737"":154,""0.013939"":165,""0.014141"":155,""0.014343"":161,""0.014545"":144,""0.014747"":147,""0.014949"":167,""0.015152"":172,""0.015354"":159,""0.015556"":163,""0.015758"":167,""0.015960"":159,""0.016162"":148,""0.016364"":173,""0.016566"":151,""0.016768"":158,""0.016970"":151,""0.017172"":162,""0.017374"":171,""0.017576"":159,""0.017778"":160,""0.017980"":172,""0.018182"":140,""0.018384"":158,""0.018586"":171,""0.018788"":164,""0.018990"":155,""0.019192"":154,""0.019394"":174,""0.019596"":165,""0.019798"":143,""0.020000"":168}"
formal_10001,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,alpha_operator_random_q,2,16000,4959.498706365307,16000,0,1,/opt/anaconda3/bin/python3.13,2.3.5,"{""random_customer_removal"":9,""route_segment_removal"":14674,""shaw_related_removal"":9,""vehicle_type_swap"":927,""whole_route_removal"":15,""worst_customer_removal"":366}","{""greedy_insert_repair"":1078,""regret2_insert_repair"":14683,""regret3_insert_repair"":239}","{""0.100000"":1545,""0.133333"":1677,""0.166667"":1548,""0.200000"":1625,""0.233333"":1597,""0.266667"":1607,""0.300000"":1610,""0.333333"":1594,""0.366667"":1605,""0.400000"":1592}","{""0.000000"":16000}"
formal_10001,models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,ppo_full,3,16000,6085.923811179165,16000,0,1,/opt/anaconda3/bin/python3.13,2.3.5,"{""vehicle_type_swap"":16000}","{""regret2_insert_repair"":16000}","{""0.333333"":16000}","{""0.011111"":16000}"
