record_type,record_id,status,passed,failed,skipped,certification_units,violation_count,route_search_executed,search_evaluations,command,details
root_cause_numeric,W3/monotone_reference,PASS,,,,,,False,0,read-only diagnostic,"pre-fix pseudo baseline=499.75649570293297; certified all-CV physical baseline=669.7564957029331; mixed final=577.531087595572; improvement=92.22540810736109"
root_cause_numeric,W3/depot_caps,PASS,,,,,,False,0,read-only diagnostic,"3 routes; all-CV physical vehicles=2; final physical vehicles=1 CV+1 EV; mandatory assignment route_index=1; final cost=732.2834405333646"
pytest,W3/target_two,PASS,2,0,0,,,False,0,"python -m pytest <two target node ids> -q --tb=long","2 passed in 0.30s"
pytest,W3/target_file,PASS,3,0,0,,,False,0,"python -m pytest solver/tests/test_china81_shared_completion_20260720.py -q --tb=short","3 passed in 0.40s after final source edit"
pytest,W3/relevant_set,PASS,49,0,0,,,False,0,"python -m pytest test_china81_bundle test_china81_fleet_authority_v3 test_china81_shared_completion test_multitrip_schedule test_e3_capacity_rank_aligned -q --tb=short","49 passed in 4.04s"
zero_search_certification,W3/81x5,PASS,,,,405,0,False,0,"python baselines/china_instances/build_china81_finite_fleet_authority_v3_20260802.py --audit-only","0/25/50/75/100 each 81; total cap 943; depot rows 144; x4 total 1042"
pytest,W3/full_suite,EXPECTED_REMAINDERS,909,3,1,,,False,0,"python -m pytest solver/tests -q --tb=short","3 failed, 909 passed, 1 skipped in 284.25s; failures exactly two unresolved_historical plus one old_contract"
protected_diff,W3/check_py,PASS,,,,,,False,0,"git diff --quiet -- solver/src/setp_solver/check.py","exit 0"
protected_diff,W3/search_evaluation_py,PASS,,,,,,False,0,"git diff --quiet -- solver/src/setp_solver/search/evaluation.py","exit 0"
protected_diff,W3/paper_main_tex,PASS,,,,,,False,0,"git diff --quiet -- docs/paper_v2/paper_main.tex","exit 0"
