battery_kwh,evidence_tier,main_scenario_eligible,notes,path_or_url,scale_or_config,scan_by_default,source_id,source_type,vehicle_class,year
60.0,literature_benchmark,True,Post-2020 literature anchor; not a truck-product default.,/Users/zhouleixishu/Zotero/storage/5EKAGHKW/Qiu 等 _ 2024 _ Routing a mixed fleet...pdf,5/10/15/100 customers; speed 60km/h,True,Qiu2024,local_pdf,mixed ICEV/EV benchmark fleet,2024
80.0,literature_benchmark,True,Historical physical lineage; current default was promoted away from this value.,/Users/zhouleixishu/Zotero/storage/PGY3QPNT/Goeke和Schneider _ 2015 _ Routing...pdf,10-200 customers; speed 90km/h,True,Goeke2015,local_pdf,E-VRPTWMF benchmark truck,2015
80.0,literature_benchmark,True,Urban/multidepot literature anchor.,/Users/zhouleixishu/Zotero/storage/392IDBJI/陈婉茹 等 _ 2023 _ 碳交易机制下多中心混合车队配送路径和速度优化研究.pdf,48/4 to 288/6; speed 30-60km/h,True,Chen2023,local_pdf,urban medium distribution trucks,2023
81.0,conditional_van,True,Conditional: van class is lighter than the current truck-like calibration.,https://www.mbvans.com/en/esprinter,usable battery option,True,MercedesESprinter,official_web,large electric van,2026
113.0,conditional_van,True,Conditional upper van option.,https://www.mbvans.com/en/esprinter,usable battery option,True,MercedesESprinter,official_web,large electric van,2026
82.6,strong_current_vehicle_class,True,Exact kWh from secondary coverage; official product page confirms S/M/L battery configurations but does not expose text kWh in the local scrape. Verify official spec before promotion.,https://insideevs.com/news/609794/mitsubishi-fuso-next-generation-ecanter/,M battery configuration,True,FusoECanter,secondary_web,light/medium electric distribution truck,2024
123.9,strong_current_vehicle_class,True,Exact kWh from secondary coverage; official product page confirms S/M/L battery configurations but does not expose text kWh in the local scrape. Verify official spec before promotion.,https://insideevs.com/news/609794/mitsubishi-fuso-next-generation-ecanter/,L battery configuration,True,FusoECanter,secondary_web,light/medium electric distribution truck,2024
89.0,conditional_van,True,Conditional van evidence.,https://www.fromtheroad.ford.com/content/dam/fordmediasite/us/en/library/2025/specs/2025-Transit-Technical-Specs.pdf,usable battery,True,FordETransit2025,official_pdf,large electric van,2025
60.0,strong_current_vehicle_class,True,Exact product configuration; use as class-compatible anchor if source remains current.,https://www.isuzucv.com/en/nrrev,battery configuration,True,IsuzuNRREV,official_web,medium-duty box truck,2024
100.0,strong_current_vehicle_class,True,Exact product configuration; use as class-compatible anchor if source remains current.,https://www.isuzucv.com/en/nrrev,battery configuration,True,IsuzuNRREV,official_web,medium-duty box truck,2024
