evidence_id,evidence_type,source_path,source_sha256,claim,observed,status
SZ-EV-RULE,official_policy,baselines/e4_e5/shenzhen_2025_02_tariff_closure_20260723/source_snapshots/gd_ev_tariff_2018_313.html,6fcbd35e9dbb90b52e081886453d9b429a0599cc52ac8091145f46ca8d5b960a,Independently metered Shenzhen EV charging uses the corresponding large-use or high-demand tariff by declared capacity.,rule_present,PASS
SZ-EV-BASIC-FEE,official_policy,baselines/e4_e5/shenzhen_2025_02_tariff_closure_20260723/source_snapshots/gd_ev_tariff_2018_313.html,6fcbd35e9dbb90b52e081886453d9b429a0599cc52ac8091145f46ca8d5b960a,Independently metered EV charging facilities are exempt from basic fees.,basic_fee_exempt,PASS
SZ-EV-RULE-CURRENT-CHECK,official_utility_confirmation,baselines/e4_e5/shenzhen_2025_02_tariff_closure_20260723/source_snapshots/shenzhen_power_2026_qna.html,fb1c0d7e8de571b6876f1eb7453536f1b21c2d1f64dccdfb16151f9235290033,Shenzhen Power Supply Bureau still describes the capacity-based large-use/high-demand rule and capacity/demand-fee exemption.,current_confirmation_present,PASS
SZ-INDEPENDENT-PRICE-ZONE,official_policy,baselines/e4_e5/shenzhen_2025_02_tariff_closure_20260723/source_snapshots/gd_transmission_2023_148.html,1050ae42683eafa963e4dbdb1cd6715dc96aad4911c857e531018911c6719c6d,Shenzhen transmission tariff is governed by a separate attachment.,independent_price_zone_confirmed,PASS
SZ-TRANSMISSION-ROW,official_tariff_attachment,baselines/e4_e5/shenzhen_2025_02_tariff_closure_20260723/source_snapshots/shenzhen_grid_transmission_tariff_2023_attachment3.docx,30f3ea64e60db82e663bf468372dfe1c8ca403f37ebaca5c73a7aa4f456dd13e,"The Shenzhen 101-3000 kVA, 10 kV high-supply/high-metering, at-or-below-250 kWh/kVA-month transmission component is 0.1804 CNY/kWh.",0.1804,PASS
SZ-2025-02-SHARP_PEAK,archived_grid_original_scan_recalculation,data/ChinaPrices/official_snapshots/china_2025_02_nine_city/shenzhen_2025_02_api.json,3e823735df693d99606257be25f377915283f3f91434f8d30d8a59ac1d5df839,2025-02 Shenzhen selected scenario sharp_peak energy price.,1.43716875,PASS
SZ-2025-02-PEAK,archived_grid_original_scan_recalculation,data/ChinaPrices/official_snapshots/china_2025_02_nine_city/shenzhen_2025_02_api.json,3e823735df693d99606257be25f377915283f3f91434f8d30d8a59ac1d5df839,2025-02 Shenzhen selected scenario peak energy price.,1.15526875,PASS
SZ-2025-02-FLAT,archived_grid_original_scan_recalculation,data/ChinaPrices/official_snapshots/china_2025_02_nine_city/shenzhen_2025_02_api.json,3e823735df693d99606257be25f377915283f3f91434f8d30d8a59ac1d5df839,2025-02 Shenzhen selected scenario flat energy price.,0.75776875,PASS
SZ-2025-02-VALLEY,archived_grid_original_scan_recalculation,data/ChinaPrices/official_snapshots/china_2025_02_nine_city/shenzhen_2025_02_api.json,3e823735df693d99606257be25f377915283f3f91434f8d30d8a59ac1d5df839,2025-02 Shenzhen selected scenario valley energy price.,0.25716875,PASS
SZ-2025-02-SCAN-BYTES,archived_grid_original_scan,data/ChinaPrices/official_snapshots/china_2025_02_nine_city/shenzhen_2025_02.webp,6a5e54bf4489d635ae8b7f6e9970b6122816861cc967ee4f6961fba1cbe7c9b2,The visible Shenzhen Power Supply Bureau 2025-02 tariff scan is retained.,scan_hash_bound,PASS
SZ-V2-REGISTER,preregistered_machine_register,data/ChinaPrices/china_2025_02_tariff_register_v2.json,d76c7d53537a3817e8c89c113b419e9149e5e3aa7992ba6911b422b695abb20e,The selected numerical row existed in the pre-search v2 tariff register.,common_101_to_3000_kVA_10kV_high_supply_high_metering_at_or_below_250kWh_per_kVA_month,PASS
SZ-PRESEARCH-SELECTION,pre_search_builder,baselines/china_instances/build_china_stage2_static_inputs_20260718.py,64145fba944e38e7a5d8595493334b5710ef49afc9945ffc4510280065b39d45,The zero-search static-input builder selected the same row before E3-E7 search.,common_101_to_3000_kVA_10kV_high_supply_high_metering_at_or_below_250kWh_per_kVA_month,PASS
SZ-DEPOT-CHARGING-SCENARIO,frozen_scenario_input,data/ChinaInstances/china81_stage2_static_inputs_v1_20260718/facilities.csv,b7bcafb0fcaabc5ebc1557583b92858d3537ce8aca4ad7dbf6b1098387e21d2e,Shenzhen depot charging is a transparent 22 kW x 2 charger scenario proxy.,22_kW_x_2,PASS
SZ-FROZEN-CALENDAR,frozen_static_input,data/ChinaInstances/china81_stage2_static_inputs_v1_20260718/tariff_carbon_hourly_calendar.csv,2e20a64fb44694cb9a0d6869205258bf4af48f3ebace1ab4f2dba40445250f71,All 28x48 Shenzhen rows use the selected scenario values.,1344_rows_numeric_match,PASS
