source_id,cycle,source_type,title,authors_year,url_or_local_path,access_status,license_or_reuse,verified_detail,applicability_to_e3_e6,limitation
CF-S01,1+2,PRIMARY_PAPER,"The multi-depot vehicle routing problem with profit fairness","Soriano, Gansterer, and Hartl (2023)",https://doi.org/10.1016/j.ijpe.2022.108669,FULL_TEXT_VERIFIED_LOCAL_ZOTERO,"publisher copyright; method may be independently reimplemented but article text/code may not be copied","Full PDF SHA256 07bf3ac92303eab0b7d9e713606334b1db262097692eeedce6942056392544e2; Eq. 11 is P_d >= P_hat*P_d0; Section 4.3 uses a fairness-modified insertion score and only fairness-feasible local moves","Directly matches E6 participation ratio and proves fairness can guide reconstruction inside ALNS","No author source code located; homogeneous fleet and simpler route physics than ReSETP"
CF-S02,1+2,PRIMARY_PAPER,"Inter-depot moves and dynamic-radius search for multi-depot vehicle routing problems","Gauthier and Irnich (2022 technical report; repository item 2024)",https://openscience.ub.uni-mainz.de/items/641f87af-aea7-4cf7-812a-bf4f26c24f0c,FULL_TEXT_VERIFIED,"CC BY 4.0 for repository item","Local PDF SHA256 30206febc6d919a957e23e038b209fbe0718d8d75d04b11d88c6d2de947868db; formalizes inter-depot 2-opt and 2-opt-star with corrected radius pruning and also discusses relocate, swap, Or-opt, and string exchange","Strong source for efficient cross-depot local-search neighborhoods in E3","Authors report better average local optima did not improve the final ILS best; no code located"
CF-S03,1+2,PRIMARY_PAPER,"Cyclic Transfer Algorithm for Multivehicle Routing and Scheduling Problems","Thompson and Psaraftis (1993)",https://doi.org/10.1287/opre.41.5.935,METADATA_AND_ABSTRACT_VERIFIED,"publisher copyright","Introduces negative-cost cyclic transfers that jointly alter assignment to vehicles and within-route sequencing","Foundational support for multi-customer responsibility-transfer chains","Old general framework; no directly reusable implementation located"
CF-S04,1+2,PRIMARY_PAPER,"Multiple neighborhood search, tabu search and ejection chains for the multi-depot open vehicle routing problem","Soto, Sevaux, Rossi, and Reinholz (2017)",https://doi.org/10.1016/j.cie.2017.03.022,ARTICLE_PAGE_AND_METHOD_SUMMARY_VERIFIED,"publisher copyright","Uses a uniform ejection-chain view across neighborhoods inside MNS-TS for a multi-depot problem","Supports a multi-step cross-depot chain rather than isolated one-customer moves","Open routes do not return to depots; no author code or permissive software license located"
CF-S05,1+2,PRIMARY_PAPER,"A new exact algorithm for the multi-depot vehicle routing problem under capacity and route length constraints","Contardo and Martinelli (2014)",https://doi.org/10.1016/j.disopt.2014.03.001,ARTICLE_PAGE_AND_CROSSREF_VERIFIED,"publisher copyright","Uses vehicle-flow and set-partitioning formulations plus pricing and valid inequalities","Supports a route-column master where depot and member attributes can be explicit","Exact branch-price-cut machinery is too large to transplant as an ALNS operator"
CF-S06,1+2,PRIMARY_PAPER,"A multi-space sampling heuristic for the green vehicle routing problem","Montoya, Guéret, Mendoza, and Villegas (2016)",https://doi.org/10.1016/j.trc.2015.09.009,ARTICLE_PAGE_AND_CROSSREF_VERIFIED,"publisher copyright","Builds a route pool and assembles solutions with set partitioning; reports pool-quality dependence and strong benchmark results","Supports using an ALNS-generated feasible route pool followed by a restricted master","Single-depot green VRP; no verified open implementation and no participant-fairness constraint"
CF-S07,1+2,PRIMARY_PAPER,"On an Integer Program for a Delivery Problem","Balinski and Quandt (1964)",https://doi.org/10.1287/opre.12.2.300,ARTICLE_PAGE_VERIFIED,"publisher copyright","Classical integer-programming foundation for route-selection/set-partitioning delivery formulations","Foundational support for exact assembly from feasible route columns","Not an implementation and predates rich VRP constraints"
CF-S08,1+2,OFFICIAL_CODE_AND_PAPER,"PyVRP: a high-performance VRP solver package","Wouda, Lan, and Kool (2024)",https://github.com/PyVRP/PyVRP,FULL_REPOSITORY_CLONED_AND_INSPECTED,"MIT; v0.13.4 license SHA256 d9484b4905b1479240a99cdbe96b4f34d9a2c17347000d961819f8b177f3365b","Pinned v0.13.4 commit 18815548d04a90a0e5eea2a0bed53a81ea9d2d49; supports multiple depots; C++ Exchange, SwapTails, and SwapStar have tests","Best permissively licensed source for high-performance route-tail and free-reinsertion exchange patterns","Does not implement ReSETP energy, charging, physical multitrip, or member-profit constraints"
CF-S09,2,OFFICIAL_DOCUMENTATION,"PyVRP 0.13.4 search methods",PyVRP project,https://pyvrp.readthedocs.io/en/stable/api/search.html,VERIFIED,"MIT code; documentation reuse terms not separately relied on","Documents SwapStar as free-form reinsertions and exposes route operators","Clarifies operator semantics before any clean-room adaptation","Documentation alone is not performance evidence on ReSETP"
CF-S10,1+2,OFFICIAL_CODE_AND_PAPER,"Hybrid Genetic Search for the CVRP: open-source implementation and SWAP-star neighborhood","Vidal (2022)",https://github.com/vidalt/HGS-CVRP,FULL_REPOSITORY_CLONED_AND_INSPECTED,"MIT; commit 1a927955cd2861a29d978f0d359d6e647db9319c","Official implementation and paper DOI 10.1016/j.cor.2021.105643; license SHA256 f394ca7994e08f3e965d2041a36803d400b3cd3d2c2dc5c0a394fe1c28a7ef6c","Independent source for real SWAP-star rather than the repository's historical swapstar-lite label","Specialized to CVRP; current public HGS code is not a drop-in rich multi-depot EV solver"
