seed,curve_id,status,objective,objective_float_hex,total_cost_cny,system_emissions_kg,public_station_charging_count,public_actions_ending_above_85pct,public_actions_crossing_85pct,between_trip_recharge_count,between_trip_recharge_energy_kwh,route_count,used_physical_vehicle_count,route_structure_sha256,charging_structure_sha256,solution_sha256,iterations_by_view,complete_candidate_evaluation_attempts,elapsed_seconds
6,L100_control,PASS,4562.024573963715,0x1.1d2064a7ab27dp+12,4562.024573963715,415.8739123997247,0,0,0,0,0,18,12,16259adedecdf47b932ddb581e3437b14d8d8941426623e56ce1c88026755bb5,420638efb73f63531a57f6d3bd275bcb1efb0d63f174f06f9c74f3291c9c4e58,7bef356e208052d68bc0a6f723c784e087f7eae568239e0cbb10259718e12396,"{""cv_only"":25000,""mechanism_ev"":25000,""naive_ev"":25000}",80,336.61296437494457
6,NL90_mild,PASS,4562.024573963715,0x1.1d2064a7ab27dp+12,4562.024573963715,415.8739123997247,0,0,0,0,0,18,12,16259adedecdf47b932ddb581e3437b14d8d8941426623e56ce1c88026755bb5,c0d3e8b54ca8f828b800f3304a912fb9a4d8c39c4f35bf3400cf6f77d2c9683c,da3318633c796a89dcf0f7ff22f5b60d1d005074cbef38a98fc5859022356a57,"{""cv_only"":25000,""mechanism_ev"":25000,""naive_ev"":25000}",80,337.71127012500074
7,L100_control,PASS,4562.024573963715,0x1.1d2064a7ab27dp+12,4562.024573963715,415.8739123997247,0,0,0,0,0,18,12,16259adedecdf47b932ddb581e3437b14d8d8941426623e56ce1c88026755bb5,420638efb73f63531a57f6d3bd275bcb1efb0d63f174f06f9c74f3291c9c4e58,7bef356e208052d68bc0a6f723c784e087f7eae568239e0cbb10259718e12396,"{""cv_only"":25000,""mechanism_ev"":25000,""naive_ev"":25000}",80,325.4143679171102
7,NL90_mild,PASS,4562.024573963715,0x1.1d2064a7ab27dp+12,4562.024573963715,415.8739123997247,0,0,0,0,0,18,12,16259adedecdf47b932ddb581e3437b14d8d8941426623e56ce1c88026755bb5,c0d3e8b54ca8f828b800f3304a912fb9a4d8c39c4f35bf3400cf6f77d2c9683c,da3318633c796a89dcf0f7ff22f5b60d1d005074cbef38a98fc5859022356a57,"{""cv_only"":25000,""mechanism_ev"":25000,""naive_ev"":25000}",80,325.9048950410215
8,L100_control,PASS,4562.024573963715,0x1.1d2064a7ab27dp+12,4562.024573963715,415.8739123997247,0,0,0,0,0,18,12,16259adedecdf47b932ddb581e3437b14d8d8941426623e56ce1c88026755bb5,420638efb73f63531a57f6d3bd275bcb1efb0d63f174f06f9c74f3291c9c4e58,7bef356e208052d68bc0a6f723c784e087f7eae568239e0cbb10259718e12396,"{""cv_only"":25000,""mechanism_ev"":25000,""naive_ev"":25000}",80,323.39835491694976
8,NL90_mild,PASS,4562.024573963715,0x1.1d2064a7ab27dp+12,4562.024573963715,415.8739123997247,0,0,0,0,0,18,12,16259adedecdf47b932ddb581e3437b14d8d8941426623e56ce1c88026755bb5,c0d3e8b54ca8f828b800f3304a912fb9a4d8c39c4f35bf3400cf6f77d2c9683c,da3318633c796a89dcf0f7ff22f5b60d1d005074cbef38a98fc5859022356a57,"{""cv_only"":25000,""mechanism_ev"":25000,""naive_ev"":25000}",80,324.7069551249733
9,L100_control,PASS,4562.024573963715,0x1.1d2064a7ab27dp+12,4562.024573963715,415.8739123997247,0,0,0,0,0,18,12,16259adedecdf47b932ddb581e3437b14d8d8941426623e56ce1c88026755bb5,420638efb73f63531a57f6d3bd275bcb1efb0d63f174f06f9c74f3291c9c4e58,7bef356e208052d68bc0a6f723c784e087f7eae568239e0cbb10259718e12396,"{""cv_only"":25000,""mechanism_ev"":25000,""naive_ev"":25000}",80,326.8575379579561
9,NL90_mild,PASS,4562.024573963715,0x1.1d2064a7ab27dp+12,4562.024573963715,415.8739123997247,0,0,0,0,0,18,12,16259adedecdf47b932ddb581e3437b14d8d8941426623e56ce1c88026755bb5,c0d3e8b54ca8f828b800f3304a912fb9a4d8c39c4f35bf3400cf6f77d2c9683c,da3318633c796a89dcf0f7ff22f5b60d1d005074cbef38a98fc5859022356a57,"{""cv_only"":25000,""mechanism_ev"":25000,""naive_ev"":25000}",80,327.20513391599525
10,L100_control,PASS,4562.024573963715,0x1.1d2064a7ab27dp+12,4562.024573963715,415.8739123997247,0,0,0,0,0,18,12,16259adedecdf47b932ddb581e3437b14d8d8941426623e56ce1c88026755bb5,420638efb73f63531a57f6d3bd275bcb1efb0d63f174f06f9c74f3291c9c4e58,7bef356e208052d68bc0a6f723c784e087f7eae568239e0cbb10259718e12396,"{""cv_only"":25000,""mechanism_ev"":25000,""naive_ev"":25000}",80,313.9634116248926
10,NL90_mild,PASS,4562.024573963715,0x1.1d2064a7ab27dp+12,4562.024573963715,415.8739123997247,0,0,0,0,0,18,12,16259adedecdf47b932ddb581e3437b14d8d8941426623e56ce1c88026755bb5,c0d3e8b54ca8f828b800f3304a912fb9a4d8c39c4f35bf3400cf6f77d2c9683c,da3318633c796a89dcf0f7ff22f5b60d1d005074cbef38a98fc5859022356a57,"{""cv_only"":25000,""mechanism_ev"":25000,""naive_ev"":25000}",80,313.58414066699333
