instance,class,customers,max_vehicles,capacity,bks_vehicles,bks_distance,bks_reference_code,source_solution_sha256,bundle_instance_sha256,bundle_matrix_sha256,bundle_carbon_sha256,generic_loader_match,search_evaluations
C101,C1,100,25,200,10,828.94,RT,7a000b23902b2ad8851d8a1752d007047c3f8ff6a27f60c6d1a3167f58433f48,e828078e79236a072d687b94483849d392e9d7c09f076a0bf42c844c4785ce9f,b4aeadc2cbc4359f054d7fd3cf24993368b8619db3457476c6ba5340beea77c6,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
C102,C1,100,25,200,10,828.94,RT,136b506e9c9d529819008d94287ed8ec2825828e15cc65cb4899d18bbc0d2730,91d50c5a17b724a700ad5a9e30bddeac96b1b1dedbce8c9944fe4db53cfa1c9c,b4aeadc2cbc4359f054d7fd3cf24993368b8619db3457476c6ba5340beea77c6,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
C103,C1,100,25,200,10,828.06,RT,6cf0131e29be67049c4ce0c67e2fd28d18ef63c39da0bb564f0fc395805e980e,0b51c544108fcdbff40fd3a4879ad85705d0d0fa6293efb421cb51c660546df7,b4aeadc2cbc4359f054d7fd3cf24993368b8619db3457476c6ba5340beea77c6,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
C104,C1,100,25,200,10,824.78,RT,b2b1c802a892a91bc81fbee93661fd01ceb73ef6f25c8d1177628e48f3a3167f,149d9a4dc323b82167aaba6cdd511c427292d82adfd8ee19f476627dc7e8d692,b4aeadc2cbc4359f054d7fd3cf24993368b8619db3457476c6ba5340beea77c6,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
C105,C1,100,25,200,10,828.94,RT,d960d735ac1b98b88ed04bc240f88b5c3d5d40f93afeb757012f69f23afac1b7,8476498ea984ca2bc613d961df1f25ee379fe00c4823e560431ad2b1a0b3caed,b4aeadc2cbc4359f054d7fd3cf24993368b8619db3457476c6ba5340beea77c6,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
C106,C1,100,25,200,10,828.94,RT,edeb13ac077ab24d8e0b8787112c57e997e60482d0289bc8cfbf0cf6a82a73be,d09d8e5a8cb36fc6beb62bbf36403f5708443000ad9a21ed2bebe0a85336dca2,b4aeadc2cbc4359f054d7fd3cf24993368b8619db3457476c6ba5340beea77c6,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
C107,C1,100,25,200,10,828.94,RT,7c23b612a4bdb7a2566a253c92149b7aa81a05198b9c3b2ba3fcc3beab833e48,53055202f479ef3f1d430927e9c3b148a7a88a8c704d79fe74f0f329d92534f2,b4aeadc2cbc4359f054d7fd3cf24993368b8619db3457476c6ba5340beea77c6,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
C108,C1,100,25,200,10,828.94,RT,cbe465852879225df578c16b3a1145ed581e70aa27a4a4d030416b05e8a0f355,b29f021b29086e379a1422ccf7372a2f371db86a313ceeea47ee3419dd964e86,b4aeadc2cbc4359f054d7fd3cf24993368b8619db3457476c6ba5340beea77c6,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
C109,C1,100,25,200,10,828.94,RT,a2a6d1bdd750f1c6da65531fdf072c6cd19ec4a10b071de018ea00e7912593a6,8c087ab57dfcb72412d033b48840c888acc1276ff4717097654dc8920182a8e2,b4aeadc2cbc4359f054d7fd3cf24993368b8619db3457476c6ba5340beea77c6,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
C201,C2,100,25,700,3,591.56,RT,a3a6a9b96dfd1bf8f6db553ca51c098d685361ac6934009c28725954a15afcb4,239e367acf554d825e9c9fbceb534be1c46ac33b6963940c60e47c7e69269952,c3cd100379dfbbb5b08bc5319a84bd892493ca3017409036bda5b58b78cdbff9,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
C202,C2,100,25,700,3,591.56,RT,6cfb9d58f1d9f63735ce99e8935a776e4edf054673adff55a23b9d3205cd464b,ff9012cc8e9eb53983fd6bdba79da88cb3fa405370d39ccd7bd0e855a51df8f9,c3cd100379dfbbb5b08bc5319a84bd892493ca3017409036bda5b58b78cdbff9,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
C203,C2,100,25,700,3,591.17,RT,2b9864185b7254a2879ae9b4b5040586cd263c41e7d59b0c7192e3862e07e144,a940574c262056ebceae0157a717af1ae338e5305be7104c10a4ee898a66bca7,c3cd100379dfbbb5b08bc5319a84bd892493ca3017409036bda5b58b78cdbff9,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
C204,C2,100,25,700,3,590.6,RT,0a2947cc68da4abcf0ef13b16876ece5aaba2046d1856d842a227ced817607b6,183275a15ccf25e3913d36714f3d3070984ac6d56a16410a7e04a70cc3b0a22a,c3cd100379dfbbb5b08bc5319a84bd892493ca3017409036bda5b58b78cdbff9,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
