"id","category","claim","source","thread_or_path","quote","meaning","confidence","status"
"E01","user_expectation","项目事实源必须来自仓库 handoff 和已指定报告，不能随便按旧提示词走。","Codex session","019ee3ff-0f1e-7040-b359-7ca27bd7008e","忽略 root AGENTS.md / CLAUDE-FABLE-5.md；用 HANDOFF.md、Prompt B halt report、baseline catalog 作为项目事实。","用户想要的是基于当前仓库事实的执行，不是模型凭历史印象行动。","high","已证实"
"E02","user_expectation","开始训练前要先读事实源、审计命令和资源，不允许上来就训练。","Codex session","019ee3ff-0f1e-7040-b359-7ca27bd7008e","第一步只读，不要训练。","这说明用户对 Codex 的预期是证据优先和阶段化推进。","high","已证实"
"E03","user_expectation","x86 结果只能做同机相对比较，不能和 M1 绝对值横比。","Codex session","019ee3ff-0f1e-7040-b359-7ca27bd7008e","只许同机相对百分比；绝不横比 M1 绝对目标值。","用户担心实验口径漂移，要求比较边界稳定。","high","已证实"
"E04","user_expectation","不能乱改核心语义；失败要 HALT，不要包装。","Codex session","019ee3ff-0f1e-7040-b359-7ca27bd7008e","不改 cost.py/check.py/search/evaluation.py；失败就 HALT，不要填数字。","用户重视可复现和诚实结论，不能为了结果改规则。","high","已证实"
"E05","user_expectation","长跑稳定时要低频心跳，失败时再升频。","Memory / Codex session","019ee3ff-0f1e-7040-b359-7ca27bd7008e","短任务按强度控频，长跑任务启动后只做低频心跳；失败升频，稳定降频。","用户不希望被碎片状态干扰，需要可读的进度信号。","high","已证实"
"E06","user_expectation","大训练、多 seed、长实验必须显式授权。","Memory / Codex session","019ee3ff-0f1e-7040-b359-7ca27bd7008e","Do not launch big experiments, long training, or multi-seed runs unless the user explicitly authorizes that scope.","这是对无人监督实验风险的硬边界。","high","已证实"
"E07","user_expectation","迁移 D 盘时不训练、不删 H 盘原始内容。","Codex session","019ee3ff-0f1e-7040-b359-7ca27bd7008e","不训练；不删除原 H:\ReSETP。","用户把迁移和实验分开，避免仓库状态和数据安全混乱。","high","已证实"
"E08","user_expectation","用户明确要求说人话，用 Fable5 的方式解释。","Codex session","019ef7ff-302f-7270-a840-139291c973a3","用fable5的人话方式。","用户需要能验收的解释，不是机器日志。","high","已证实"
"E09","user_expectation","用户不接受把训练完成等同目标成功。","Codex session","019ef7ff-302f-7270-a840-139291c973a3","那岂不是没成功训练？","用户在追问目标达成，而不是任务是否运行结束。","high","已证实"
"E10","user_expectation","反馈报告必须从用户视角写，而不是技术流水账。","Codex session","019ef7ff-302f-7270-a840-139291c973a3","以我的视角，关注我发的指令和情绪。","复盘要解释交互影响，不能只列 pilot 编号。","high","已证实"
"E11","user_expectation","遇到疑惑和失败归因必须先查 Zotero、互联网和已有证据。","Codex session","019ee624-6db2-75f1-9e56-54fe8960d586","一定优先去zotero文献和互联网上找，不要自己判断。","用户认为 Codex 的直觉不可靠，要求证据源前置。","high","已证实"
"E12","user_expectation","探测太频繁、信息太碎会干扰判断。","Codex session","019ee624-6db2-75f1-9e56-54fe8960d586","探测太频繁、信息太碎，干扰我判断进度。","这是交互成本问题，不是单纯工程问题。","high","已证实"
