check,passed,detail,search_evaluations
five_piece_present,True,baselines/algorithm_prototypes/hgs_safe_record_lns_20260719/public_bks_seed1_gate,0
artifact_hash_manifest,True,all recorded evidence hashes,0
row_scope,True,rows=12,0
solution_scope,True,solutions=12,0
R207::pyvrp_0_12_2_hgs.coverage_capacity_time,True,"{""capacity"": true, ""coverage"": true, ""route_limit"": true, ""time_windows"": true}",0
R207::pyvrp_0_12_2_hgs.route_count,True,recorded=2; recomputed=2,0
R207::pyvrp_0_12_2_hgs.distance,True,recorded=911.74027619237; recomputed=911.74027619237,0
R207::pyvrp_0_12_2_hgs.solution_sha,True,5f41ab13826a83034fc2772813b74d47322896e796d1b1eda44a925c74b85cdb,0
R207::hgs_safe_record_lns_04.coverage_capacity_time,True,"{""capacity"": true, ""coverage"": true, ""route_limit"": true, ""time_windows"": true}",0
R207::hgs_safe_record_lns_04.route_count,True,recorded=2; recomputed=2,0
R207::hgs_safe_record_lns_04.distance,True,recorded=909.5041726857114; recomputed=909.5041726857114,0
R207::hgs_safe_record_lns_04.solution_sha,True,ed2d9e514abd80bf8d7f8cb868f19e1effc7743f5b39d34079fe518c512ddf1d,0
RC204::hgs_safe_record_lns_04.coverage_capacity_time,True,"{""capacity"": true, ""coverage"": true, ""route_limit"": true, ""time_windows"": true}",0
RC204::hgs_safe_record_lns_04.route_count,True,recorded=3; recomputed=3,0
RC204::hgs_safe_record_lns_04.distance,True,recorded=845.2525046176944; recomputed=845.2525046176944,0
RC204::hgs_safe_record_lns_04.solution_sha,True,1393858c20a9362f6a925702f00cf82bd556fd327742552a10ad14529c47079f,0
C105::hgs_safe_record_lns_04.coverage_capacity_time,True,"{""capacity"": true, ""coverage"": true, ""route_limit"": true, ""time_windows"": true}",0
C105::hgs_safe_record_lns_04.route_count,True,recorded=10; recomputed=10,0
C105::hgs_safe_record_lns_04.distance,True,recorded=828.9368669428343; recomputed=828.9368669428343,0
C105::hgs_safe_record_lns_04.solution_sha,True,fe45598ea528b01608ed289b4a219ccb9fb9e45c7eb4ea85539a46edd4d7367d,0
RC204::pyvrp_0_12_2_hgs.coverage_capacity_time,True,"{""capacity"": true, ""coverage"": true, ""route_limit"": true, ""time_windows"": true}",0
RC204::pyvrp_0_12_2_hgs.route_count,True,recorded=3; recomputed=3,0
RC204::pyvrp_0_12_2_hgs.distance,True,recorded=845.2525046176944; recomputed=845.2525046176944,0
RC204::pyvrp_0_12_2_hgs.solution_sha,True,1393858c20a9362f6a925702f00cf82bd556fd327742552a10ad14529c47079f,0
