alternate_direct_cv_feasible,best_alternate_direct_cv_roundtrip_km,best_alternate_minus_owner_roundtrip_km,customer_id,demand_kg,direct_cv_reachable_depot_count,direct_cv_reachable_depots_json,direct_cv_roundtrip_km_by_depot_json,due_second,instance_id,owner_depot_id,owner_direct_cv_feasible,owner_direct_cv_roundtrip_km,ready_second,region
True,672.164834903729,624.812042199857,C001,347.0,2,"[""D_chengdu"", ""D_chongqing""]","{""D_chengdu"": 47.352792703872, ""D_chongqing"": 672.164834903729}",58909.426139999996,cn-cy-100c-01-V2-LOCATIONS,D_chengdu,True,47.352792703872,55562.401620000004,cy
True,662.808389378427,621.0691872506741,C002,347.0,2,"[""D_chengdu"", ""D_chongqing""]","{""D_chengdu"": 41.739202127753, ""D_chongqing"": 662.808389378427}",52149.7341,cn-cy-100c-01-V2-LOCATIONS,D_chengdu,True,41.739202127753,48757.15464,cy
True,662.6398027778091,616.7254163684281,C003,417.0,2,"[""D_chengdu"", ""D_chongqing""]","{""D_chengdu"": 45.914386409380995, ""D_chongqing"": 662.6398027778091}",46017.863999999994,cn-cy-100c-01-V2-LOCATIONS,D_chengdu,True,45.914386409380995,43872.591179999996,cy
True,672.164834889458,623.948424808457,C004,347.0,2,"[""D_chengdu"", ""D_chongqing""]","{""D_chengdu"": 48.216410081001, ""D_chongqing"": 672.164834889458}",49760.514839999996,cn-cy-100c-01-V2-LOCATIONS,D_chengdu,True,48.216410081001,47791.47732,cy
True,653.672974504077,605.9581794161641,C005,208.0,2,"[""D_chengdu"", ""D_chongqing""]","{""D_chengdu"": 47.714795087913004, ""D_chongqing"": 653.672974504077}",50442.6234,cn-cy-100c-01-V2-LOCATIONS,D_chengdu,True,47.714795087913004,47601.38508,cy
True,671.4773779150651,610.986495107032,C006,417.0,2,"[""D_chengdu"", ""D_chongqing""]","{""D_chengdu"": 60.490882808033, ""D_chongqing"": 671.4773779150651}",47148.470760000004,cn-cy-100c-01-V2-LOCATIONS,D_chengdu,True,60.490882808033,44088.02544,cy
True,670.855319229075,618.650696736445,C007,208.0,2,"[""D_chengdu"", ""D_chongqing""]","{""D_chengdu"": 52.20462249263, ""D_chongqing"": 670.855319229075}",63115.78686,cn-cy-100c-01-V2-LOCATIONS,D_chengdu,True,52.20462249263,60779.951759999996,cy
True,666.389106933249,616.8916785608279,C008,347.0,2,"[""D_chengdu"", ""D_chongqing""]","{""D_chengdu"": 49.497428372421, ""D_chongqing"": 666.389106933249}",52684.743780000004,cn-cy-100c-01-V2-LOCATIONS,D_chengdu,True,49.497428372421,49377.24126,cy
True,653.0237962867799,600.0050544733169,C009,347.0,2,"[""D_chengdu"", ""D_chongqing""]","{""D_chengdu"": 53.018741813463, ""D_chongqing"": 653.0237962867799}",51015.29016,cn-cy-100c-01-V2-LOCATIONS,D_chengdu,True,53.018741813463,48481.56102,cy
True,652.5306875612471,602.6070645167681,C010,417.0,2,"[""D_chengdu"", ""D_chongqing""]","{""D_chengdu"": 49.923623044479, ""D_chongqing"": 652.5306875612471}",53791.341,cn-cy-100c-01-V2-LOCATIONS,D_chengdu,True,49.923623044479,50414.991180000005,cy
