evidence_id,cycle,source_type,title,authors_year,url,doi,repository_commit,license,license_verified,core_evidence,complexity_evidence,portability_evidence,local_sha256,accessed_at,confidence,notes
FC-S01,Cycle1+Cycle2,original_paper,"The Electric Fleet Size and Mix Vehicle Routing Problem with Time Windows and Recharging Stations","Hiermann et al. (2016)",https://doi.org/10.1016/j.ejor.2016.01.038,10.1016/j.ejor.2016.01.038,,publisher_copyright,NOT_OPEN_SOURCE,"ALNS with Resize and RelocateAndResize; insertion can change vehicle type; fixed-order labeling repositions charging stations","Same-type bounded-sequence moves can be evaluated in O(1); changing vehicle type requires linear recomputation of affected sequence","Method can be reimplemented from the paper but no author code repository was found in either research cycle",7d787fbbcdb5a73f7ccad7f84b133bf86c2da56bb38bda51c98cb817131279ac,2026-07-18,HIGH,"The paper assumes full linear recharge and at most one charging station between adjacent non-CS nodes; it is not sufficient for ReSETP nonlinear partial charging by itself."
FC-S02,Cycle1+Cycle2,original_paper,"Improved formulations and algorithmic components for the electric vehicle routing problem with nonlinear charging functions","Froger et al. (2019)",https://doi.org/10.1016/j.cor.2018.12.013,10.1016/j.cor.2018.12.013,,author_manuscript,RESEARCH_COPY_ONLY,"Exact label-setting algorithm solves fixed-route charging with piecewise-linear concave charging functions; allows multiple charging-station visits between non-CS nodes","FRVCP is NP-hard and label count is exponential in the worst case; dominance and preprocessing gave about 1 ms average on 29443 literature routes","Strong algorithmic fit as an affected-route oracle; model and objective adapters are required",06f7c149389c0a529347025a606c51a0da09b511deecbc82554c2898a7812038,2026-07-18,HIGH,"The article reports that revising charging decisions alone improved 23 of 120 prior best-known E-VRP-NL solutions."
FC-S03,Cycle1+Cycle2,software_paper,"frvcpy: An Open-Source Solver for the Fixed Route Vehicle Charging Problem","Kullman et al. (2021)",https://doi.org/10.1287/ijoc.2020.1035,10.1287/ijoc.2020.1035,,Apache-2.0,YES,"Open Python implementation of the Froger label-setting algorithm; supports nonlinear piecewise-linear charging functions, heterogeneous charging technologies and multiple CS visits","Paper reports 5.6 ms average in its software test; exact method retains exponential worst-case behavior","Python API is directly probeable; ReSETP units, time windows, costs, station capacity and nonlinear curve contract require an explicit adapter",7c6fcf6cc0c3f4782af7954b5f8242b59d4af1614d86dd1fb58032cc6064b1f2,2026-07-18,HIGH,"Software functionality was independently reproduced in Python 3.13; no ReSETP solver file was imported or changed."
FC-S04,Cycle2,official_repository,"e-VRO/frvcpy release repository","e-VRO contributors (2020-2021)",https://github.com/e-VRO/frvcpy,,508333090a29b98125824c7f2fb914d14f2a20ec,Apache-2.0,YES,"Version 0.1.1 source contains label and SOC-function implementation and depends only on xmltodict","Repository does not state a polynomial bound; implementation follows the exact label-setting method","Installs and runs on the project's Python 3.13 host inside an isolated temporary virtual environment",c71d239df91726fc519c6eb72d318ec65820627232b2f796219e87dcf35d0ab4,2026-07-18,HIGH,"Repository last visible commit is 2021-06-01; maintenance staleness is a migration risk."
FC-S05,Cycle2,reproducibility_repository,"INFORMS Journal on Computing software snapshot 2020.1035","INFORMS Journal on Computing (2020)",https://github.com/INFORMSJoc/2020.1035,,d50ad0dfedce3e8b8d5f741be6473a27012ece02,Apache-2.0,YES,"Publication snapshot contains paper-linked source, instances, scripts and results","Used to verify the software-paper lineage rather than performance","Useful as immutable reference snapshot; current package repository is FC-S04",,2026-07-18,HIGH,"The snapshot and e-VRO release agree on Apache-2.0 licensing."
FC-S06,Cycle1+Cycle2,official_repository,"PyVRP","PyVRP contributors (2020-2026)",https://github.com/PyVRP/PyVRP,,58592ec7ea822e8678e9e978fc522a5855547c7a,MIT,YES,"Supports heterogeneous vehicle types with capacities, fixed and variable costs, time limits, profiles and multi-depot routing; local search includes exchange, relocate and tail-swap families","Granular local search evaluates bounded sequence changes using cached route segments; whole search remains heuristic","C++ core with Python API; high engineering quality, but SOC and charging are not native and direct code embedding would create a large integration surface",d9484b4905b1479240a99cdbe96b4f34d9a2c17347000d961819f8b177f3365b,2026-07-18,HIGH,"Version 0.13.4 was probed in an isolated Python 3.13 environment; candidate is an engineering reference or external baseline, not a drop-in charging solver."
FC-S07,Cycle2,software_paper,"PyVRP: a high-performance VRP solver package","Wouda et al. (2024)",https://doi.org/10.1287/ijoc.2023.0055,10.1287/ijoc.2023.0055,,MIT,YES,"Documents the solver architecture and high-performance local-search components","Performance evidence is for supported VRP variants, not for SOC-constrained EV routing","Supports using PyVRP as a source for tested route-neighborhood and cache design",,2026-07-18,HIGH,"No claim is made that PyVRP already solves ReSETP."
FC-S08,Cycle1+Cycle2,original_paper,"The Heterogeneous-Fleet Electric Vehicle Routing Problem with Nonlinear Charging Functions","Wang et al. (2025)",https://doi.org/10.1016/j.trc.2024.104932,10.1016/j.trc.2024.104932,,publisher_copyright,NOT_OPEN_SOURCE,"Evaluates each customer route under every EV type; uses nonlinear route evaluation, ReplacePath charging-path neighborhood, bounded route pool and set-partitioning assembly","FRVCP is identified as NP-hard; the paper's heuristic route evaluator avoids exact FRVCP at every move, while set partitioning grows exponentially with pool size","Highest conceptual match, but no official source repository was found; reimplementation and independent verification would be required",,2026-07-18,HIGH,"The paper reports 32 new BKS on E-VRP-NL and 33 on E-FSMFTW-PR; those are literature results, not reproduced ReSETP results."
FC-S09,Cycle2,author_working_paper,"The heterogeneous-fleet electric vehicle routing problem with nonlinear charging functions","Wang et al. (2024)",https://www.gerad.ca/fr/papers/G-2024-01.pdf,,G-2024-01,research_copy_only,NO_CODE_LICENSE,"Public working paper exposes route-evaluation algorithms, six VND neighborhoods, ReplacePath and route-pool filtering details","States exponential FRVCP and SP growth; gives explicit route-pool cap and heuristic-evaluation rationale","Sufficient to design a clean-room method probe, not to copy source code",,2026-07-18,HIGH,"GERAD permits private research download but not redistribution of the PDF; only URL and findings are recorded here."
FC-S10,Cycle1+Cycle2,author_preprint,"The Electric Vehicle Routing Problem with Nonlinear Charging Functions","Liang et al. (2021)",https://arxiv.org/abs/2108.01273,,arXiv:2108.01273,author_preprint,NO_CODE_LICENSE,"Set-partitioning branch-price-and-cut and tabu-search heuristic simultaneously evaluate routing and piecewise-linear nonlinear charging","Exact method solves reported instances up to 40 customers; tabu search improved larger benchmark results","Useful as an independent validation source for nonlinear resource recursions; no official implementation was identified",,2026-07-18,MEDIUM,"Only the 2021 arXiv preprint metadata was verified; no journal publication is claimed."
FC-S11,Cycle2,repository_audit,"Current ReSETP fleet and charging mechanisms","ReSETP repository (2026)",solver/src/setp_solver/algorithms/resetp_alns/kernel/winner.py,,,project_internal,NOT_APPLICABLE,"Existing protected kernel registers vehicle_type_swap, charging_station_reset_destroy, low_carbon_charging_repair and a diagnostic fleet_charge_corepair","G0 audit has not closed all complete-solution score sites; performance comparison is not authorized","Any future candidate must be isolated until E7 ends and G0 passes",,2026-07-18,HIGH,"Read-only audit only; protected files were not modified."
FC-S12,Cycle2,function_probe,"frvcpy 0.1.1 publication example probe","Independent local probe (2026)",https://github.com/e-VRO/frvcpy,,508333090a29b98125824c7f2fb914d14f2a20ec,Apache-2.0,YES,"Returned duration 7.338904 and inserted CS 48 into route 0-40-12-33-38-16-0","One functionality probe; no performance comparison","PASS on Python 3.13.9 in /private/tmp isolated virtual environment",,2026-07-18,HIGH,"PROBE_COMPLETED; search_evaluations=0; no formal instance or solver used."
