instance_id,source_family,customer_id,historical_owner_depot
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C001,D_guangzhou
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C002,D_foshan
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C003,D_shenzhen
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C004,D_foshan
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C005,D_shenzhen
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C006,D_guangzhou
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C007,D_foshan
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C008,D_shenzhen
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C009,D_shenzhen
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C010,D_guangzhou
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C011,D_shenzhen
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C012,D_guangzhou
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C013,D_guangzhou
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C014,D_dongguan
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C015,D_guangzhou
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C016,D_shenzhen
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C017,D_foshan
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C018,D_dongguan
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C019,D_dongguan
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C020,D_dongguan
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C021,D_guangzhou
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C022,D_dongguan
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C023,D_guangzhou
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C024,D_guangzhou
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C025,D_shenzhen
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C026,D_guangzhou
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C027,D_foshan
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C028,D_shenzhen
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C029,D_guangzhou
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C030,D_guangzhou
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C031,D_dongguan
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C032,D_guangzhou
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C033,D_dongguan
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C034,D_foshan
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C035,D_guangzhou
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C036,D_shenzhen
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C037,D_shenzhen
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C038,D_guangzhou
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C039,D_guangzhou
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C040,D_guangzhou
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C041,D_dongguan
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C042,D_dongguan
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C043,D_dongguan
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C044,D_dongguan
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C045,D_foshan
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C046,D_dongguan
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C047,D_shenzhen
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C048,D_dongguan
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C049,D_shenzhen
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C050,D_dongguan
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C051,D_guangzhou
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C052,D_shenzhen
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C053,D_guangzhou
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C054,D_guangzhou
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C055,D_foshan
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C056,D_dongguan
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C057,D_foshan
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C058,D_shenzhen
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C059,D_guangzhou
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C060,D_guangzhou
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C061,D_dongguan
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C062,D_foshan
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C063,D_dongguan
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C064,D_dongguan
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C065,D_dongguan
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C066,D_foshan
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C067,D_shenzhen
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C068,D_dongguan
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C069,D_guangzhou
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C070,D_shenzhen
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C071,D_guangzhou
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C072,D_shenzhen
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,C073,D_guangzhou
