source_id,cycle,source_type,title,authors,year,publication_or_owner,doi_or_version,url,repository,license,commit_or_snapshot,verification_status,relevance,limitation,accessed_at
S01,1|2,original_paper,The electric vehicle routing problem with nonlinear charging function,Montoya|Guéret|Mendoza|Villegas,2017,Transportation Research Part B,10.1016/j.trb.2017.02.004,https://doi.org/10.1016/j.trb.2017.02.004,,paper access terms only,,VERIFIED_PRIMARY_PAPER,fixed-route charging optimization and nonlinear feasibility,no author source-code repository with reusable license found,2026-07-18
S02,1|2,author_manuscript,Improved formulations and algorithmic components for the electric vehicle routing problem with nonlinear charging functions,Froger|Mendoza|Jabali|Laporte,2019,Computers and Operations Research,10.1016/j.cor.2018.12.013,https://www.math.u-bordeaux.fr/~afroger001/documents/Improved_formulations_and_algorithmic_components_for_the_electric_vehicle_routing_problem_with_non_linear_charging_functions.pdf,,CC-BY-NC-ND-4.0 manuscript,,VERIFIED_AUTHOR_PDF,arc/path formulations and route-level labeling for nonlinear charging,manuscript license does not license implementation and no author code found,2026-07-18
S03,1|2,original_preprint,The Electric Vehicle Routing Problem with Nonlinear Charging Functions,Liang|Dabia|Luo,2021,arXiv,10.48550/arXiv.2108.01273,https://arxiv.org/abs/2108.01273,,arXiv distribution terms,v1,VERIFIED_PRIMARY_PREPRINT,recursive charging functions exact labeling and fixed-route charging optimization,no official reusable source code found,2026-07-18
S04,1|2,original_paper,Electric vehicle routing with charging/discharging under time-variant electricity prices,Lin|Ghaddar|Nathwani,2021,Transportation Research Part C,10.1016/j.trc.2021.103285,https://doi.org/10.1016/j.trc.2021.103285,,paper access terms only,,VERIFIED_PRIMARY_PAPER,hybrid VNS/TS with route and time-variant charging schedule,V2G and Canada price semantics are outside current model and no official code found,2026-07-18
S05,1|2,author_pdf,The Time-dependent Electric Vehicle Routing Problem: Model and Solution,Lu|Chen|Hao|He,2020,Expert Systems with Applications,10.1016/j.eswa.2020.113593,https://leria-info.univ-angers.fr/~jinkao.hao/papers/LuetalESWA2020.pdf,,paper access terms only,,VERIFIED_AUTHOR_PDF,O(1) concatenation evaluation IVNS and departure-time/speed optimization,targets congestion and speed rather than carbon charging and no official code found,2026-07-18
S06,1|2,original_paper,Carbon-Aware EV Charging,Cheng|Bian|Shi|Chen,2022,IEEE SmartGridComm,10.1109/SMARTGRIDCOMM52983.2022.9960988,https://arxiv.org/abs/2209.12373,,CC-BY-4.0 arXiv version,v1,VERIFIED_PRIMARY_PAPER,rolling carbon-aware schedule with transformer and EV availability constraints,linear SOC and US five-minute data do not directly transfer,2026-07-18
S07,2,author_repository,Carbon Aware EV Charging,Kai-Wen Cheng,2022,GitHub,commit 8f990a295039a073bf5aba4df2fdca8b697de0cd,https://github.com/kaicheng0824/carbon_aware_ev_charging,kaicheng0824/carbon_aware_ev_charging,NO_LICENSE,8f990a295039a073bf5aba4df2fdca8b697de0cd,VERIFIED_AUTHOR_IMPLEMENTATION_UNLICENSED,contains carbon-aware TOU EDF and equal-share scripts,code copying or modification is not authorized by a repository license,2026-07-18
S08,1|2,software_paper,cspy: A Python package with a collection of algorithms for the resource constrained shortest path problem,David Torres Sanchez,2020,Journal of Open Source Software,10.21105/joss.01655,https://doi.org/10.21105/joss.01655,torressa/cspy,MIT,,VERIFIED_SOFTWARE_PAPER,bidirectional exact and heuristic RCSP algorithms,generic RCSP library not an EV charging method,2026-07-18
S09,2,official_repository,cspy,David Torres Sanchez,2024,GitHub,commit dd83e885b6a5c99f993c9f88c35599a6919dcc66,https://github.com/torressa/cspy,torressa/cspy,MIT,dd83e885b6a5c99f993c9f88c35599a6919dcc66,VERIFIED_REPOSITORY_AND_LICENSE,Python/C++ RCSP and custom resource extension,main branch last pushed 2024-06-10 and EV nonlinear resource must be implemented,2026-07-18
S10,1|2,original_paper,PathWyse: a flexible open-source library for the resource constrained shortest path problem,Basso|Giuffrida|Salani,2024,Optimization Methods and Software,10.1080/10556788.2023.2296978,https://doi.org/10.1080/10556788.2023.2296978,pathwyse/pathwyse,GPL-3.0-or-later,,VERIFIED_PRIMARY_PAPER,high-performance extensible labeling and custom nonlinear resources,generic RCSP benchmark does not establish ReSETP performance,2026-07-18
S11,2,official_repository,PathWyse,PathWyse SUPSI,2026,GitHub,commit e3bf8477de8ff7a9a777a8c980b81330f5d1ec6f,https://github.com/pathwyse/pathwyse,pathwyse/pathwyse,GPL-3.0-or-later,e3bf8477de8ff7a9a777a8c980b81330f5d1ec6f,VERIFIED_REPOSITORY_AND_LICENSE,bidirectional DP DSSR NG-path joins and custom nonlinear Resource class,GPL obligations require separate approval before linking modification or distribution,2026-07-18
S12,1|2,original_paper,Real-Time Smart Charging Based on Precomputed Schedules,Frendo|Gaertner|Stuckenschmidt,2019,IEEE Transactions on Smart Grid,10.1109/TSG.2019.2914274,https://doi.org/10.1109/TSG.2019.2914274,SAP-archive/emobility-smart-charging,Apache-2.0,,VERIFIED_PRIMARY_PAPER,fleet charging under real-time arrivals and infrastructure limits,does not solve routing nonlinear charging or carbon objective,2026-07-18
S13,2,official_repository,emobility-smart-charging,SAP,2026,GitHub archive,commit feab7c3fba4689e9b166c2bb45635e8614046262,https://github.com/SAP-archive/emobility-smart-charging,SAP-archive/emobility-smart-charging,Apache-2.0,feab7c3fba4689e9b166c2bb45635e8614046262,VERIFIED_REPOSITORY_LICENSE_ARCHIVED,15-minute multi-car plans TOU objective and hierarchical fuse constraints,archived 2026-07-16 and Java service is unsuitable as an unexamined core dependency,2026-07-18
S14,1|2,official_repository,Carbon Aware SDK,Green Software Foundation,2026,GitHub,commit 7a1cec9cec067daa6311e02ddb8674d4dbdd0ecb,https://github.com/Green-Software-Foundation/carbon-aware-sdk,Green-Software-Foundation/carbon-aware-sdk,MIT,7a1cec9cec067daa6311e02ddb8674d4dbdd0ecb,VERIFIED_REPOSITORY_AND_LICENSE,carbon data API and time-window selection interface,not a vehicle-routing or charging-optimization algorithm and excluded from ALNS candidate ranking,2026-07-18
