instance,class,customers,max_vehicles,capacity,bks_vehicles,bks_distance,bks_reference_code,source_solution_sha256,bundle_instance_sha256,bundle_matrix_sha256,bundle_carbon_sha256,generic_loader_match,search_evaluations
C101,C1,100,25,200,10,828.94,RT,7a000b23902b2ad8851d8a1752d007047c3f8ff6a27f60c6d1a3167f58433f48,c90a3e6ecff7d547854a6be345e6d409cf5310995aaaedc3e9f018bea8eea925,b4aeadc2cbc4359f054d7fd3cf24993368b8619db3457476c6ba5340beea77c6,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
C102,C1,100,25,200,10,828.94,RT,136b506e9c9d529819008d94287ed8ec2825828e15cc65cb4899d18bbc0d2730,9c62bb9437c823fc01d9a266bc33e16e425f2f527938ced9d89db7f39d6ad792,b4aeadc2cbc4359f054d7fd3cf24993368b8619db3457476c6ba5340beea77c6,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
C103,C1,100,25,200,10,828.06,RT,6cf0131e29be67049c4ce0c67e2fd28d18ef63c39da0bb564f0fc395805e980e,ff625a65fd6994a305bf63fc3bc3f0077adb7d8a6bad0813db437e01cd4f6377,b4aeadc2cbc4359f054d7fd3cf24993368b8619db3457476c6ba5340beea77c6,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
C104,C1,100,25,200,10,824.78,RT,b2b1c802a892a91bc81fbee93661fd01ceb73ef6f25c8d1177628e48f3a3167f,865a5644fa565682d18c680b1c05abb70dacbbb56daf591ed7565914a4be08ab,b4aeadc2cbc4359f054d7fd3cf24993368b8619db3457476c6ba5340beea77c6,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
C105,C1,100,25,200,10,828.94,RT,d960d735ac1b98b88ed04bc240f88b5c3d5d40f93afeb757012f69f23afac1b7,80591d5b3b7886ddace90eb41dd931f05f9e26a7d15c3a39c9086ea3b99f5709,b4aeadc2cbc4359f054d7fd3cf24993368b8619db3457476c6ba5340beea77c6,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
C106,C1,100,25,200,10,828.94,RT,edeb13ac077ab24d8e0b8787112c57e997e60482d0289bc8cfbf0cf6a82a73be,9f171895a89226060f39179171172172e662b5a07d25693e90f5e45706393a3f,b4aeadc2cbc4359f054d7fd3cf24993368b8619db3457476c6ba5340beea77c6,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
C107,C1,100,25,200,10,828.94,RT,7c23b612a4bdb7a2566a253c92149b7aa81a05198b9c3b2ba3fcc3beab833e48,0f3d85060ba91446ba4046536c0af0de0d36e23bfef92ffe58746022e35830f2,b4aeadc2cbc4359f054d7fd3cf24993368b8619db3457476c6ba5340beea77c6,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
C108,C1,100,25,200,10,828.94,RT,cbe465852879225df578c16b3a1145ed581e70aa27a4a4d030416b05e8a0f355,a72949620d7fb80d97c60c0481839c1c907090903d30982b11fd9357d65e1d94,b4aeadc2cbc4359f054d7fd3cf24993368b8619db3457476c6ba5340beea77c6,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
C109,C1,100,25,200,10,828.94,RT,a2a6d1bdd750f1c6da65531fdf072c6cd19ec4a10b071de018ea00e7912593a6,bf7ff6de39bb9ae38f604caac1b8b82b41c61adf533275a98670959b581cd0e9,b4aeadc2cbc4359f054d7fd3cf24993368b8619db3457476c6ba5340beea77c6,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
C201,C2,100,25,700,3,591.56,RT,a3a6a9b96dfd1bf8f6db553ca51c098d685361ac6934009c28725954a15afcb4,651f6df293bdee59f268cd1e5b9a0e285e6ba23a65cf57ccd5cb510ba7f02338,c3cd100379dfbbb5b08bc5319a84bd892493ca3017409036bda5b58b78cdbff9,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
C202,C2,100,25,700,3,591.56,RT,6cfb9d58f1d9f63735ce99e8935a776e4edf054673adff55a23b9d3205cd464b,e6d4393248eca56adcb3eb0717c6e38ccd274b85fa0b3c6ada638dfc8846b8d2,c3cd100379dfbbb5b08bc5319a84bd892493ca3017409036bda5b58b78cdbff9,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
C203,C2,100,25,700,3,591.17,RT,2b9864185b7254a2879ae9b4b5040586cd263c41e7d59b0c7192e3862e07e144,9ab9e6a8b003f4d010eea531fc5ff72f184c2fec903608510e6b283089cf69a5,c3cd100379dfbbb5b08bc5319a84bd892493ca3017409036bda5b58b78cdbff9,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
C204,C2,100,25,700,3,590.6,RT,0a2947cc68da4abcf0ef13b16876ece5aaba2046d1856d842a227ced817607b6,c3783ea4103381588f288341e0a8286c9b2e82b97c578744bcbd4a82f6e03893,c3cd100379dfbbb5b08bc5319a84bd892493ca3017409036bda5b58b78cdbff9,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
C205,C2,100,25,700,3,588.88,RT,181cdcc9711959f4350060c965a1cc6f29d98d50f55d6cb3d0a6153e12919526,c1e2f46c3f4cd6e181fe0f997e279e2f797efdf54f6809b62d9130ff44112bef,c3cd100379dfbbb5b08bc5319a84bd892493ca3017409036bda5b58b78cdbff9,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
C206,C2,100,25,700,3,588.49,RT,73e9cce4b62195d81322819360fe5ffc8e72061c9f3464a43e290cfb06a9432c,de7bcda8c55606d300c1be18cca810b44678126bf49e973a36d306808af11f90,c3cd100379dfbbb5b08bc5319a84bd892493ca3017409036bda5b58b78cdbff9,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
C207,C2,100,25,700,3,588.29,RT,7b5625c9b1b0f689246c1874a179ab44a8df951ed6dbfcef8b06384b053b1d2c,a49d3482f28fd880566dc733ef4ba3e4ecf106671e88b0e3b9e3558a1698dff7,c3cd100379dfbbb5b08bc5319a84bd892493ca3017409036bda5b58b78cdbff9,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
C208,C2,100,25,700,3,588.32,RT,9be9884e01c98cc481fdcd72292e49f16b5915338028e967ef0c18edbf6776d0,c4482166881d788b28453a723f974ec1a10fe8e257751a6819298333b3ac9ad2,c3cd100379dfbbb5b08bc5319a84bd892493ca3017409036bda5b58b78cdbff9,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
R101,R1,100,25,200,19,1650.8,H,850da45f9e24da65ccc95c4b3f8cc060f707e5c236d8f28f25fb230d18750f83,3fd22b523e00f6ceb026bf4e3c8d02f6c269703c98dae901c28093cf6d8c7171,2e9d188e74eb10bb96d177b146e5afaa95ad95c8f0aa5f812bbc499c347a3d2f,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
R102,R1,100,25,200,17,1486.12,RT,f5b59bc50e5eefe68880b50d41c1d517fd70c4dc6f784dc4ec8c6ac353bb0954,dec9a64a0616d6276a0cb3b5adccb67b96321ff9bc3cb012aee20133635ffeac,2e9d188e74eb10bb96d177b146e5afaa95ad95c8f0aa5f812bbc499c347a3d2f,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
R103,R1,100,25,200,13,1292.68,LLH,093bdddcbcc685f23bef3e06142b66ce95c38263258402b9640267fb0cc767f9,2cc2fc1e0d5f898dfafc786e7762a56553b28f9e45896c72c7926aaa40240f53,2e9d188e74eb10bb96d177b146e5afaa95ad95c8f0aa5f812bbc499c347a3d2f,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
R104,R1,100,25,200,9,1007.31,MBD,13e0bcbb1147e1fbb831ed7c5cf3683475545cde40759e9e4f3e6876a18ef812,9dcff97387c4d6dc1de1aa033900f55632887df04408aa741c7b080e5986966c,2e9d188e74eb10bb96d177b146e5afaa95ad95c8f0aa5f812bbc499c347a3d2f,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
R105,R1,100,25,200,14,1377.11,RT,01b30e3c662226ab8f4d0bc86cc47db30f269647c0250804b96f477b104a4bd8,804d5623c740ef7012c2f3931f8ea99029c8940ee07cd6090a5f12a83d7975b0,2e9d188e74eb10bb96d177b146e5afaa95ad95c8f0aa5f812bbc499c347a3d2f,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
R106,R1,100,25,200,12,1252.03,MBD,68757438f0d4680953289e5abf9da624a1c3faf83f43f146bbf71b31c56b9d10,37884860446bd9c010d59df3e7238f05c09496f132a8836a005e3a204777b039,2e9d188e74eb10bb96d177b146e5afaa95ad95c8f0aa5f812bbc499c347a3d2f,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
R107,R1,100,25,200,10,1104.66,S97,faff020a23ec7216f439faf882fab8b97687b3cdc6c25eed98d954112ab72ad3,13c65cca74142c643371a4d0d6acd4693740a2e991963bd0eafc6ab6634409b2,2e9d188e74eb10bb96d177b146e5afaa95ad95c8f0aa5f812bbc499c347a3d2f,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
R108,R1,100,25,200,9,960.88,BBB,4e0a4acab80bf5133b0d0ecc45a65d97d0f4c9b5f1c8ef3553a11857965bd48d,0b4d4d445893fb8c43f959a01493b4e2ab1355cf067b54ccbe515a286cd0627e,2e9d188e74eb10bb96d177b146e5afaa95ad95c8f0aa5f812bbc499c347a3d2f,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
R109,R1,100,25,200,11,1194.73,HG,352f95d41c5d4bfa083c5be20ef0a904464da8ed5b39e81aad70661df5558f2f,2c996d18d719799f36c23b28a8b37e548a481496bdfcfb8d64266e4f70442151,2e9d188e74eb10bb96d177b146e5afaa95ad95c8f0aa5f812bbc499c347a3d2f,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
R110,R1,100,25,200,10,1118.84,MBD,0ff2a50bab557da168df076bab46c682bcbec17bc04a2e26efe5b0f37f9f3cd3,9c19071ce90061471a26e26e337b1a374ecd171803df48e2147428290cb4ab1a,2e9d188e74eb10bb96d177b146e5afaa95ad95c8f0aa5f812bbc499c347a3d2f,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
R111,R1,100,25,200,10,1096.73,RGP,fefd99f86c6f28139653add50b7f8612617de102735f85fb810a3e36764541cb,3e73e9c85113783d6c5e69821e80fb54a10b80205ec0d11a5e8fd6e4989a4ea1,2e9d188e74eb10bb96d177b146e5afaa95ad95c8f0aa5f812bbc499c347a3d2f,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
R112,R1,100,25,200,9,982.14,GTA,08de7727a5e195b3ff10171433db6ff7eaa8c3017cfa498a15af4a54b0dd62cb,0a190eac709fbd0555e22b68250c250483b068c9ab987f2b3264f0991936dcfe,2e9d188e74eb10bb96d177b146e5afaa95ad95c8f0aa5f812bbc499c347a3d2f,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
R201,R2,100,25,1000,4,1252.37,HG,8c77279a8be3ca2d07bd76ad346bbab2836b0c57bab3dca13d32eca01f20e213,79b1555f297a47e5278495be104ada18851ab264c6ff55a39e38147760bdf3e8,2e9d188e74eb10bb96d177b146e5afaa95ad95c8f0aa5f812bbc499c347a3d2f,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
R202,R2,100,25,1000,3,1191.7,RGP,58616d39226374a08e70a8d517315971ab4173005c6f9bb20e29c3807ebc9278,2c419ffc7673f2650bf47396a914f212fe74527c3cbcc85186f290057a7627f7,2e9d188e74eb10bb96d177b146e5afaa95ad95c8f0aa5f812bbc499c347a3d2f,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
R203,R2,100,25,1000,3,939.5,WL,ca9a464ac0e5988a835d47a77d41eda9100e686bcab58e3c9108c6ca4ee9fc0a,6bd7f6b2d1627de0461b381806a6de59460e56f90dc98ad70123360c1268c50f,2e9d188e74eb10bb96d177b146e5afaa95ad95c8f0aa5f812bbc499c347a3d2f,b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd,1,0
