category,instance,size,replicate,bundle_dir,base_instance_path,bundle_instance_num_cv,bundle_instance_num_ev,instance_metadata_num_cv,instance_metadata_num_ev,manifest_metadata_num_cv,manifest_metadata_num_ev,manifest_config_num_cv,manifest_config_num_ev,text_num_cv,text_num_ev,raw_num_cv,raw_num_ev,source_consistent
vanilla,e2-vanilla-10c-01,10,1,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-10c-01,models/data_bundle/raw_instances/goeke_uk/E-UK10_01.txt,1,1,1,1,1,1,1,1,1,1,1,1,True
vanilla,e2-vanilla-10c-02,10,2,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-10c-02,models/data_bundle/raw_instances/goeke_uk/E-UK10_02.txt,1,1,1,1,1,1,1,1,1,1,1,1,True
vanilla,e2-vanilla-10c-03,10,3,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-10c-03,models/data_bundle/raw_instances/goeke_uk/E-UK10_03.txt,1,1,1,1,1,1,1,1,1,1,1,1,True
vanilla,e2-vanilla-15c-01,15,1,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-15c-01,models/data_bundle/raw_instances/goeke_uk/E-UK15_01.txt,2,0,2,0,2,0,2,0,2,0,2,0,True
vanilla,e2-vanilla-15c-02,15,2,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-15c-02,models/data_bundle/raw_instances/goeke_uk/E-UK15_02.txt,1,1,1,1,1,1,1,1,1,1,1,1,True
vanilla,e2-vanilla-15c-03,15,3,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-15c-03,models/data_bundle/raw_instances/goeke_uk/E-UK15_03.txt,2,1,2,1,2,1,2,1,2,1,2,1,True
vanilla,e2-vanilla-20c-01,20,1,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-20c-01,models/data_bundle/raw_instances/goeke_uk/E-UK20_01.txt,2,1,2,1,2,1,2,1,2,1,2,1,True
vanilla,e2-vanilla-20c-02,20,2,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-20c-02,models/data_bundle/raw_instances/goeke_uk/E-UK20_02.txt,2,1,2,1,2,1,2,1,2,1,2,1,True
vanilla,e2-vanilla-20c-03,20,3,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-20c-03,models/data_bundle/raw_instances/goeke_uk/E-UK20_03.txt,2,1,2,1,2,1,2,1,2,1,2,1,True
vanilla,e2-vanilla-25c-01,25,1,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-25c-01,models/data_bundle/raw_instances/goeke_uk/E-UK25_01.txt,2,1,2,1,2,1,2,1,2,1,2,1,True
vanilla,e2-vanilla-25c-02,25,2,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-25c-02,models/data_bundle/raw_instances/goeke_uk/E-UK25_02.txt,2,2,2,2,2,2,2,2,2,2,2,2,True
vanilla,e2-vanilla-25c-03,25,3,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-25c-03,models/data_bundle/raw_instances/goeke_uk/E-UK25_03.txt,2,1,2,1,2,1,2,1,2,1,2,1,True
vanilla,e2-vanilla-50c-01,50,1,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-50c-01,models/data_bundle/raw_instances/goeke_uk/E-UK50_01.txt,4,3,4,3,4,3,4,3,4,3,4,3,True
vanilla,e2-vanilla-50c-02,50,2,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-50c-02,models/data_bundle/raw_instances/goeke_uk/E-UK50_02.txt,4,3,4,3,4,3,4,3,4,3,4,3,True
vanilla,e2-vanilla-50c-03,50,3,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-50c-03,models/data_bundle/raw_instances/goeke_uk/E-UK50_03.txt,4,3,4,3,4,3,4,3,4,3,4,3,True
vanilla,e2-vanilla-75c-01,75,1,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-75c-01,models/data_bundle/raw_instances/goeke_uk/E-UK75_01.txt,6,5,6,5,6,5,6,5,6,5,6,5,True
vanilla,e2-vanilla-75c-02,75,2,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-75c-02,models/data_bundle/raw_instances/goeke_uk/E-UK75_02.txt,6,5,6,5,6,5,6,5,6,5,6,5,True
