event_id,event_type,t_appear,customer_id,old_demand,new_demand,x,y,delta_demand,old_ready_time,old_due_time,new_ready_time,new_due_time,time_window_action,demand_source,time_window_source,donor_instance_id,donor_customer_id,new_service_time,service_time_source,source,seed
1,demand_change,5370.982763129471,C290,600.0,570.7324455745985,42973.49,-54077.52,-29.2675544254015,35272.0,56330.0,35272.0,56330.0,none,frozen_base_customer,frozen_base_customer,,,,existing_customer,frozen_e3_base_overlay,4
2,add,7381.375365589556,N_S4_001,0.0,125.0,33165.3,-54921.07,125.0,33247.0,51985.0,33247.0,51985.0,none,frozen_sister_bundle_exact,frozen_sister_bundle_exact,L-main-threeshift-200c-01,C236,250.0,frozen_sister_bundle_exact,frozen_e3_sister_bundle_overlay,4
3,demand_change,8643.469081186435,C151,159.0,153.6543492379337,78500.72,19258.8,-5.345650762066299,34405.0,53960.0,34405.0,53960.0,none,frozen_base_customer,frozen_base_customer,,,,existing_customer,frozen_e3_base_overlay,4
4,demand_change,8871.108032875207,C228,657.0,607.5029748510007,51671.65,-18629.62,-49.49702514899934,36708.0,57737.0,36708.0,57737.0,none,frozen_base_customer,frozen_base_customer,,,,existing_customer,frozen_e3_base_overlay,4
5,cancel,10526.883137669454,C321,100.0,0.0,-46597.71,17765.88,-100.0,65935.0,85414.0,65935.0,85414.0,none,frozen_base_customer,frozen_base_customer,,,,existing_customer,frozen_e3_base_overlay,4
6,add,18389.20344720636,N_S4_002,0.0,164.0,48239.62,-46278.64,164.0,36464.0,55080.0,36464.0,55080.0,none,frozen_sister_bundle_exact,frozen_sister_bundle_exact,L-main-threeshift-200c-01,C378,328.0,frozen_sister_bundle_exact,frozen_e3_sister_bundle_overlay,4
7,demand_change,25298.51709976446,C293,253.0,233.82175651002913,-14743.3,-18838.55,-19.178243489970868,34707.0,53557.0,34707.0,53557.0,none,frozen_base_customer,frozen_base_customer,,,,existing_customer,frozen_e3_base_overlay,4
8,demand_change,26365.542637539296,C200,288.0,268.9917922356688,40489.64,-211.46,-19.00820776433119,34430.0,53911.0,34430.0,53911.0,none,frozen_base_customer,frozen_base_customer,,,,existing_customer,frozen_e3_base_overlay,4
9,demand_change,26365.67910923325,C207,101.0,114.47070704637487,27826.75,-15185.12,13.47070704637487,34925.0,53891.0,34925.0,53891.0,none,frozen_base_customer,frozen_base_customer,,,,existing_customer,frozen_e3_base_overlay,4
10,add,26553.16696427826,N_S4_003,0.0,165.0,54013.3,-30179.67,165.0,34770.0,54400.0,34770.0,54400.0,none,frozen_sister_bundle_exact,frozen_sister_bundle_exact,L-main-threeshift-200c-01,C395,330.0,frozen_sister_bundle_exact,frozen_e3_sister_bundle_overlay,4
11,cancel,27226.542275059404,C173,513.0,0.0,26467.26,720.94,-513.0,36909.0,57434.0,36909.0,57434.0,none,frozen_base_customer,frozen_base_customer,,,,existing_customer,frozen_e3_base_overlay,4
12,cancel,30206.86309438455,C175,802.0,0.0,-8642.17,-23596.92,-802.0,36792.0,57174.0,36792.0,57174.0,none,frozen_base_customer,frozen_base_customer,,,,existing_customer,frozen_e3_base_overlay,4
