family,size,replicates,depots,stations,station_per_customer,depot_per_customer,bbox_diag_km,nearest_depot_p90_km,nearest_station_p90_km,nearest_customer_p50_km,pairwise_p90_km,roundtrip_depot_empty_kwh_p90,roundtrip_depot_empty_kwh_max,manifest_num_cv,manifest_num_ev
multidepot,10,3,2.0,2.0,0.20000000000000004,0.20000000000000004,164.32475148338753,66.14426433734968,88.65434842493663,24.987369893280626,114.69795975356267,80.06865020330692,92.68625407578098,1.0,1.0
multidepot,15,3,2.0,2.0,0.13333333333333333,0.13333333333333333,207.94743929962064,82.33338668306067,77.41214315943422,16.27674413062103,139.27016339358656,99.6658320176842,106.014359869047,1.6666666666666667,0.6666666666666666
multidepot,20,3,2.0,3.0,0.15,0.10000000000000002,180.38354071894014,76.03071276815739,71.51668174391499,11.626048610391452,120.78099794186117,92.03634822050874,103.92453892657979,2.0,1.0
multidepot,25,3,2.0,3.0,0.12,0.08,154.01955436360961,53.467697795158635,51.19622175423242,8.366044773526761,90.62411453948448,64.72347126127578,90.26598360274095,2.0,1.3333333333333333
multidepot,50,3,2.0,6.0,0.12,0.04,215.0232620428178,76.04630291191658,40.967365321857116,7.807386192649823,119.33057004164952,92.0552203295235,107.38774955177212,4.0,3.0
multidepot,75,3,2.0,8.0,0.10666666666666667,0.02666666666666667,229.65849876751645,71.80928778223704,46.348965882949265,7.895712022953231,130.01209526131166,86.92624829055467,114.11366070267582,5.666666666666667,5.0
multidepot,100,3,2.0,11.0,0.11,0.02,256.2855439373223,83.04731738883532,46.73200267635591,7.28158300089347,133.73775333540536,100.53005612725362,120.16508171856599,7.0,6.333333333333333
multidepot,150,3,2.0,16.0,0.10666666666666667,0.013333333333333334,243.37279236252792,77.43916197974252,33.11668636222878,5.589697822626395,120.80694123969283,93.74129767276013,116.1758826280573,10.0,9.666666666666666
multidepot,200,3,2.0,21.0,0.105,0.01,265.26109506840555,77.05605935089365,30.64613584227452,4.842490771820226,124.2366768498694,93.27754604306746,123.11419852865744,13.333333333333334,13.0
threeshift,50,3,2.0,6.0,0.12,0.04,200.34652470535093,64.8890119768457,40.966307537414934,9.151743843485507,115.73239137582267,78.54914789759731,103.6878648988103,4.0,3.0
threeshift,75,3,2.0,8.0,0.10666666666666667,0.02666666666666667,247.0863755667474,64.12655873707071,52.07325596153269,7.167052424726073,127.39864867567123,77.62618651366596,121.05600822449476,5.666666666666667,5.0
threeshift,100,3,2.0,11.0,0.11,0.02,279.5413692788364,79.59954738364307,46.066415056285194,7.5702893937556475,129.78047295506153,96.35647746109389,142.23099954839017,7.0,6.333333333333333
threeshift,150,3,2.0,16.0,0.10666666666666667,0.013333333333333334,253.7089022053564,80.66488718215287,37.83376592052458,5.728222271798491,121.7410020730843,97.6460876870009,126.49132324748992,10.0,9.666666666666666
threeshift,200,3,2.0,21.0,0.105,0.01,275.0234253454542,74.7711332086527,29.99047140253479,4.758295977268869,122.72108451621358,90.511607773796,123.27343454488398,13.333333333333334,13.0
vanilla,10,3,1.0,2.0,0.20000000000000004,0.10000000000000002,164.32475148338753,88.95584225929457,88.65434842493663,24.987369893280626,114.69795975356267,107.68241643861023,112.38810886178845,1.0,1.0
vanilla,15,3,1.0,2.0,0.13333333333333333,0.06666666666666667,207.94743929962064,86.23873194777319,77.41214315943422,16.27674413062103,139.27016339358656,104.39331257939386,118.87685607681256,1.6666666666666667,0.6666666666666666
vanilla,20,3,1.0,3.0,0.15,0.05000000000000001,180.38354071894014,81.54486754017312,71.51668174391499,11.626048610391452,120.78099794186117,98.71131745677728,107.38595257776639,2.0,1.0
vanilla,25,3,1.0,3.0,0.12,0.04,154.01955436360961,78.35771601087556,51.19622175423242,8.366044773526761,90.62411453948448,94.85322146764157,106.70877701256377,2.0,1.3333333333333333
vanilla,50,3,1.0,6.0,0.12,0.02,215.0232620428178,91.30727133965964,40.967365321857116,7.807386192649823,119.33057004164952,110.52885753822527,119.92606158357195,4.0,3.0
vanilla,75,3,1.0,8.0,0.10666666666666667,0.013333333333333334,229.65849876751645,90.9632754196004,46.348965882949265,7.895712022953231,130.01209526131166,110.11244518153005,122.62519120059666,5.666666666666667,5.0
vanilla,100,3,1.0,11.0,0.11,0.01,256.2855439373223,90.14802270148242,46.73200267635591,7.28158300089347,133.73775333540536,109.12556921627079,122.38043821323127,7.0,6.333333333333333
vanilla,150,3,1.0,16.0,0.10666666666666667,0.006666666666666667,243.37279236252792,88.18705786485508,33.11668636222878,5.589697822626395,120.80694123969283,106.75179109449589,120.91567461477929,10.0,9.666666666666666
vanilla,200,3,1.0,21.0,0.105,0.005,265.26109506840555,90.72357707040631,30.64613584227452,4.842490771820226,124.2366768498694,109.82228663992099,124.25002814691175,13.333333333333334,13.0
