参数/符号,数值与单位,适用决策层,来源及页码/数据版本,证据类型,最终处置
"随机种子 random_seed","8（无量纲）","代表解复现","solver/reports/synergy_formal_20260819/joint/seed_8/metadata.json#/parameters/random_seed；metadata SHA-256 75a4f6aeab0bf72d5b3d2ff1fdf0f6337d8822a6cd337a4847f22543ef33ecfc","本项目运行配置（非科学参数）","保留为本展品源解身份；算法定稿前读数"
"交叉模式 crossover_mode","fast_only","交叉","metadata.json#/parameters/crossover_mode","本项目运行配置；出处待补","算法定稿前读数；论文终值待定稿包替换"
"教育深度 education_depth_limit","1 层","局部改进","metadata.json#/parameters/education_depth_limit","本项目运行配置；标定依据待补","算法定稿前读数；不得写成最终标定值"
"整车日车型交换 include_whole_duty_type_exchange","true","车型指派","metadata.json#/parameters/include_whole_duty_type_exchange","本项目运行配置；出处待补","源解实际开关；算法定稿前读数"
"目标模式 objective_mode","single_objective","系统目标","metadata.json#/parameters/objective_mode","本项目运行配置；出处待补","源解实际口径"
"停滞耐心 stagnation_patience","500 次无改善","搜索停止/重启","metadata.json#/parameters/stagnation_patience；#/effective_algorithm_configuration/copied_kernel/num_iters_no_improvement","本项目运行配置；标定依据待补","算法定稿前读数；正式收敛标定后替换"
"初始罚系数 initial_penalty_per_unit","100.0（按违规量计）","可行性罚项","metadata.json#/parameters/penalties/initial_penalty_per_unit","开源上游默认值/本项目沿用；非文献；出处页码不适用","源解实际值"
"最大罚系数 maximum_penalty","100000.0","可行性罚项","metadata.json#/parameters/penalties/maximum_penalty；third_party/setp_hgs_kernel/setp_hgs_kernel/PenaltyManager.py:89-96","开源上游默认值；非文献","源解实际值"
"最小罚系数 minimum_penalty","0.1","可行性罚项","metadata.json#/parameters/penalties/minimum_penalty；PenaltyManager.py:89-96","开源上游默认值；非文献","源解实际值"
"罚系数降低倍数 penalty_decrease","0.32","可行性罚项","metadata.json#/parameters/penalties/penalty_decrease；PenaltyManager.py:89-96","开源上游默认值；非文献","源解实际值"
"罚系数提高倍数 penalty_increase","1.34","可行性罚项","metadata.json#/parameters/penalties/penalty_increase；PenaltyManager.py:89-96","开源上游默认值；非文献","源解实际值"
"罚系数更新间隔 solutions_between_updates","50 个解","可行性罚项","metadata.json#/parameters/penalties/solutions_between_updates；PenaltyManager.py:89-96","开源上游默认值；非文献","源解实际值"
"目标可行比例 target_feasible","0.43","可行性罚项","metadata.json#/parameters/penalties/target_feasible；PenaltyManager.py:89-96","开源上游默认值；非文献","源解实际值"
"可行比例容差 feasibility_tolerance","0.05","可行性罚项","metadata.json#/parameters/penalties/feasibility_tolerance；PenaltyManager.py:89-96（feas_tolerance）","开源上游默认值；非文献","源解实际值"
"修复增强倍数 repair_booster","12","不可行解修复","metadata.json#/effective_algorithm_configuration/copied_kernel/repair_booster；PenaltyManager.py:89","开源上游默认值；非文献","源解实际值"
"修复概率 repair_probability","0.8","不可行解修复","metadata.json#/effective_algorithm_configuration/copied_kernel/repair_probability；third_party/setp_hgs_kernel/upstream_snapshots/pyvrp_v0.12.2/GeneticAlgorithm.py:53","开源上游PyVRP 0.12.2默认值；非文献","源解实际值"
"最小种群 min_pop_size","25 个个体","种群管理","metadata.json#/effective_population/min_pop_size；third_party/setp_hgs_kernel/setp_hgs_kernel/_setp_hgs_kernel.pyi:374-382","开源上游默认值；非文献","源解实际值"
"每代生成数 generation_size","40 个个体","种群管理","metadata.json#/effective_population/generation_size；_setp_hgs_kernel.pyi:374-382","开源上游默认值；非文献","源解实际值"
"最大种群 max_pop_size","65 个个体","种群管理","metadata.json#/effective_population/max_pop_size（由25+40得到）","开源上游派生值；非文献","源解实际值"
"精英个体数 num_elite","4","种群管理","metadata.json#/effective_population/num_elite；_setp_hgs_kernel.pyi:374-382","开源上游默认值；非文献","源解实际值"
"邻近个体数 num_close","5","种群多样性","metadata.json#/effective_population/num_close；_setp_hgs_kernel.pyi:374-382","开源上游默认值；非文献","源解实际值"
"多样性下界 lb_diversity","0.1","种群多样性","metadata.json#/effective_population/lb_diversity；_setp_hgs_kernel.pyi:374-382","开源上游默认值；非文献","源解实际值"
"多样性上界 ub_diversity","0.5","种群多样性","metadata.json#/effective_population/ub_diversity；_setp_hgs_kernel.pyi:374-382","开源上游默认值；非文献","源解实际值"
"锦标赛规模 tournament_size","2 个个体","父代选择","metadata.json#/effective_population/tournament_size","本项目运行配置；出处待补","源解实际值；算法定稿前读数"
"充电策略 strategy","integrated","充电决策","metadata.json#/charging_policy/strategy","本项目运行配置；出处待补","源解实际值"
"充电量策略 charge_amount_strategy","just_enough","充电量","metadata.json#/charging_policy/charge_amount_strategy","本项目运行配置；出处待补","源解实际值"
"充电时刻策略 charge_timing_policy","cost_plus_carbon","充电时刻","metadata.json#/charging_policy/charge_timing_policy","本项目运行配置；出处待补","源解实际值"
