path,artifact_kinds,artifact_count,last_modified,has_raw_runs_csv,csv_rows,has_seed_column,instance_ids,solver_path,solver_path_evidence,fingerprint_a_attempts,fingerprint_a_completed,fingerprint_b_groups,fingerprint_b_groups_with_single_value,fingerprint_b_grouping_keys,fingerprint_c_result,classification,classification_evidence
baselines,bak_workers4_20260728:2;cpp:3;csv:122;gz:3036;h:1;json:8281;jsonl:2;log:138;md:75;no_ext:10;npy:27;pdf:1;pid:11;py:729;pyc:969;sh:1;stdout:8;tag:3;tmp:2;txt:33,13454,2026-08-03T14:02:19+08:00,true,10,true,100-01-24h|DEV-DUAL-D2-BACKUP-GROUP456-SRC20-N44-DEP2|DEV-DUAL-D2-BACKUP-GROUP789-SRC75-N168-DEP2|DEV-DUAL-D2-GROUP456-SRC10-N21-DEP2|DEV-DUAL-D2-GROUP789-SRC15-N34-DEP2|DEV-INIT-D1-DONOR03-SRC25-N54-DEP2|DEV-INIT-D1-DONOR03-SRC50-N108-DEP2|DEV-fullsource-donor02-25c|DEV-fullsource-donor02-50c|DEV-seggen-donor03-25c|DEV-seggen-donor03-50c|DEV-seggen-v2-donor03-100c|DEV-seggen-v2-donor03-150c|L-main-threeshift-100c-01|L-main-threeshift-200c-01|L-main-threeshift-20c-01|L-main-threeshift-25c-01|L-main-threeshift-50c-01|PR13A|PR16A|PR18B|cn-cy-100c-01-V2-LOCATIONS|cn-cy-100c-02-V2-LOCATIONS|cn-cy-100c-03-V2-LOCATIONS|cn-cy-10c-01-V2-LOCATIONS|cn-cy-10c-02-V2-LOCATIONS|cn-cy-10c-03-V2-LOCATIONS|cn-cy-150c-01-V2-LOCATIONS|cn-cy-150c-02-V2-LOCATIONS|cn-cy-150c-03-V2-LOCATIONS|cn-cy-15c-01-V2-LOCATIONS|cn-cy-15c-02-V2-LOCATIONS|cn-cy-15c-03-V2-LOCATIONS|cn-cy-200c-01-V2-LOCATIONS|cn-cy-200c-02-V2-LOCATIONS|cn-cy-200c-03-V2-LOCATIONS|cn-cy-20c-01-V2-LOCATIONS|cn-cy-20c-02-V2-LOCATIONS|cn-cy-20c-03-V2-LOCATIONS|cn-cy-25c-01-V2-LOCATIONS|cn-cy-25c-02-V2-LOCATIONS|cn-cy-25c-03-V2-LOCATIONS|cn-cy-50c-01-V2-LOCATIONS|cn-cy-50c-02-V2-LOCATIONS|cn-cy-50c-03-V2-LOCATIONS|cn-cy-75c-01-V2-LOCATIONS|cn-cy-75c-02-V2-LOCATIONS|cn-cy-75c-03-V2-LOCATIONS|cn-jjj-100c-01-V2-LOCATIONS|cn-jjj-100c-02-V2-LOCATIONS|cn-jjj-100c-03-V2-LOCATIONS|cn-jjj-10c-01-V2-LOCATIONS|cn-jjj-10c-02-V2-LOCATIONS|cn-jjj-10c-03-V2-LOCATIONS|cn-jjj-150c-01-V2-LOCATIONS|cn-jjj-150c-02-V2-LOCATIONS|cn-jjj-150c-03-V2-LOCATIONS|cn-jjj-15c-01-V2-LOCATIONS|cn-jjj-15c-02-V2-LOCATIONS|cn-jjj-15c-03-V2-LOCATIONS|cn-jjj-200c-01-V2-LOCATIONS|cn-jjj-200c-02-V2-LOCATIONS|cn-jjj-200c-03-V2-LOCATIONS|cn-jjj-20c-01-V2-LOCATIONS|cn-jjj-20c-02-V2-LOCATIONS|cn-jjj-20c-03-V2-LOCATIONS|cn-jjj-25c-01-V2-LOCATIONS|cn-jjj-25c-02-V2-LOCATIONS|cn-jjj-25c-03-V2-LOCATIONS|cn-jjj-50c-01-V2-LOCATIONS|cn-jjj-50c-02-V2-LOCATIONS|cn-jjj-50c-03-V2-LOCATIONS|cn-jjj-75c-01-V2-LOCATIONS|cn-jjj-75c-02-V2-LOCATIONS|cn-jjj-75c-03-V2-LOCATIONS|cn-prd-100c-01-V2-LOCATIONS|cn-prd-100c-02-V2-LOCATIONS|cn-prd-100c-03-V2-LOCATIONS|cn-prd-10c-01-V2-LOCATIONS|cn-prd-10c-02-V2-LOCATIONS|cn-prd-10c-03-V2-LOCATIONS|cn-prd-150c-01-V2-LOCATIONS|cn-prd-150c-02-V2-LOCATIONS|cn-prd-150c-03-V2-LOCATIONS|cn-prd-15c-01-V2-LOCATIONS|cn-prd-15c-02-V2-LOCATIONS|cn-prd-15c-03-V2-LOCATIONS|cn-prd-200c-01-V2-LOCATIONS|cn-prd-200c-02-V2-LOCATIONS|cn-prd-200c-03-V2-LOCATIONS|cn-prd-20c-01-V2-LOCATIONS|cn-prd-20c-02-V2-LOCATIONS|cn-prd-20c-03-V2-LOCATIONS|cn-prd-25c-01-V2-LOCATIONS|cn-prd-25c-02-V2-LOCATIONS|cn-prd-25c-03-V2-LOCATIONS|cn-prd-50c-01-V2-LOCATIONS|cn-prd-50c-02-V2-LOCATIONS|cn-prd-50c-03-V2-LOCATIONS|cn-prd-75c-01-V2-LOCATIONS|cn-prd-75c-02-V2-LOCATIONS|cn-prd-75c-03-V2-LOCATIONS,P1+P3,baselines/e2_final_campaign_20260720/algorithm_repair_diagnostic_20260724/representative_seed1_route_diversity_after_archive_reuse.json:/views/cv_only/archive_candidates_completed=24 || baselines/e1_model/m1_e1_model_structure_runner.py:32: from setp_solver.algorithms.resetp_alns.kernel.alns_core import SearchPolicy,59898,8155,0,0,"source=baselines/raw_runs.csv; keys=['instance', 'algorithm', 'eval_budget']; seed=['seed']; values=['best_cost']; seed_counts={}",不适用：存在迭代或评价预算列['eval_budget']，但没有同种子同配置的不同预算组,UNDETERMINED,baselines/e2_final_campaign_20260720/algorithm_repair_diagnostic_20260724/representative_seed1_route_diversity_after_archive_reuse.json:/views/cv_only/archive_candidates_completed=24 || baselines/e1_model/m1_e1_model_structure_runner.py:32: from setp_solver.algorithms.resetp_alns.kernel.alns_core import SearchPolicy；缺失信息：已定位P1，但现有可比记录未使任一指定指纹成立
baselines/algorithm_foundation/mda_ils_vns_adaptive_20260720,csv:1;json:21;md:1,23,2026-07-20T03:17:57+08:00,true,12,true,PR11A|PR11A.vrp|PR17A|PR17A.vrp|PR21A|PR21A.vrp,未归类,baselines/algorithm_foundation/mda_ils_vns_adaptive_20260720/metadata.json:未出现可区分P1-P4的engine、源文件、runner导入或调用字段，且无明确零搜索字段,该包无此信息,该包无此信息,0,0,"source=baselines/algorithm_foundation/mda_ils_vns_adaptive_20260720/raw_runs.csv; keys=['instance', 'config', 'gap_percent', 'iterations']; seed=['seed']; values=['objective']; seed_counts={}",不适用：存在迭代或评价预算列['iterations']，但没有同种子同配置的不同预算组,UNDETERMINED,baselines/algorithm_foundation/mda_ils_vns_adaptive_20260720/metadata.json:未出现可区分P1-P4的engine、源文件、runner导入或调用字段，且无明确零搜索字段；缺失信息：缺少可区分P1-P5的engine、源文件绑定或runner调用证据
baselines/algorithm_foundation/mda_ils_vns_foundation_20260720,csv:1;json:32;md:1,34,2026-07-20T02:52:00+08:00,true,29,true,PR11A|PR11A.vrp|PR11B|PR11B.vrp|PR17A|PR17A.vrp|PR17B|PR17B.vrp|PR21A|PR21A.vrp|PR21B|PR21B.vrp,未归类,baselines/algorithm_foundation/mda_ils_vns_foundation_20260720/metadata.json:未出现可区分P1-P4的engine、源文件、runner导入或调用字段，且无明确零搜索字段,该包无此信息,该包无此信息,0,0,"source=baselines/algorithm_foundation/mda_ils_vns_foundation_20260720/raw_runs.csv; keys=['instance', 'config', 'gap_percent', 'iterations']; seed=['seed']; values=['objective']; seed_counts={}",不适用：存在迭代或评价预算列['iterations']，但没有同种子同配置的不同预算组,UNDETERMINED,baselines/algorithm_foundation/mda_ils_vns_foundation_20260720/metadata.json:未出现可区分P1-P4的engine、源文件、runner导入或调用字段，且无明确零搜索字段；缺失信息：缺少可区分P1-P5的engine、源文件绑定或runner调用证据
baselines/algorithm_foundation/mda_ils_vns_late_stage_20260720,csv:1;json:20;md:1,22,2026-07-20T03:32:12+08:00,true,9,true,PR11A|PR11A.vrp|PR17A|PR17A.vrp|PR21A|PR21A.vrp,未归类,baselines/algorithm_foundation/mda_ils_vns_late_stage_20260720/metadata.json:未出现可区分P1-P4的engine、源文件、runner导入或调用字段，且无明确零搜索字段,该包无此信息,该包无此信息,0,0,"source=baselines/algorithm_foundation/mda_ils_vns_late_stage_20260720/raw_runs.csv; keys=['instance', 'config', 'gap_percent', 'iterations']; seed=['seed']; values=['objective']; seed_counts={}",不适用：存在迭代或评价预算列['iterations']，但没有同种子同配置的不同预算组,UNDETERMINED,baselines/algorithm_foundation/mda_ils_vns_late_stage_20260720/metadata.json:未出现可区分P1-P4的engine、源文件、runner导入或调用字段，且无明确零搜索字段；缺失信息：缺少可区分P1-P5的engine、源文件绑定或runner调用证据
baselines/algorithm_foundation/mda_ils_vns_parameter_race_20260720,csv:1;json:87;md:1,89,2026-07-20T03:49:16+08:00,true,78,true,PR11A|PR11A.vrp|PR16A|PR16A.vrp|PR17A|PR17A.vrp|PR20A|PR20A.vrp|PR21A|PR21A.vrp|PR24A|PR24A.vrp,未归类,baselines/algorithm_foundation/mda_ils_vns_parameter_race_20260720/metadata.json:未出现可区分P1-P4的engine、源文件、runner导入或调用字段，且无明确零搜索字段,该包无此信息,该包无此信息,0,0,"source=baselines/algorithm_foundation/mda_ils_vns_parameter_race_20260720/raw_runs.csv; keys=['instance', 'config', 'gap_percent', 'iterations']; seed=['seed']; values=['objective']; seed_counts={}",不适用：存在迭代或评价预算列['iterations']，但没有同种子同配置的不同预算组,UNDETERMINED,baselines/algorithm_foundation/mda_ils_vns_parameter_race_20260720/metadata.json:未出现可区分P1-P4的engine、源文件、runner导入或调用字段，且无明确零搜索字段；缺失信息：缺少可区分P1-P5的engine、源文件绑定或runner调用证据
baselines/algorithm_foundation/mdvrptw_v13_comparison_20260719,cff:1;csv:2;json:4;md:3;no_ext:1;pdf:2;sol:28;txt:29;vrp:28;zip:1,99,2026-07-19T21:09:49+08:00,true,28,false,PR11A|PR11B|PR12A|PR12B|PR13A|PR13B|PR14A|PR14B|PR15A|PR15B|PR16A|PR16B|PR17A|PR17B|PR18A|PR18B|PR19A|PR19B|PR20A|PR20B|PR21A|PR21B|PR22A|PR22B|PR23A|PR23B|PR24A|PR24B,P5,baselines/algorithm_foundation/mdvrptw_v13_comparison_20260719/metadata.json:/counts/search_evaluations=0,该包无此信息,该包无此信息,0,0,"source=baselines/algorithm_foundation/mdvrptw_v13_comparison_20260719/raw_runs.csv; 该CSV无seed或同义逐单元种子列；header=['index', 'instance', 'clients', 'depots', 'vehicles_per_depot', 'variant', 'split', 'representative', 'semantic_checks', 'semantic_failures', 'independent_bks_valid', 'pyvrp_bks_valid', 'current_verified_bks', 'vcgp_best_2013', 'vcgp_mean_2013', 'mdfiha_best_2026', 'mdfiha_mean_2026', 'mdfiha_etga_best_2026', 'mdfiha_etga_mean_2026', 'strongest_known_target', 'strongest_target_sources']",不适用：该包无seed或同义逐单元种子列,NO_SEARCH,baselines/algorithm_foundation/mdvrptw_v13_comparison_20260719/metadata.json:/counts/search_evaluations=0；包内记录为零搜索
baselines/algorithm_foundation/mpd_ils_vns_dual_regime_20260720,csv:1;json:21;md:1,23,2026-07-20T04:07:25+08:00,true,12,true,PR11A|PR11A.vrp|PR17A|PR17A.vrp|PR21A|PR21A.vrp,未归类,baselines/algorithm_foundation/mpd_ils_vns_dual_regime_20260720/metadata.json:未出现可区分P1-P4的engine、源文件、runner导入或调用字段，且无明确零搜索字段,该包无此信息,该包无此信息,0,0,"source=baselines/algorithm_foundation/mpd_ils_vns_dual_regime_20260720/raw_runs.csv; keys=['instance', 'arm', 'gap_percent', 'iterations']; seed=['seed']; values=['objective']; seed_counts={}",不适用：存在迭代或评价预算列['iterations']，但没有同种子同配置的不同预算组,UNDETERMINED,baselines/algorithm_foundation/mpd_ils_vns_dual_regime_20260720/metadata.json:未出现可区分P1-P4的engine、源文件、runner导入或调用字段，且无明确零搜索字段；缺失信息：缺少可区分P1-P5的engine、源文件绑定或runner调用证据
baselines/algorithm_foundation/mpils_mvns_c2_a_constant_diagnosis_20260720,csv:1;json:6;md:1,8,2026-07-20T00:54:47+08:00,true,3,true,PR11A|PR11A.vrp|PR17A|PR17A.vrp|PR21A|PR21A.vrp,未归类,baselines/algorithm_foundation/mpils_mvns_c2_a_constant_diagnosis_20260720/metadata.json:未出现可区分P1-P4的engine、源文件、runner导入或调用字段，且无明确零搜索字段,该包无此信息,该包无此信息,0,0,"source=baselines/algorithm_foundation/mpils_mvns_c2_a_constant_diagnosis_20260720/raw_runs.csv; keys=['instance', 'iterations']; seed=['seed']; values=['objective']; seed_counts={}",不适用：存在迭代或评价预算列['iterations']，但没有同种子同配置的不同预算组,UNDETERMINED,baselines/algorithm_foundation/mpils_mvns_c2_a_constant_diagnosis_20260720/metadata.json:未出现可区分P1-P4的engine、源文件、runner导入或调用字段，且无明确零搜索字段；缺失信息：缺少可区分P1-P5的engine、源文件绑定或runner调用证据
baselines/algorithm_foundation/mpils_mvns_c2_g0_20260720,csv:1;json:28;md:1,30,2026-07-20T00:22:36+08:00,true,24,false,PR11A.vrp|baselines/algorithm_foundation/mdvrptw_v13_comparison_20260719/sources/normalised_instances/PR11A.vrp,未归类,baselines/algorithm_foundation/mpils_mvns_c2_g0_20260720/metadata.json:未出现可区分P1-P4的engine、源文件、runner导入或调用字段，且无明确零搜索字段,该包无此信息,该包无此信息,0,0,"source=baselines/algorithm_foundation/mpils_mvns_c2_g0_20260720/raw_runs.csv; 该CSV无seed或同义逐单元种子列；header=['gate', 'repeat', 'iterations', 'mode', 'runtime_seconds', 'distance', 'routes', 'feasible', 'signature', 'independent_validation']",不适用：该包无seed或同义逐单元种子列,UNDETERMINED,baselines/algorithm_foundation/mpils_mvns_c2_g0_20260720/metadata.json:未出现可区分P1-P4的engine、源文件、runner导入或调用字段，且无明确零搜索字段；缺失信息：缺少可区分P1-P5的engine、源文件绑定或runner调用证据
baselines/algorithm_foundation/mpils_mvns_c2_g0_license_repair_20260720,csv:1;json:3;md:1,5,2026-07-20T00:23:55+08:00,true,1,false,该包无此信息,未归类,baselines/algorithm_foundation/mpils_mvns_c2_g0_license_repair_20260720/metadata.json:未出现可区分P1-P4的engine、源文件、runner导入或调用字段，且无明确零搜索字段,该包无此信息,该包无此信息,0,0,"source=baselines/algorithm_foundation/mpils_mvns_c2_g0_license_repair_20260720/raw_runs.csv; 该CSV无seed或同义逐单元种子列；header=['check', 'upstream_sha256', 'local_sha256', 'byte_exact']",不适用：该包无seed或同义逐单元种子列,UNDETERMINED,baselines/algorithm_foundation/mpils_mvns_c2_g0_license_repair_20260720/metadata.json:未出现可区分P1-P4的engine、源文件、runner导入或调用字段，且无明确零搜索字段；缺失信息：缺少可区分P1-P5的engine、源文件绑定或runner调用证据
